Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,527.800,6.120,0.351,6.001,6.082,6.216,6.355,7.405,10.488,16.292,0.163
5,512.000,6.193,0.440,6.062,6.187,6.299,6.461,6.697,9.332,15.675,0.161
10,560.400,6.038,0.303,6.077,6.252,6.457,6.649,6.864,9.794,20.832,0.166
15,937.200,3.506,0.244,3.475,3.543,3.603,3.722,3.796,5.193,9.973,0.285
20,779.200,4.163,0.338,3.546,3.637,4.034,6.502,6.946,9.898,40.387,0.240
25,903.600,3.528,0.245,3.498,3.562,3.621,3.717,3.795,5.203,13.329,0.283
30,907.600,3.534,0.285,3.503,3.564,3.630,3.767,3.833,4.203,7.734,0.283
35,859.000,3.780,0.280,3.504,3.572,3.720,4.362,6.457,7.123,10.667,0.265
40,925.600,3.531,0.266,3.497,3.566,3.635,3.785,3.845,5.255,7.784,0.283
45,910.600,3.571,0.289,3.520,3.588,3.672,3.864,4.017,5.209,7.944,0.280
50,879.000,3.753,0.290,3.477,3.554,3.645,4.251,6.713,7.252,11.411,0.266
55,904.400,3.579,0.262,3.521,3.587,3.652,3.794,3.867,5.408,7.847,0.279
60,883.200,3.736,0.310,3.476,3.540,3.638,3.891,5.430,6.469,29.420,0.268
65,493.800,6.257,0.351,6.237,6.335,6.438,6.576,6.667,8.499,10.902,0.160
70,533.200,6.288,0.299,6.193,6.268,6.383,6.518,6.604,9.384,17.784,0.159
75,437.200,7.291,0.338,6.162,6.340,6.667,10.937,12.589,20.710,42.766,0.137
80,526.400,6.138,0.320,6.033,6.123,6.253,6.426,7.444,9.033,12.713,0.163
85,534.200,6.192,0.333,6.091,6.183,6.281,6.420,6.535,9.132,11.852,0.162
90,519.000,6.309,0.324,6.194,6.316,6.534,6.645,6.787,8.519,10.908,0.159
95,527.200,6.204,0.318,6.138,6.333,6.476,6.623,6.759,10.293,20.652,0.161
100,501.200,6.523,0.325,6.226,6.302,6.430,6.573,7.886,16.912,29.702,0.153
105,457.400,7.381,0.310,6.465,6.566,6.793,10.947,12.231,17.802,28.187,0.135
110,520.600,6.175,0.282,6.062,6.151,6.255,6.375,7.440,9.286,14.320,0.162
115,534.800,6.110,0.331,6.036,6.157,6.282,6.427,6.525,8.163,10.611,0.164
120,522.400,6.153,0.289,6.107,6.196,6.313,6.428,6.551,8.097,10.294,0.163
125,521.400,6.360,0.336,6.118,6.406,6.595,6.772,6.919,17.899,22.314,0.157
130,477.800,6.884,0.314,6.218,6.335,6.493,8.082,11.453,18.304,28.880,0.145
135,476.000,6.785,0.362,6.343,6.454,6.612,8.145,10.079,12.795,20.644,0.147
140,522.400,6.304,0.320,6.142,6.263,6.535,6.661,6.806,9.205,12.560,0.159
145,536.600,6.111,0.386,6.031,6.118,6.239,6.366,6.524,8.903,10.283,0.164
150,539.800,6.138,0.339,6.075,6.169,6.266,6.364,6.492,9.057,10.040,0.163
155,522.800,6.314,0.353,6.198,6.316,6.492,6.684,6.834,8.559,10.331,0.158
160,463.800,7.021,0.316,5.998,6.306,6.640,10.594,12.324,18.879,42.751,0.142
165,508.400,6.444,0.369,6.203,6.338,6.531,6.709,7.881,11.549,18.315,0.155
170,519.000,6.451,0.311,6.312,6.489,6.599,6.770,7.057,9.793,12.254,0.155
175,539.600,6.079,0.359,6.021,6.110,6.188,6.354,6.425,8.978,10.030,0.165
180,531.200,6.123,0.310,6.084,6.169,6.257,6.419,6.503,8.266,10.353,0.163
185,533.600,6.178,0.340,6.100,6.203,6.304,6.477,6.584,9.155,12.616,0.162
190,440.000,7.324,0.332,6.302,6.517,6.730,10.351,11.950,20.923,52.271,0.137
195,518.800,6.358,0.372,6.178,6.276,6.431,6.625,7.823,10.719,13.280,0.157
200,509.400,6.489,0.296,6.377,6.491,6.619,6.787,7.382,9.644,19.950,0.154
205,530.800,6.122,0.315,6.014,6.114,6.204,6.368,6.623,9.174,12.101,0.163
210,545.200,6.080,0.264,6.001,6.109,6.246,6.389,6.490,8.136,10.348,0.164
215,561.200,6.060,0.336,6.016,6.100,6.173,6.288,6.396,8.936,12.058,0.165
220,460.200,7.157,0.345,6.179,6.250,6.455,10.106,11.850,19.947,40.271,0.140
225,511.200,6.295,0.335,6.161,6.236,6.361,6.526,7.649,10.138,19.047,0.159
230,500.800,6.443,0.284,6.313,6.388,6.490,6.666,6.965,9.515,23.088,0.155
235,521.600,6.270,0.268,6.120,6.249,6.480,6.683,6.871,9.648,15.118,0.159
240,559.000,6.070,0.357,5.989,6.075,6.191,6.308,6.435,8.806,14.696,0.165
245,543.600,6.082,0.318,6.033,6.128,6.216,6.292,6.414,7.919,10.815,0.164
250,471.800,7.068,0.294,6.158,6.315,6.565,8.848,10.401,25.358,38.811,0.141
255,519.200,6.262,0.353,6.171,6.241,6.345,6.507,7.619,9.387,12.840,0.160
260,506.200,6.459,0.277,6.286,6.403,6.541,6.680,7.557,9.768,22.370,0.155
265,528.800,6.372,0.330,6.203,6.408,6.558,6.754,7.028,9.526,13.071,0.157
270,546.400,6.077,0.293,6.002,6.089,6.192,6.340,6.432,8.247,10.409,0.165
275,516.200,6.295,0.328,6.065,6.175,6.277,6.429,7.622,13.499,25.803,0.159
280,467.200,7.007,0.291,6.246,6.527,6.759,9.708,11.096,17.838,30.270,0.143
285,518.000,6.330,0.277,6.226,6.317,6.442,6.557,6.718,9.441,14.979,0.158
290,522.800,6.377,0.311,6.216,6.331,6.503,6.658,6.890,9.910,25.356,0.157
295,505.000,6.494,0.284,6.435,6.539,6.637,6.775,6.920,9.577,19.832,0.154
300,517.200,6.127,0.326,6.041,6.152,6.271,6.471,6.796,9.254,10.200,0.163
305,501.000,6.445,0.306,6.006,6.095,6.258,7.549,10.352,13.245,22.462,0.155
310,499.400,6.639,0.298,6.179,6.330,6.573,7.894,9.557,12.122,19.209,0.151
315,523.200,6.289,0.323,6.211,6.346,6.467,6.615,6.798,9.784,26.648,0.159
320,516.000,6.330,0.358,6.213,6.291,6.393,6.543,7.402,10.045,25.275,0.158
325,508.600,6.513,0.310,6.394,6.509,6.620,6.795,6.930,9.610,19.169,0.154
330,525.800,6.302,0.338,6.181,6.335,6.515,6.654,6.829,9.241,10.560,0.159
335,489.600,6.791,0.322,6.030,6.139,6.321,9.499,11.375,16.259,22.552,0.147
340,524.400,6.215,0.322,6.102,6.195,6.316,6.436,7.552,10.158,13.592,0.161
345,514.200,6.380,0.346,6.291,6.467,6.634,6.781,6.950,9.982,32.743,0.157
350,512.800,6.408,0.298,6.237,6.311,6.418,6.569,7.400,10.436,29.955,0.156
355,514.400,6.417,0.332,6.304,6.420,6.581,6.707,7.055,9.544,27.947,0.156
360,513.000,6.492,0.323,6.331,6.525,6.633,6.792,6.978,9.768,12.241,0.154
