Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,314.200,6.138,0.487,6.001,6.080,6.212,6.345,7.336,10.214,13.569,0.163
5,312.000,6.201,0.458,6.069,6.192,6.309,6.462,6.670,8.977,15.825,0.161
10,310.600,6.055,0.373,6.080,6.258,6.447,6.613,6.830,9.364,20.035,0.165
15,541.000,3.527,0.304,3.480,3.546,3.609,3.740,3.813,4.624,9.980,0.284
20,445.200,4.202,0.281,3.542,3.635,4.066,6.716,6.971,8.919,11.766,0.238
25,542.800,3.544,0.327,3.483,3.556,3.619,3.735,3.805,5.310,13.324,0.282
30,549.000,3.533,0.219,3.496,3.564,3.631,3.780,3.838,5.167,7.702,0.283
35,506.200,3.781,0.172,3.501,3.570,3.718,4.302,6.485,7.128,10.716,0.264
40,535.200,3.545,0.226,3.499,3.565,3.637,3.779,3.840,5.298,7.775,0.282
45,527.400,3.577,0.256,3.521,3.592,3.673,3.853,3.999,4.804,7.540,0.280
50,502.400,3.697,0.126,3.471,3.551,3.635,4.045,5.551,7.143,10.033,0.270
55,516.800,3.581,0.174,3.524,3.591,3.658,3.794,3.873,5.347,7.835,0.279
60,495.400,3.754,0.246,3.477,3.543,3.639,3.898,5.372,6.496,29.468,0.266
65,319.400,6.334,0.216,6.247,6.337,6.453,6.583,6.706,8.443,10.615,0.158
70,303.600,6.330,0.238,6.187,6.259,6.369,6.520,7.728,10.651,20.272,0.158
75,264.800,7.384,0.402,6.169,6.347,6.703,11.344,12.683,19.902,42.764,0.135
80,312.000,6.098,0.198,6.027,6.116,6.244,6.394,6.853,8.906,12.715,0.164
85,300.200,6.143,0.382,6.089,6.185,6.267,6.407,6.475,7.961,10.319,0.163
90,293.800,6.350,0.185,6.195,6.314,6.546,6.661,6.810,8.422,10.897,0.157
95,294.600,6.327,0.173,6.166,6.334,6.479,6.635,6.793,19.647,20.566,0.158
100,294.200,6.500,0.198,6.219,6.295,6.412,6.552,6.716,17.406,29.892,0.154
105,254.200,7.140,0.202,6.445,6.557,6.738,9.747,11.161,15.164,27.726,0.140
110,310.200,6.195,0.117,6.069,6.152,6.255,6.366,6.529,9.280,14.200,0.161
115,293.200,6.182,0.165,6.041,6.164,6.285,6.418,6.551,9.100,10.409,0.162
120,299.600,6.157,0.150,6.108,6.196,6.313,6.430,6.526,9.069,10.285,0.162
125,288.600,6.354,0.143,6.096,6.375,6.594,6.793,7.622,19.158,19.818,0.157
130,266.000,6.991,0.155,6.220,6.338,6.492,9.590,11.684,20.576,27.044,0.143
135,289.200,6.802,0.196,6.340,6.447,6.601,8.138,10.656,12.707,20.643,0.147
140,300.200,6.305,0.206,6.136,6.259,6.528,6.649,6.790,9.162,13.592,0.159
145,310.600,6.077,0.189,6.032,6.117,6.214,6.366,6.525,8.869,10.032,0.165
150,307.200,6.118,0.188,6.065,6.161,6.259,6.339,6.426,8.037,10.157,0.163
155,302.400,6.336,0.206,6.199,6.320,6.501,6.694,6.881,8.467,10.337,0.158
160,276.600,7.177,0.134,6.004,6.319,6.659,10.694,13.584,19.463,42.539,0.139
165,289.200,6.453,0.202,6.217,6.362,6.541,6.774,7.938,11.348,18.309,0.155
170,293.800,6.460,0.170,6.312,6.485,6.607,6.773,7.193,9.607,12.258,0.155
175,300.800,6.094,0.207,6.024,6.112,6.192,6.359,6.428,8.831,10.019,0.164
180,306.000,6.152,0.164,6.080,6.169,6.258,6.422,6.508,8.919,10.355,0.163
185,308.800,6.209,0.202,6.115,6.200,6.306,6.464,6.559,7.970,11.151,0.161
190,266.800,7.381,0.131,6.284,6.490,6.705,10.430,11.967,20.939,44.002,0.135
195,302.000,6.392,0.161,6.175,6.269,6.420,6.660,7.850,10.840,17.716,0.156
200,291.800,6.526,0.123,6.369,6.493,6.614,6.777,7.382,10.422,19.955,0.153
205,306.200,6.082,0.159,6.017,6.114,6.204,6.348,6.548,8.978,11.010,0.164
210,301.600,6.051,0.114,5.998,6.099,6.234,6.379,6.468,8.026,10.335,0.165
215,302.600,6.084,0.185,6.013,6.101,6.180,6.310,6.416,8.944,9.951,0.164
220,279.000,7.005,0.149,6.168,6.244,6.425,9.607,11.031,19.511,36.551,0.143
225,291.000,6.269,0.143,6.158,6.241,6.366,6.548,7.653,9.353,11.816,0.160
230,300.200,6.375,0.137,6.301,6.384,6.493,6.650,7.435,9.522,23.092,0.157
235,293.400,6.263,0.149,6.128,6.250,6.468,6.617,6.796,9.364,13.097,0.160
240,300.200,6.051,0.170,5.992,6.080,6.190,6.300,6.443,8.841,14.629,0.165
245,301.200,6.029,0.193,6.031,6.122,6.211,6.281,6.360,7.855,10.031,0.166
250,267.600,6.852,0.191,6.147,6.297,6.496,8.656,10.177,20.752,38.781,0.146
255,303.000,6.252,0.155,6.166,6.240,6.339,6.503,7.393,9.381,12.839,0.160
260,288.800,6.421,0.146,6.298,6.399,6.518,6.667,6.816,9.783,22.369,0.156
265,285.600,6.365,0.166,6.195,6.405,6.555,6.761,6.966,10.227,13.281,0.157
270,319.400,6.090,0.143,6.005,6.090,6.196,6.346,6.501,8.239,10.089,0.164
275,303.600,6.271,0.156,6.055,6.172,6.275,6.416,7.572,12.718,25.092,0.159
280,271.400,6.986,0.170,6.256,6.539,6.770,9.530,11.143,17.908,30.247,0.143
285,299.800,6.275,0.170,6.218,6.301,6.430,6.528,6.638,9.413,14.969,0.159
290,288.600,6.404,0.157,6.231,6.345,6.517,6.669,7.113,9.676,24.377,0.156
295,294.200,6.481,0.168,6.420,6.528,6.636,6.765,6.891,9.709,19.823,0.154
300,297.600,6.145,0.180,6.038,6.149,6.266,6.487,6.787,7.887,9.961,0.163
305,282.000,6.565,0.135,5.991,6.089,6.264,9.115,10.770,16.553,22.466,0.152
310,277.400,6.537,0.182,6.170,6.320,6.566,7.383,9.222,12.000,19.041,0.153
315,297.800,6.269,0.209,6.201,6.338,6.463,6.611,6.806,9.433,33.706,0.160
320,288.400,6.378,0.176,6.218,6.292,6.400,6.561,7.697,10.294,26.653,0.157
325,286.000,6.513,0.157,6.395,6.507,6.629,6.809,7.039,9.555,19.176,0.154
330,301.200,6.245,0.177,6.163,6.294,6.508,6.623,6.729,8.522,10.515,0.160
335,269.600,6.760,0.132,6.029,6.135,6.340,10.187,10.910,15.081,22.700,0.148
340,309.800,6.186,0.148,6.102,6.200,6.326,6.453,7.671,9.984,12.981,0.162
345,299.600,6.333,0.173,6.284,6.456,6.632,6.786,7.172,9.544,30.642,0.158
350,295.400,6.366,0.194,6.235,6.306,6.414,6.564,6.692,10.333,29.813,0.157
355,287.000,6.470,0.153,6.303,6.412,6.583,6.719,7.111,9.589,27.949,0.155
360,281.200,6.428,0.118,6.295,6.519,6.643,6.813,6.950,8.447,12.284,0.156
365,275.400,6.909,0.125,6.108,6.221,6.450,10.139,11.801,15.518,17.925,0.145
370,303.600,6.133,0.148,6.063,6.159,6.276,6.435,7.552,9.214,11.820,0.163
375,301.000,6.258,0.206,6.105,6.328,6.549,6.718,6.870,10.053,20.996,0.160
380,300.600,6.326,0.133,6.200,6.287,6.428,6.589,6.769,10.747,27.299,0.158
385,310.400,6.290,0.164,6.192,6.300,6.465,6.604,6.758,9.718,16.793,0.159
390,271.000,6.417,0.170,6.374,6.475,6.562,6.689,6.815,8.357,12.293,0.156
395,283.000,6.944,0.155,6.111,6.285,6.590,10.072,11.624,14.809,23.774,0.144
400,310.000,6.228,0.162,6.090,6.182,6.284,6.425,7.712,10.556,11.915,0.161
405,298.400,6.294,0.186,6.169,6.267,6.401,6.620,6.844,9.224,12.976,0.159
410,291.200,6.309,0.153,6.117,6.313,6.481,6.656,7.689,12.917,32.955,0.159
415,294.600,6.339,0.154,6.201,6.286,6.449,6.584,6.926,10.523,21.048,0.158
420,286.600,6.411,0.161,6.347,6.447,6.572,6.688,6.799,8.434,9.868,0.156
425,264.600,6.906,0.179,6.105,6.361,6.645,9.474,11.370,15.667,21.427,0.145
430,301.400,6.150,0.189,6.050,6.196,6.305,6.477,7.454,10.194,11.688,0.163
435,317.000,6.216,0.171,6.110,6.205,6.329,6.500,6.792,8.123,10.271,0.161
440,291.200,6.275,0.141,6.120,6.401,6.582,6.719,6.876,10.206,35.427,0.159
445,291.600,6.361,0.128,6.221,6.312,6.440,6.571,6.680,9.407,27.232,0.157
450,292.800,6.420,0.150,6.322,6.424,6.588,6.732,7.958,10.959,22.439,0.156
455,261.200,6.971,0.166,6.147,6.245,6.489,10.621,12.011,17.658,35.482,0.143
460,307.200,6.104,0.169,6.043,6.130,6.247,6.401,7.120,9.190,10.681,0.164
465,311.400,6.098,0.157,6.077,6.176,6.282,6.406,6.500,7.885,10.086,0.164
470,282.800,6.324,0.168,6.224,6.406,6.606,6.747,6.983,9.509,25.354,0.158
475,297.000,6.313,0.163,6.094,6.232,6.349,6.511,7.693,19.681,37.699,0.158
480,294.000,6.290,0.142,6.185,6.296,6.466,6.651,7.394,10.649,19.618,0.159
485,264.800,7.127,0.180,6.426,6.557,6.740,10.018,11.505,14.500,18.669,0.140
490,306.400,6.092,0.156,6.043,6.145,6.251,6.399,7.437,8.867,10.456,0.164
495,301.200,6.113,0.181,6.063,6.183,6.289,6.438,6.527,7.856,10.232,0.164
500,294.200,6.210,0.143,6.121,6.236,6.353,6.537,7.620,9.631,12.640,0.161
505,282.800,6.442,0.138,6.178,6.266,6.555,6.803,7.220,9.570,41.820,0.155
510,276.400,6.760,0.138,6.133,6.222,6.366,8.928,10.973,18.463,27.633,0.148
515,281.200,6.720,0.144,6.349,6.497,6.653,7.903,9.787,12.596,18.095,0.149
520,296.000,6.138,0.166,6.072,6.189,6.367,6.581,6.781,8.944,10.604,0.163
525,300.600,6.061,0.129,6.014,6.095,6.239,6.417,6.684,7.986,9.611,0.165
530,314.800,6.133,0.120,6.023,6.136,6.234,6.382,6.577,10.128,13.755,0.163
535,295.600,6.536,0.162,6.290,6.373,6.535,6.738,7.431,12.818,46.162,0.153
540,274.600,6.953,0.123,6.225,6.302,6.433,9.574,11.204,17.875,22.365,0.144
545,297.800,6.514,0.148,6.400,6.485,6.648,6.788,7.919,11.185,13.765,0.154
550,300.200,6.298,0.157,6.223,6.435,6.573,6.687,6.841,8.727,10.153,0.159
555,323.800,6.050,0.153,6.026,6.101,6.208,6.347,6.424,7.650,9.399,0.165
560,310.200,6.145,0.153,6.098,6.187,6.270,6.424,6.509,10.284,15.214,0.163
565,285.200,6.334,0.177,6.200,6.300,6.465,6.688,7.056,12.485,24.382,0.158
570,262.000,6.894,0.143,6.171,6.277,6.456,9.721,11.808,17.991,27.829,0.145
575,290.800,6.405,0.153,6.259,6.398,6.544,6.740,7.871,9.723,17.562,0.156
580,285.600,6.427,0.143,6.383,6.501,6.619,6.798,6.983,9.679,11.673,0.156
585,296.200,6.065,0.164,6.048,6.129,6.235,6.401,6.545,9.019,9.547,0.165
590,297.600,6.136,0.146,6.037,6.162,6.275,6.437,6.545,9.992,18.768,0.163
595,303.200,6.137,0.184,6.105,6.227,6.322,6.446,6.547,8.112,10.173,0.163
