Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2093.600,4.771,0.098,3.494,6.075,6.529,6.700,6.844,9.998,12.727,0.210
5,3356.200,2.974,0.092,3.333,3.490,3.565,3.669,3.745,4.098,8.884,0.336
10,3310.200,3.017,0.084,3.359,3.524,3.601,3.726,3.804,4.263,14.019,0.331
15,2927.800,3.411,0.097,3.394,3.541,3.767,5.496,6.864,8.584,11.940,0.293
20,3338.000,2.992,0.090,3.352,3.493,3.584,3.706,3.786,4.583,7.579,0.334
25,3316.600,3.012,0.088,3.375,3.543,3.632,3.777,3.873,4.288,7.821,0.332
30,3056.200,3.267,0.088,3.416,3.560,3.691,4.162,5.535,7.418,13.993,0.306
35,3285.800,3.039,0.089,3.395,3.551,3.636,3.778,3.852,4.056,7.623,0.329
40,3339.800,2.991,0.089,3.331,3.505,3.577,3.676,3.757,5.290,10.890,0.334
45,3114.000,3.207,0.096,3.382,3.565,3.666,4.192,5.512,7.064,11.066,0.312
50,2683.800,3.725,0.080,3.444,3.594,4.038,6.346,6.464,7.966,30.014,0.268
55,1881.000,5.311,0.083,6.061,6.241,6.350,6.519,6.624,9.201,11.994,0.188
60,1889.600,5.289,0.102,6.049,6.240,6.402,6.561,6.726,8.302,10.975,0.189
65,1833.400,5.456,0.097,6.226,6.391,6.535,6.661,6.801,8.370,14.332,0.183
70,1843.000,5.423,0.099,6.084,6.296,6.502,6.683,6.820,9.655,12.828,0.184
75,1676.800,5.961,0.093,5.964,6.118,6.290,9.374,11.619,17.233,40.520,0.168
80,1882.400,5.310,0.099,5.526,6.247,6.469,6.643,6.870,9.506,16.013,0.188
85,1853.600,5.394,0.103,6.016,6.250,6.359,6.484,6.604,11.275,20.285,0.185
90,1893.200,5.280,0.092,6.048,6.206,6.303,6.448,6.537,9.280,17.546,0.189
95,1838.800,5.439,0.098,6.182,6.374,6.511,6.678,6.799,8.335,11.372,0.184
100,1803.200,5.542,0.095,6.287,6.463,6.582,6.740,6.869,9.782,11.701,0.180
105,1671.000,5.983,0.082,6.012,6.183,6.380,9.370,11.416,17.697,41.110,0.167
110,1885.600,5.303,0.105,6.005,6.156,6.312,6.557,7.325,9.420,18.872,0.189
115,1855.400,5.390,0.090,5.334,6.354,6.551,6.714,6.838,9.752,28.310,0.186
120,1866.800,5.354,0.101,6.106,6.263,6.368,6.549,6.696,9.569,17.186,0.187
125,1861.000,5.373,0.096,6.122,6.288,6.423,6.672,6.860,8.502,10.238,0.186
130,1733.000,5.769,0.094,6.256,6.393,6.506,6.680,8.082,17.045,41.708,0.173
135,1749.400,5.713,0.082,5.928,6.062,6.251,9.106,10.548,12.918,18.848,0.175
140,1884.000,5.311,0.097,5.990,6.122,6.236,6.369,6.554,9.299,13.219,0.188
145,1845.200,5.415,0.123,5.364,6.340,6.557,6.707,6.869,9.586,23.541,0.185
150,1865.200,5.359,0.100,6.152,6.315,6.412,6.550,6.671,8.275,11.256,0.187
155,1869.000,5.349,0.111,6.098,6.262,6.372,6.522,6.611,8.215,10.332,0.187
160,1632.200,6.131,0.097,6.220,6.431,6.611,9.299,10.751,18.843,32.787,0.163
165,1884.200,5.303,0.108,5.957,6.108,6.195,6.338,7.538,10.608,12.043,0.189
170,1900.400,5.260,0.097,5.993,6.149,6.253,6.395,6.481,9.382,17.687,0.190
175,1820.200,5.494,0.094,6.126,6.296,6.561,6.746,6.918,10.197,18.054,0.182
180,1872.800,5.339,0.099,5.335,6.290,6.466,6.675,6.924,10.862,29.919,0.187
185,1857.600,5.381,0.094,6.109,6.267,6.394,6.547,6.709,10.181,12.457,0.186
190,1609.600,6.215,0.105,6.144,6.281,6.489,9.929,11.677,18.829,32.435,0.161
195,1861.000,5.371,0.102,6.055,6.200,6.431,6.648,7.536,9.402,13.540,0.186
200,1888.400,5.293,0.082,5.967,6.111,6.270,6.450,6.558,9.311,18.585,0.189
205,1897.400,5.269,0.107,6.026,6.187,6.348,6.486,6.595,9.277,12.333,0.190
210,1876.400,5.331,0.108,5.327,6.312,6.555,6.685,6.833,9.213,37.400,0.188
215,1886.000,5.298,0.094,6.073,6.242,6.350,6.510,6.628,8.269,17.712,0.189
220,1642.000,6.093,0.099,6.108,6.268,6.459,9.687,11.500,18.113,37.092,0.164
225,1812.800,5.514,0.099,6.152,6.394,6.539,6.721,6.874,10.018,19.927,0.181
230,1909.000,5.237,0.096,5.942,6.093,6.195,6.298,6.452,9.189,16.274,0.191
235,1909.400,5.238,0.091,5.987,6.146,6.266,6.393,6.506,9.186,17.210,0.191
240,1843.400,5.423,0.085,5.446,6.317,6.561,6.741,6.891,9.817,29.761,0.184
245,1877.200,5.324,0.086,6.076,6.295,6.433,6.598,6.762,8.191,20.290,0.188
250,1648.400,6.071,0.096,6.123,6.299,6.488,10.004,11.730,17.207,35.948,0.165
255,1790.000,5.583,0.096,6.323,6.504,6.634,6.811,7.963,10.178,12.669,0.179
260,1881.200,5.317,0.089,5.963,6.114,6.246,6.454,6.786,9.434,22.131,0.188
265,1888.200,5.293,0.086,5.979,6.164,6.269,6.421,6.526,9.148,17.213,0.189
270,1859.000,5.377,0.099,6.052,6.272,6.472,6.630,6.822,9.516,15.341,0.186
275,1883.200,5.309,0.095,5.317,6.306,6.515,6.689,6.851,8.542,33.725,0.188
280,1676.600,5.966,0.107,6.134,6.281,6.499,9.446,10.998,14.718,33.913,0.168
285,1777.200,5.625,0.098,6.330,6.463,6.630,6.796,7.949,10.925,12.859,0.178
290,1843.000,5.425,0.108,6.006,6.243,6.512,6.713,6.946,10.221,21.766,0.184
295,1921.000,5.205,0.102,5.952,6.116,6.225,6.354,6.449,9.108,14.094,0.192
300,1914.400,5.222,0.101,5.989,6.158,6.290,6.415,6.511,8.058,10.732,0.191
305,1855.800,5.387,0.098,5.330,6.311,6.571,6.761,6.912,10.067,24.436,0.186
310,1633.600,6.119,0.109,6.141,6.287,6.479,9.621,11.283,17.528,29.534,0.163
315,1826.400,5.475,0.084,6.233,6.412,6.578,6.720,7.065,8.514,11.602,0.183
320,1818.400,5.498,0.094,6.097,6.464,6.591,6.769,6.944,10.386,33.334,0.182
325,1923.400,5.200,0.081,5.907,6.064,6.204,6.359,6.500,9.118,19.884,0.192
330,1933.200,5.173,0.099,5.942,6.109,6.218,6.340,6.432,8.031,11.311,0.193
335,1835.200,5.444,0.099,6.152,6.325,6.555,6.731,6.899,8.517,10.270,0.184
340,1689.600,5.917,0.093,6.052,6.215,6.449,9.433,10.872,16.645,37.872,0.169
345,1859.600,5.380,0.104,6.116,6.258,6.450,6.633,6.782,8.415,10.728,0.186
350,1813.200,5.533,0.087,6.272,6.419,6.571,6.718,6.871,10.383,27.199,0.181
355,1935.000,5.147,0.105,5.895,6.052,6.150,6.278,6.387,8.307,18.570,0.194
360,1899.400,5.265,0.091,5.969,6.116,6.218,6.395,6.647,9.332,14.508,0.190
365,1792.800,5.579,0.110,6.037,6.206,6.337,6.544,8.021,14.236,56.839,0.179
370,1722.000,5.804,0.108,6.160,6.338,6.502,8.065,10.742,13.611,21.448,0.172
375,1855.000,5.391,0.114,6.148,6.294,6.392,6.536,6.655,9.304,19.268,0.186
380,1806.200,5.535,0.107,6.302,6.449,6.588,6.714,6.822,9.354,11.761,0.181
385,1868.400,5.351,0.104,5.965,6.123,6.271,6.591,6.809,9.872,27.670,0.187
390,1902.200,5.257,0.105,5.948,6.105,6.260,6.404,6.515,9.329,17.909,0.190
395,1720.000,5.823,0.105,5.990,6.158,6.323,9.663,11.458,15.631,36.064,0.172
400,1871.200,5.333,0.085,5.231,6.247,6.410,6.540,7.746,11.536,28.710,0.188
405,1850.200,5.404,0.110,6.140,6.302,6.415,6.571,6.672,8.462,11.144,0.185
410,1843.400,5.425,0.108,6.163,6.364,6.511,6.653,6.727,8.624,10.723,0.184
415,1843.400,5.422,0.101,6.027,6.190,6.404,6.512,6.634,9.339,44.873,0.184
420,1907.800,5.241,0.098,5.947,6.102,6.240,6.364,6.477,9.059,23.310,0.191
425,1718.000,5.819,0.091,5.978,6.153,6.356,9.488,10.941,14.438,25.068,0.172
430,1798.800,5.561,0.100,5.495,6.387,6.592,6.808,7.715,13.000,21.132,0.180
435,1849.200,5.407,0.092,6.165,6.323,6.473,6.617,6.760,8.448,10.464,0.185
440,1853.000,5.391,0.095,6.152,6.296,6.449,6.588,6.698,8.663,10.317,0.185
445,1795.000,5.572,0.098,6.165,6.373,6.489,6.665,6.801,10.348,39.499,0.179
450,1910.400,5.234,0.088,5.939,6.091,6.203,6.345,6.427,9.334,26.678,0.191
455,1736.200,5.757,0.108,6.034,6.215,6.368,9.307,10.760,13.298,18.155,0.174
460,1826.400,5.475,0.101,6.003,6.348,6.586,6.794,7.791,10.117,11.970,0.183
465,1863.800,5.365,0.104,5.889,6.332,6.453,6.599,6.740,9.294,38.167,0.186
