Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1812.600,5.514,0.110,6.239,6.408,6.576,6.743,6.950,9.494,12.983,0.181
5,1893.000,5.278,0.105,5.989,6.174,6.344,6.537,6.725,8.896,12.902,0.189
10,1887.000,5.293,0.100,5.899,6.060,6.222,6.321,6.473,9.964,34.609,0.189
15,1858.800,5.375,0.091,5.911,6.176,6.287,6.423,6.559,10.380,72.516,0.186
20,2722.200,3.670,0.089,3.384,3.543,3.723,6.616,6.834,9.898,66.994,0.272
25,3318.600,3.009,0.087,3.354,3.513,3.585,3.729,3.806,5.629,8.382,0.332
30,3291.600,3.032,0.093,3.358,3.523,3.598,3.731,3.813,5.318,12.040,0.330
35,3271.000,3.054,0.081,3.371,3.521,3.587,3.685,4.078,5.466,9.917,0.327
40,3143.000,3.176,0.088,3.352,3.506,3.598,3.784,5.502,7.234,14.104,0.315
45,3348.600,2.983,0.091,3.335,3.482,3.550,3.636,3.729,4.396,7.529,0.335
50,3376.800,2.959,0.092,3.325,3.493,3.563,3.631,3.706,4.330,7.654,0.338
55,1978.000,5.053,0.089,3.468,6.039,6.297,9.333,10.979,15.459,34.978,0.198
60,1848.600,5.407,0.102,6.134,6.271,6.445,6.591,6.803,8.406,10.948,0.185
65,1812.000,5.518,0.101,6.286,6.428,6.582,6.718,6.877,8.721,11.174,0.181
70,1881.000,5.311,0.095,5.994,6.156,6.356,6.549,6.723,9.410,14.875,0.188
75,1890.400,5.290,0.089,5.945,6.090,6.194,6.328,6.477,9.982,27.327,0.189
80,1853.400,5.394,0.102,6.067,6.257,6.464,6.667,6.854,9.655,19.897,0.185
85,1663.600,6.009,0.107,6.116,6.229,6.466,9.572,11.134,15.779,28.216,0.166
90,1893.600,5.278,0.088,6.029,6.200,6.312,6.462,6.542,8.039,11.660,0.189
95,1855.200,5.389,0.093,6.201,6.379,6.521,6.680,6.822,8.569,10.725,0.186
100,1844.800,5.419,0.084,6.054,6.197,6.487,6.681,6.896,10.579,17.512,0.185
105,1883.400,5.309,0.097,5.954,6.128,6.255,6.409,6.521,9.506,38.147,0.188
110,1847.200,5.413,0.089,5.963,6.129,6.252,6.427,7.552,13.534,34.380,0.185
115,1726.800,5.787,0.090,5.327,6.293,6.507,8.710,10.940,15.342,36.642,0.173
120,1866.000,5.360,0.094,6.129,6.291,6.413,6.561,6.693,9.539,12.424,0.187
125,1852.800,5.396,0.096,6.172,6.362,6.526,6.678,6.828,8.630,10.556,0.185
130,1824.000,5.481,0.093,6.199,6.435,6.556,6.705,6.823,9.923,16.621,0.182
135,1882.600,5.312,0.099,5.977,6.142,6.237,6.369,6.476,10.293,18.583,0.188
140,1752.800,5.704,0.089,5.987,6.145,6.286,7.852,10.972,13.692,20.073,0.175
145,1784.800,5.602,0.099,5.578,6.419,6.566,6.800,8.465,11.140,35.202,0.179
150,1848.600,5.406,0.097,6.146,6.302,6.427,6.564,6.697,8.401,10.908,0.185
155,1866.800,5.358,0.096,6.131,6.274,6.468,6.611,6.797,8.485,10.842,0.187
160,1813.600,5.512,0.082,6.273,6.413,6.563,6.702,6.848,9.466,21.141,0.181
165,1838.800,5.437,0.090,6.001,6.177,6.416,6.584,6.783,10.487,30.744,0.184
170,1714.400,5.833,0.102,5.982,6.195,6.335,9.215,10.713,14.954,29.194,0.171
175,1836.400,5.440,0.096,6.102,6.310,6.547,6.727,7.363,10.703,12.065,0.184
180,1882.000,5.315,0.098,5.406,6.246,6.391,6.552,6.699,9.460,20.828,0.188
185,1885.600,5.301,0.102,6.056,6.221,6.325,6.482,6.554,8.148,13.465,0.189
190,1829.600,5.466,0.086,6.149,6.334,6.495,6.622,6.757,9.561,18.311,0.183
195,1804.600,5.541,0.102,6.095,6.412,6.546,6.713,6.851,11.293,30.674,0.180
200,1746.600,5.721,0.106,5.938,6.100,6.266,9.130,10.552,13.590,26.465,0.175
205,1850.800,5.406,0.076,6.043,6.203,6.346,6.580,8.193,10.302,11.111,0.185
210,1845.400,5.419,0.099,5.408,6.371,6.589,6.701,6.843,9.834,27.672,0.185
215,1841.800,5.427,0.093,6.132,6.287,6.411,6.556,6.713,9.522,15.344,0.184
220,1857.400,5.381,0.090,6.106,6.268,6.409,6.572,6.806,9.902,13.096,0.186
225,1795.400,5.570,0.099,6.294,6.445,6.611,6.786,6.906,10.342,28.288,0.180
230,1684.200,5.937,0.097,6.009,6.180,6.412,9.137,10.851,17.827,30.801,0.168
235,1877.400,5.326,0.104,5.991,6.149,6.265,6.434,7.346,10.301,13.253,0.188
240,1861.800,5.368,0.094,5.782,6.327,6.554,6.698,6.819,8.526,10.799,0.186
245,1848.600,5.411,0.104,6.047,6.302,6.407,6.565,6.715,9.990,21.028,0.185
250,1875.800,5.330,0.103,6.098,6.256,6.361,6.498,6.595,8.219,13.762,0.188
255,1828.000,5.469,0.095,6.190,6.377,6.493,6.623,6.745,9.705,17.342,0.183
260,1664.800,6.005,0.097,5.978,6.204,6.579,9.394,10.919,17.168,29.405,0.167
265,1882.400,5.306,0.104,5.978,6.147,6.256,6.399,7.439,9.337,14.665,0.188
270,1883.200,5.314,0.076,6.029,6.213,6.346,6.517,6.693,8.849,15.444,0.188
275,1856.800,5.384,0.086,5.373,6.360,6.569,6.727,6.852,9.851,21.540,0.186
280,1848.200,5.410,0.112,6.147,6.302,6.415,6.565,6.653,8.331,10.615,0.185
285,1845.400,5.417,0.100,6.141,6.307,6.481,6.611,6.696,9.827,25.863,0.185
290,1663.400,6.008,0.099,6.022,6.184,6.441,9.432,10.937,18.772,37.879,0.166
295,1887.400,5.300,0.095,5.985,6.121,6.258,6.400,6.587,10.217,13.373,0.189
300,1916.400,5.216,0.091,5.973,6.135,6.215,6.352,6.464,9.089,12.147,0.192
305,1840.400,5.432,0.084,6.045,6.320,6.566,6.738,6.864,9.266,11.804,0.184
310,1878.000,5.324,0.100,5.620,6.231,6.359,6.487,6.664,9.476,29.244,0.188
315,1871.600,5.341,0.080,6.042,6.194,6.286,6.423,6.538,9.417,21.918,0.187
320,1605.600,6.228,0.109,6.142,6.438,6.624,10.110,11.639,18.824,42.725,0.161
325,1928.400,5.185,0.087,5.914,6.075,6.170,6.303,7.282,9.494,15.577,0.193
330,1930.800,5.178,0.094,5.926,6.097,6.241,6.326,6.399,7.942,11.118,0.193
335,1906.200,5.244,0.082,6.016,6.176,6.291,6.423,6.553,8.103,10.289,0.191
340,1857.400,5.385,0.096,5.269,6.351,6.567,6.676,6.837,10.684,20.278,0.186
345,1819.800,5.498,0.093,6.066,6.219,6.344,6.478,7.102,13.004,34.645,0.182
350,1631.000,6.122,0.103,6.273,6.448,6.660,9.614,11.404,15.560,32.613,0.163
355,1866.400,5.360,0.088,6.008,6.200,6.414,6.640,6.861,9.325,12.231,0.187
360,1921.400,5.205,0.105,5.931,6.112,6.252,6.395,6.504,7.862,10.528,0.192
365,1899.800,5.258,0.101,5.963,6.104,6.211,6.326,6.441,8.067,11.958,0.190
370,1840.800,5.435,0.097,6.150,6.361,6.574,6.762,6.887,8.554,10.319,0.184
375,1694.400,5.899,0.092,5.281,6.221,6.434,9.351,11.383,19.742,38.501,0.170
380,1796.600,5.565,0.105,6.149,6.374,6.547,6.752,8.093,11.197,12.728,0.180
385,1826.400,5.476,0.101,6.139,6.407,6.572,6.739,6.930,9.656,12.305,0.183
390,1934.200,5.170,0.091,5.914,6.057,6.164,6.300,6.391,7.867,10.266,0.193
395,1923.200,5.198,0.094,5.954,6.118,6.228,6.364,6.454,8.027,10.309,0.192
400,1894.000,5.278,0.109,6.033,6.210,6.345,6.500,6.628,8.162,11.379,0.189
405,1673.800,5.974,0.112,5.265,6.371,6.588,9.509,11.389,19.785,34.715,0.167
410,1843.400,5.422,0.089,6.113,6.254,6.443,6.637,7.306,10.215,13.719,0.184
415,1800.200,5.555,0.101,6.298,6.468,6.592,6.748,6.882,9.758,15.563,0.180
