Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1814,1814.000,153,5863,6094,5524,6227,6410,9360,12922,16292
1,1946,1946.000,126,5796,6034,5116,6117,6281,6407,7671,8954
2,1932,1932.000,122,5859,6050,5181,6153,6325,6397,8721,9284
3,1932,1932.000,110,5864,6052,5176,6140,6303,6357,8884,10214
4,1939,1939.000,98,5880,6039,5133,6226,6385,6574,7647,8921
5,1946,1946.000,110,5940,6236,5152,6332,6510,6615,9292,10464
6,1896,1896.000,126,5998,6214,5267,6308,6479,6644,9386,10195
7,1938,1938.000,139,5848,6047,5151,6150,6286,6335,8890,15825
8,1938,1938.000,107,5902,6092,5165,6171,6352,6442,8989,11225
9,1852,1852.000,123,6060,6193,5394,6313,6444,6521,9252,13188
10,1898,1898.000,113,5950,6096,5254,6189,6297,6468,9214,10275
11,1910,1910.000,110,6018,6187,5241,6276,6420,6472,7840,9190
12,1879,1879.000,104,6095,6299,5294,6396,6545,6677,8869,9520
13,1839,1839.000,107,6184,6345,5455,6556,6709,6851,9614,10256
14,2164,2164.000,107,3470,3725,4602,6546,6739,6859,16016,20832
15,3245,3245.000,102,3408,3553,3073,3614,3745,3824,5314,7666
16,3385,3385.000,99,3312,3505,2957,3572,3696,3766,3858,5287
17,3348,3348.000,91,3317,3515,2977,3592,3717,3810,4151,7448
18,3365,3365.000,100,3328,3506,2967,3571,3642,3713,3806,5384
19,3297,3297.000,89,3363,3537,3050,3601,3750,3979,4705,9982
20,2760,2760.000,97,3446,3561,3592,4139,6519,6930,7253,11234
21,2015,2015.000,100,3931,5390,4982,6759,7064,7491,11403,40387
22,2706,2706.000,99,3441,3606,3673,3888,6705,6952,9981,11781
23,3179,3179.000,82,3412,3579,3144,3665,3834,3891,5885,11719
24,3240,3240.000,97,3431,3586,3079,3660,3803,3870,4013,5697
25,3263,3263.000,103,3368,3545,3059,3613,3746,3810,5340,13329
26,3319,3319.000,85,3380,3565,3009,3616,3682,3778,4061,5466
27,3294,3294.000,92,3346,3514,3028,3579,3692,3779,5288,7514
28,3279,3279.000,105,3395,3568,3041,3636,3735,3808,4007,5676
29,3341,3341.000,94,3346,3516,2994,3571,3620,3661,5203,7640
30,3259,3259.000,101,3399,3568,3059,3637,3802,3861,4161,7560
31,3346,3346.000,93,3353,3528,2986,3592,3725,3799,4107,6166
32,3320,3320.000,94,3373,3553,3008,3630,3762,3828,4130,7734
33,3315,3315.000,105,3360,3518,3005,3586,3688,3776,3894,5790
34,3288,3288.000,93,3390,3547,3042,3614,3743,3808,3966,7530
35,3353,3353.000,91,3347,3527,2979,3606,3724,3790,3908,5306
36,3312,3312.000,84,3361,3535,3011,3613,3771,3844,4148,7700
37,2902,2902.000,102,3466,3609,3449,4204,5042,6627,7060,10066
38,2739,2739.000,100,3366,3532,3640,3811,6793,6983,9600,10716
39,3193,3193.000,103,3390,3544,3119,3628,3785,3895,7074,11699
40,3334,3334.000,90,3343,3535,2992,3623,3752,3842,4489,7788
41,3319,3319.000,97,3371,3563,3012,3632,3789,3858,4065,5637
42,3348,3348.000,106,3349,3530,2980,3592,3702,3793,4005,7610
43,3306,3306.000,96,3378,3572,3023,3648,3806,3853,4132,5926
44,3307,3307.000,86,3344,3521,3010,3595,3749,3808,5457,7526
45,3186,3186.000,100,3455,3597,3133,3737,3941,4256,4790,7944
46,3326,3326.000,98,3353,3564,3006,3643,3908,4034,4147,5749
47,3264,3264.000,97,3392,3590,3060,3663,3846,3946,4128,7548
48,3312,3312.000,106,3379,3545,3015,3592,3644,3693,3885,5580
49,3257,3257.000,99,3397,3580,3061,3674,3824,3954,5216,7508
50,3346,3346.000,102,3332,3533,2990,3607,3763,3964,4389,9147
51,3343,3343.000,105,3333,3472,2970,3561,3628,3654,3929,7502
52,3313,3313.000,99,3370,3528,3012,3604,3731,3799,4008,6073
53,3385,3385.000,93,3318,3517,2953,3593,3694,3778,4129,7604
54,2280,2280.000,102,3505,4213,4379,6716,7048,7194,9961,11494
55,3322,3322.000,86,3368,3553,3011,3619,3736,3808,3998,7825
56,3203,3203.000,98,3415,3587,3116,3664,3818,3917,6945,7188
57,3247,3247.000,107,3408,3573,3075,3644,3787,3857,4093,7653
58,3286,3286.000,93,3411,3593,3042,3672,3808,3891,4163,5566
59,3336,3336.000,91,3358,3557,2989,3605,3659,3753,4091,7847
60,3227,3227.000,92,3440,3603,3101,3694,3854,3893,5259,12475
61,3386,3386.000,101,3316,3488,2945,3542,3654,3781,5113,6891
62,3316,3316.000,99,3375,3521,3016,3575,3648,3750,5242,7731
63,3418,3418.000,94,3307,3477,2923,3529,3580,3650,3855,5345
64,2366,2366.000,96,3480,3629,4229,5411,6276,6424,20695,29478
65,1852,1852.000,104,6093,6287,5404,6427,6581,6694,8142,9607
66,1814,1814.000,118,6230,6377,5508,6485,6623,6703,9048,10919
67,1869,1869.000,109,6150,6345,5350,6440,6600,6695,8290,9801
68,1869,1869.000,106,6110,6256,5346,6377,6515,6589,9582,10523
69,1863,1863.000,87,6118,6276,5369,6362,6527,6589,8498,9289
70,1875,1875.000,115,6093,6243,5328,6338,6516,6572,8081,9354
71,1770,1770.000,109,6115,6221,5651,6347,6510,7962,15392,20272
72,1892,1892.000,95,6067,6224,5283,6327,6470,6523,8040,11165
73,1838,1838.000,120,6153,6257,5431,6384,6516,6595,8077,9775
74,1866,1866.000,120,6096,6254,5357,6344,6488,6586,9369,10481
75,1505,1505.000,100,6232,6505,6749,6674,8499,18206,35962,42766
76,991,991.000,118,9675,11116,9947,12460,15010,18438,21095,28556
77,1782,1782.000,100,6179,6312,5608,6547,6750,7734,11432,12841
78,1881,1881.000,123,6037,6179,5302,6286,6434,6509,9002,10352
79,1865,1865.000,118,5946,6137,5354,6216,6414,8029,11983,13401
80,1915,1915.000,86,5961,6141,5225,6243,6443,7565,7835,9232
81,1887,1887.000,106,5940,6088,5296,6181,6341,7533,10022,12715
82,1956,1956.000,106,5852,6022,5122,6094,6220,6288,7700,9050
83,1964,1964.000,119,5875,6077,5091,6154,6313,6368,7707,9309
84,1873,1873.000,114,6010,6208,5338,6305,6483,6633,9447,10147
85,1868,1868.000,101,6055,6208,5336,6279,6389,6465,7952,9467
86,1911,1911.000,117,5990,6164,5242,6256,6423,6487,7719,9507
87,1909,1909.000,109,5969,6137,5221,6223,6382,6443,9125,9657
88,1953,1953.000,106,5918,6090,5130,6177,6308,6396,8905,10331
89,1854,1854.000,104,6062,6163,5387,6260,6444,6534,9122,11852
90,1901,1901.000,100,6012,6144,5256,6224,6382,6443,7800,10921
91,1868,1868.000,120,6094,6235,5358,6356,6490,6579,10323,10851
92,1849,1849.000,117,6163,6266,5406,6344,6529,6582,8111,9388
93,1822,1822.000,117,6251,6412,5482,6603,6764,6889,8359,10020
94,1781,1781.000,118,6406,6567,5619,6631,6679,6769,9958,11359
95,1914,1914.000,105,5168,6445,5211,6553,6658,6800,8293,11961
96,1904,1904.000,91,5182,5406,5258,6208,6445,6667,20195,20652
97,1874,1874.000,110,6142,6321,5338,6453,6618,6740,8295,11033
98,1846,1846.000,99,6186,6360,5413,6467,6638,6702,9342,10452
99,1834,1834.000,126,6160,6301,5459,6377,6474,6629,9281,12746
100,1862,1862.000,104,6162,6303,5355,6423,6553,6609,8044,9639
101,1804,1804.000,113,6080,6291,5536,6420,6581,7864,19232,29892
102,1877,1877.000,124,6059,6221,5322,6327,6468,6541,7897,9457
103,1894,1894.000,116,6089,6272,5288,6382,6531,6591,8260,10004
104,1667,1667.000,103,6113,6262,6034,6401,7846,12254,21960,28495
105,1032,1032.000,102,9468,9931,9663,12223,15167,17851,24806,28189
106,1739,1739.000,123,6253,6376,5728,6591,6814,9574,12261,15478
107,1753,1753.000,119,6420,6558,5699,6651,6769,6850,8513,10204
108,1747,1747.000,108,6394,6527,5750,6625,6822,8049,11261,13779
109,1718,1718.000,103,6345,6511,5803,6645,6875,9583,12443,12635
110,1906,1906.000,78,6043,6212,5232,6285,6428,6535,7856,9306
111,1910,1910.000,118,6025,6196,5233,6266,6356,6420,9296,10210
112,1861,1861.000,106,5978,6095,5386,6222,6366,7544,11751,14320
113,1967,1967.000,111,5898,6074,5082,6139,6198,6271,7655,9165
114,1886,1886.000,114,5944,6081,5288,6157,6329,6781,9314,10185
115,1966,1966.000,98,5883,6052,5089,6136,6302,6352,7649,9389
116,1985,1985.000,116,5836,6063,5033,6253,6340,6474,7543,8930
117,1883,1883.000,119,6087,6258,5315,6326,6508,6602,9339,9575
118,1881,1881.000,103,6016,6192,5317,6264,6435,6512,9154,10611
119,1936,1936.000,122,5898,6057,5162,6150,6310,6378,8630,10017
120,1935,1935.000,100,5961,6134,5174,6226,6374,6431,7691,9431
121,1898,1898.000,105,5992,6149,5254,6246,6407,6465,9199,10347
122,1940,1940.000,98,5951,6126,5145,6215,6366,6429,8704,9404
123,1935,1935.000,115,6012,6195,5181,6309,6425,6480,7895,9411
124,1845,1845.000,107,6098,6252,5413,6360,6520,6647,9463,10514
125,1846,1846.000,109,6147,6266,5407,6384,6508,6590,8008,9546
126,1767,1767.000,108,6362,6576,5666,6677,6844,6911,9752,10062
127,1751,1751.000,105,6454,6600,5703,6711,6858,7928,10209,11613
128,1989,1989.000,96,5123,5400,5058,6463,6552,6603,12653,19686
129,1838,1838.000,112,5213,6085,5404,6242,6422,7642,19312,22329
130,1833,1833.000,111,6205,6360,5460,6474,6619,6697,8214,9609
131,1837,1837.000,91,6157,6320,5445,6442,6579,6686,9984,10992
132,1788,1788.000,97,6079,6231,5590,6374,6518,7933,18862,24733
133,1887,1887.000,101,6068,6214,5289,6318,6468,6527,8076,9345
134,1073,1073.000,130,6247,9907,9373,12438,15405,18556,26644,28880
135,1530,1530.000,108,6248,6444,6501,8068,11397,12504,14052,14528
136,1825,1825.000,93,6187,6326,5476,6458,6625,7319,10996,11174
137,1802,1802.000,106,6265,6422,5557,6523,6679,6768,10011,20646
138,1748,1748.000,119,6224,6377,5706,6570,7792,9463,11335,15148
139,1796,1796.000,101,6353,6506,5586,6602,6781,8138,8470,10112
140,1801,1801.000,108,6367,6521,5552,6598,6688,6795,8453,9859
141,1803,1803.000,105,6343,6522,5529,6591,6746,6813,9722,10648
142,1868,1868.000,99,6013,6155,5344,6272,6438,6733,9163,14811
143,1918,1918.000,122,5961,6141,5220,6203,6338,6427,8756,10784
144,1868,1868.000,108,6012,6139,5354,6206,6348,6436,9195,10365
145,1930,1930.000,105,5902,6070,5182,6145,6306,6372,7723,9084
146,1943,1943.000,124,5880,6046,5134,6141,6306,6378,7703,9301
147,1911,1911.000,120,5954,6102,5235,6189,6348,6435,8840,9288
148,1910,1910.000,105,5918,6066,5246,6184,6326,6446,9121,10283
149,1921,1921.000,114,5997,6189,5200,6269,6431,6525,7828,9288
150,1885,1885.000,106,6066,6241,5296,6300,6431,6500,8022,9275
151,1948,1948.000,124,5897,6064,5144,6133,6252,6365,8290,10040
152,1914,1914.000,121,5957,6088,5205,6168,6309,6372,7729,9072
153,1888,1888.000,118,6025,6177,5303,6275,6365,6699,9162,10505
154,1865,1865.000,105,6043,6174,5359,6247,6322,6411,9169,10010
155,1906,1906.000,111,5960,6096,5243,6220,6384,6493,7814,9506
156,1909,1909.000,114,6062,6256,5238,6346,6483,6521,7933,9542
157,1857,1857.000,115,6128,6296,5377,6346,6409,6547,9537,10337
158,1829,1829.000,128,6190,6354,5474,6571,6784,6876,9023,9848
159,1804,1804.000,105,6366,6533,5544,6653,6807,6889,8503,10136
160,1815,1815.000,108,5421,6531,5499,6651,6812,6860,8487,9943
161,2010,2010.000,132,5171,5353,4986,5581,6223,6407,19693,42764
162,1869,1869.000,111,6059,6210,5341,6353,6484,6655,8292,9288
163,1152,1152.000,117,6319,6725,8713,12462,16209,17925,25510,28495
164,1455,1455.000,127,6111,6287,6838,9544,11106,12246,13806,17934
165,1896,1896.000,104,6031,6189,5283,6241,6362,6474,9296,14166
166,1927,1927.000,125,6013,6202,5176,6274,6328,6369,7938,9266
167,1695,1695.000,116,6277,6576,5908,6702,7798,8739,11836,18327
168,1781,1781.000,111,6240,6400,5604,6548,6755,8170,12262,12334
169,1830,1830.000,98,6248,6413,5466,6537,6686,7031,8259,9843
170,1800,1800.000,116,6329,6464,5561,6615,6755,6839,8452,9885
171,1810,1810.000,111,6335,6532,5526,6635,6805,7060,9876,10461
