Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1950,1950.000,154,5762,6080,5139,6202,6351,6432,9899,10603
1,1876,1876.000,134,5972,6201,5320,6310,6474,7412,9060,9597
2,1855,1855.000,140,6038,6218,5373,6313,6445,6535,7930,9538
3,1942,1942.000,111,5911,6095,5154,6168,6241,6328,7806,9191
4,1974,1974.000,124,5838,6073,5056,6139,6264,6380,9244,10698
5,1915,1915.000,114,5992,6152,5224,6261,6415,6474,8455,10605
6,1896,1896.000,117,5995,6145,5272,6255,6379,6449,7816,9290
7,1917,1917.000,134,6001,6206,5213,6291,6455,6565,9139,10123
8,1880,1880.000,121,6069,6267,5307,6357,6503,6579,8252,9510
9,1841,1841.000,87,6234,6375,5438,6594,6720,6832,8364,9682
10,1783,1783.000,110,6395,6562,5599,6668,6832,7287,10003,10772
11,1841,1841.000,115,5264,6492,5413,6588,6726,6813,8328,9944
12,2793,2793.000,98,3395,3533,3578,5159,5478,5653,10644,11073
13,3406,3406.000,98,3293,3439,2930,3512,3653,3724,4010,7609
14,3367,3367.000,96,3319,3522,2969,3613,3789,3900,4467,7365
15,3322,3322.000,100,3325,3507,3005,3582,3750,3815,5469,7742
16,3313,3313.000,91,3360,3550,3014,3620,3747,3824,4023,7597
17,3357,3357.000,94,3323,3515,2975,3580,3713,3782,4011,5505
18,3316,3316.000,102,3360,3540,3005,3627,3763,3835,4096,7820
19,2847,2847.000,88,3439,3577,3520,4260,5524,6708,7256,8804
20,2047,2047.000,102,3969,4745,4874,6709,7062,7334,11251,47742
21,2946,2946.000,96,3398,3552,3387,3666,5522,6778,7099,9862
22,3003,3003.000,90,3408,3565,3324,3643,3810,4003,13522,28857
23,3351,3351.000,103,3322,3481,2978,3559,3678,3743,4298,14110
24,3305,3305.000,104,3364,3471,3023,3544,3669,3748,5106,7551
25,3372,3372.000,102,3338,3469,2962,3529,3657,3726,3969,5518
26,3362,3362.000,91,3343,3453,2970,3523,3663,3715,4067,7514
27,3448,3448.000,88,3286,3462,2896,3523,3577,3660,4849,5945
28,3403,3403.000,96,3291,3441,2932,3507,3624,3693,5149,7871
29,3404,3404.000,100,3330,3485,2939,3550,3637,3695,3881,5376
30,3437,3437.000,93,3282,3440,2903,3504,3644,3696,3825,7441
31,3370,3370.000,102,3329,3469,2963,3533,3651,3742,3971,7536
32,3427,3427.000,102,3304,3452,2918,3521,3606,3686,3906,5471
33,3400,3400.000,91,3313,3483,2934,3552,3621,3675,4796,7463
34,3409,3409.000,84,3320,3471,2933,3540,3653,3740,3993,5274
35,3346,3346.000,88,3353,3488,2984,3556,3717,3821,4078,7691
36,2207,2207.000,100,3552,4366,4526,6646,7002,7350,10791,11952
37,3431,3431.000,94,3296,3455,2913,3527,3675,3731,4069,7449
38,3256,3256.000,96,3371,3487,3065,3566,3694,3769,6893,11305
39,3358,3358.000,89,3325,3473,2979,3531,3667,3719,5508,7582
40,3334,3334.000,89,3375,3508,2997,3573,3692,3766,4187,5590
41,3394,3394.000,91,3311,3460,2943,3528,3659,3714,4795,7552
42,3275,3275.000,97,3399,3538,3050,3614,3729,3807,5281,7747
43,3353,3353.000,84,3341,3500,2978,3588,3697,3757,3964,5340
44,3301,3301.000,101,3367,3527,3022,3603,3717,3782,5394,7778
45,3330,3330.000,97,3350,3506,2999,3594,3779,4008,4572,5729
46,3310,3310.000,87,3390,3520,3018,3607,3746,3825,4078,7557
47,3329,3329.000,90,3372,3521,2998,3603,3717,3806,4219,5448
48,3342,3342.000,91,3367,3490,2993,3576,3712,3785,4055,7755
49,3374,3374.000,102,3344,3487,2961,3543,3610,3697,5061,6701
50,1984,1984.000,105,3516,4054,5032,6214,6432,11860,24107,38239
51,1909,1909.000,98,6038,6195,5254,6292,6402,6481,7969,9382
52,1867,1867.000,122,6072,6220,5352,6349,6480,6585,7872,9670
53,1857,1857.000,117,6059,6187,5380,6289,6510,6639,9053,10387
54,1180,1180.000,121,6128,9130,8484,11229,13900,17343,28006,34981
55,1624,1624.000,101,6088,6303,6143,6705,10496,10699,13273,17479
56,1806,1806.000,112,6326,6490,5539,6619,6778,6845,8391,10016
57,1832,1832.000,101,6164,6308,5436,6415,6551,6628,9461,10312
58,1772,1772.000,115,6235,6386,5650,6589,7496,9215,11218,12380
59,1829,1829.000,132,6240,6421,5465,6549,6708,7834,8313,9778
60,1807,1807.000,92,6309,6489,5540,6615,6749,6821,9385,10574
61,1815,1815.000,101,6322,6511,5495,6614,6754,6822,9435,9811
62,1776,1776.000,130,6355,6532,5616,6666,6831,7025,8600,9954
63,1832,1832.000,124,6203,6344,5457,6570,6671,6764,9542,9888
64,1896,1896.000,101,6001,6177,5284,6254,6430,6617,9957,14094
65,1931,1931.000,99,5948,6124,5176,6239,6365,6439,8713,9614
66,1951,1951.000,84,5940,6102,5111,6206,6327,6409,7623,9255
67,1936,1936.000,93,5919,6071,5170,6182,6303,6347,8839,11794
68,1940,1940.000,96,5840,6017,5162,6131,6300,6413,9061,9199
