Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,505.400,3.002,0.110,0.232,0.333,6.420,6.632,6.769,8.436,12.908,0.333
5,536.200,2.804,0.105,0.208,0.255,6.184,6.412,6.542,7.840,12.471,0.357
10,530.800,2.822,0.100,0.213,0.254,6.066,6.256,6.344,7.880,34.500,0.354
15,523.400,2.902,0.091,0.215,0.258,6.189,6.334,6.439,8.174,72.511,0.345
20,768.000,1.938,0.089,0.198,0.246,3.551,4.055,6.637,7.103,66.983,0.516
25,935.400,1.600,0.087,0.168,0.219,3.517,3.613,3.748,5.271,8.371,0.625
30,935.000,1.667,0.093,0.197,0.246,3.529,3.632,3.737,3.937,10.779,0.600
35,914.400,1.717,0.081,0.196,0.248,3.532,3.618,3.753,4.968,9.879,0.583
40,876.600,1.702,0.088,0.186,0.236,3.516,3.642,3.792,6.972,11.554,0.588
45,929.800,1.654,0.091,0.189,0.243,3.489,3.572,3.647,3.821,7.331,0.605
50,969.800,1.614,0.092,0.179,0.233,3.504,3.586,3.638,3.867,7.545,0.620
55,561.800,2.597,0.089,0.183,0.225,6.001,6.390,9.348,12.290,34.978,0.385
60,505.200,2.846,0.102,0.196,0.233,6.273,6.472,6.594,8.000,10.399,0.351
65,500.800,2.927,0.101,0.192,0.239,6.447,6.631,6.742,8.393,10.594,0.342
70,526.000,2.808,0.095,0.193,0.233,6.175,6.438,6.564,7.788,14.769,0.356
75,522.000,2.842,0.089,0.184,0.234,6.093,6.225,6.334,8.781,27.327,0.352
80,520.800,2.861,0.102,0.188,0.224,6.268,6.534,6.679,8.434,15.127,0.350
85,464.400,3.231,0.107,0.186,0.224,6.244,6.718,9.999,13.138,28.216,0.309
90,520.200,2.712,0.088,0.189,0.224,6.205,6.352,6.466,7.815,11.641,0.369
95,522.200,2.735,0.093,0.181,0.216,6.382,6.584,6.713,8.198,10.725,0.366
100,520.600,2.928,0.084,0.172,0.220,6.210,6.538,6.682,8.456,16.231,0.342
105,527.400,2.864,0.097,0.186,0.229,6.136,6.289,6.413,9.053,38.145,0.349
110,516.200,2.864,0.089,0.185,0.224,6.138,6.286,6.418,10.900,33.094,0.349
115,492.400,3.094,0.090,0.178,0.220,6.307,6.657,9.706,12.986,20.104,0.323
120,528.800,2.800,0.094,0.185,0.220,6.303,6.484,6.576,8.088,12.422,0.357
125,520.000,2.725,0.096,0.184,0.218,6.347,6.566,6.677,8.106,10.556,0.367
130,506.800,2.829,0.093,0.185,0.220,6.432,6.587,6.676,8.222,13.133,0.354
135,524.400,2.853,0.099,0.186,0.233,6.145,6.272,6.381,9.256,18.575,0.350
140,481.800,2.980,0.089,0.184,0.233,6.156,6.358,7.673,12.442,17.925,0.336
145,491.200,3.017,0.099,0.189,0.235,6.441,6.601,6.792,10.789,35.191,0.331
150,508.800,2.923,0.097,0.181,0.226,6.320,6.478,6.592,8.145,10.259,0.342
155,521.600,2.784,0.096,0.173,0.212,6.285,6.504,6.605,7.963,10.637,0.359
160,512.400,2.955,0.082,0.171,0.212,6.432,6.607,6.701,8.309,21.141,0.338
165,515.800,3.016,0.090,0.184,0.228,6.199,6.496,6.672,9.819,27.523,0.332
170,479.400,3.075,0.102,0.194,0.233,6.204,6.436,9.211,12.274,18.003,0.325
175,520.600,2.900,0.096,0.169,0.213,6.333,6.600,6.756,8.373,12.062,0.345
180,526.400,2.796,0.098,0.193,0.235,6.250,6.433,6.555,7.942,20.828,0.358
185,523.800,2.793,0.102,0.191,0.231,6.220,6.375,6.495,7.889,13.412,0.358
190,513.600,2.965,0.086,0.191,0.237,6.364,6.548,6.635,8.196,17.876,0.337
195,511.200,2.965,0.102,0.197,0.238,6.423,6.592,6.733,9.712,30.673,0.337
200,492.000,3.059,0.106,0.203,0.246,6.110,6.313,9.077,11.716,17.149,0.327
205,517.600,2.885,0.076,0.196,0.243,6.221,6.411,6.659,9.242,11.109,0.347
210,520.400,2.963,0.099,0.196,0.250,6.414,6.642,6.729,8.482,27.672,0.338
215,500.000,2.857,0.093,0.194,0.240,6.292,6.453,6.558,8.041,12.442,0.350
220,523.200,2.871,0.090,0.188,0.234,6.278,6.471,6.572,8.079,11.696,0.348
225,495.000,2.912,0.099,0.182,0.222,6.440,6.638,6.788,9.604,28.284,0.343
230,477.000,3.088,0.097,0.190,0.225,6.186,6.533,9.087,14.637,27.388,0.324
235,520.000,2.882,0.104,0.186,0.227,6.159,6.309,6.462,9.210,13.245,0.347
240,513.200,2.838,0.094,0.187,0.221,6.344,6.589,6.699,8.025,10.763,0.352
245,522.400,2.856,0.104,0.186,0.220,6.315,6.450,6.573,8.558,21.016,0.350
250,518.400,2.785,0.103,0.192,0.236,6.269,6.412,6.503,7.951,10.098,0.359
255,521.200,2.936,0.095,0.204,0.247,6.395,6.548,6.633,8.430,17.316,0.341
260,458.800,3.186,0.097,0.200,0.250,6.232,6.650,9.248,12.731,29.348,0.314
265,515.400,2.820,0.104,0.206,0.254,6.162,6.292,6.397,8.154,13.708,0.355
270,523.600,2.787,0.076,0.210,0.250,6.217,6.399,6.507,7.842,10.299,0.359
275,519.600,2.782,0.086,0.208,0.247,6.357,6.610,6.729,8.610,21.540,0.359
280,501.600,2.909,0.112,0.211,0.253,6.326,6.476,6.579,8.019,10.595,0.344
285,530.400,2.880,0.100,0.192,0.236,6.327,6.522,6.615,7.973,19.580,0.347
290,462.400,3.110,0.099,0.188,0.223,6.185,6.573,9.432,13.850,35.127,0.322
295,519.200,2.829,0.095,0.191,0.229,6.138,6.286,6.411,9.086,12.178,0.354
300,532.800,2.744,0.091,0.188,0.223,6.144,6.244,6.365,7.815,10.880,0.364
305,505.400,2.957,0.084,0.186,0.227,6.355,6.637,6.781,8.456,11.789,0.338
310,524.000,2.808,0.100,0.190,0.233,6.247,6.419,6.511,7.996,22.665,0.356
315,520.800,2.851,0.080,0.201,0.244,6.197,6.319,6.445,7.926,21.918,0.351
320,454.400,3.329,0.109,0.200,0.244,6.467,6.763,10.215,14.985,42.724,0.300
325,546.600,2.702,0.087,0.186,0.226,6.095,6.221,6.328,9.067,11.620,0.370
330,542.800,2.746,0.094,0.182,0.220,6.104,6.268,6.331,7.821,11.084,0.364
335,527.200,2.696,0.082,0.185,0.221,6.186,6.315,6.418,7.916,10.280,0.371
340,520.800,2.851,0.096,0.190,0.231,6.372,6.593,6.677,8.244,19.970,0.351
345,490.200,2.929,0.093,0.211,0.252,6.229,6.388,6.483,11.433,34.621,0.341
