Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,InsertPosition,1722222920.843507,5955,0,1
3,UpdateEmployee,1722222920.849496,1758,0,1
2,UpdatePosition,1722222920.851263,1199,0,1
3,UpdateEmployee,1722222920.852468,945,0,1
1,InsertPosition,1722222920.853418,808,0,1
3,UpdateEmployee,1722222920.854232,835,0,1
1,InsertPosition,1722222920.855072,759,0,1
1,InsertPosition,1722222920.855836,756,0,1
1,InsertPosition,1722222920.856597,1258,0,1
2,UpdatePosition,1722222920.857865,867,0,1
1,InsertPosition,1722222920.858738,662,0,1
3,UpdateEmployee,1722222920.859404,871,0,1
1,InsertPosition,1722222920.860279,626,0,1
1,InsertPosition,1722222920.860909,1778,0,1
1,InsertPosition,1722222920.862698,960,0,1
2,UpdatePosition,1722222920.863664,1230,0,1
1,InsertPosition,1722222920.864904,896,0,1
1,InsertPosition,1722222920.865806,766,0,1
3,UpdateEmployee,1722222920.866578,1158,0,1
3,UpdateEmployee,1722222920.867745,1054,0,1
2,UpdatePosition,1722222920.868807,1026,0,1
2,UpdatePosition,1722222920.869851,1606,0,1
2,UpdatePosition,1722222920.871468,1180,0,1
4,DeleteEmployee,1722222920.872661,2125,0,1
3,UpdateEmployee,1722222920.874792,675,0,1
3,UpdateEmployee,1722222920.875471,693,0,1
2,UpdatePosition,1722222920.876168,837,0,1
4,DeleteEmployee,1722222920.877011,1648,0,1
3,UpdateEmployee,1722222920.878663,757,0,1
1,InsertPosition,1722222920.879426,644,0,1
1,InsertPosition,1722222920.880074,627,0,1
1,InsertPosition,1722222920.880706,637,0,1
3,UpdateEmployee,1722222920.881348,734,0,1
4,DeleteEmployee,1722222920.882087,1732,0,1
3,UpdateEmployee,1722222920.883824,649,0,1
4,DeleteEmployee,1722222920.884478,1739,0,1
4,DeleteEmployee,1722222920.886223,1608,0,1
4,DeleteEmployee,1722222920.887835,1579,0,1
3,UpdateEmployee,1722222920.889418,678,0,1
1,InsertPosition,1722222920.890101,679,0,1
2,UpdatePosition,1722222920.890787,1133,0,1
3,UpdateEmployee,1722222920.891928,775,0,1
2,UpdatePosition,1722222920.892708,834,0,1
3,UpdateEmployee,1722222920.893548,673,0,1
4,DeleteEmployee,1722222920.894227,1605,0,1
1,InsertPosition,1722222920.895838,687,0,1
2,UpdatePosition,1722222920.896529,818,0,1
1,InsertPosition,1722222920.897353,653,0,1
