Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1825,1825.000,158,6115,6375,5482,6504,6622,6692,8231,11993
1,1842,1842.000,113,6189,6386,5438,6489,6634,6712,8012,9821
2,1711,1711.000,127,6308,6515,5829,6656,8171,10455,11110,13899
3,1804,1804.000,126,6287,6442,5543,6512,6613,6739,8501,9626
4,1821,1821.000,110,6283,6494,5484,6593,6791,7979,11327,12460
5,1855,1855.000,104,6053,6226,5388,6482,6730,6882,9794,11520
6,1862,1862.000,113,6002,6150,5342,6210,6310,6421,10270,10658
7,1910,1910.000,121,5950,6131,5231,6199,6339,6408,7755,9273
8,1950,1950.000,116,5918,6128,5134,6217,6376,6421,8633,9341
9,1920,1920.000,106,5906,6087,5201,6180,6311,6432,8924,10255
10,1883,1883.000,95,5895,6038,5328,6115,6268,7597,10619,11930
11,1844,1844.000,104,5909,6112,5397,6227,6453,10435,11112,13986
12,1864,1864.000,119,5958,6107,5365,6217,6384,7540,10742,11061
13,1925,1925.000,101,5975,6174,5176,6268,6433,6477,7985,9249
14,1884,1884.000,113,6041,6217,5314,6317,6462,6521,7973,9432
15,1919,1919.000,114,5941,6077,5199,6175,6318,6376,8748,10163
16,1682,1682.000,124,5990,6154,5946,6299,7284,11839,24794,28961
17,1891,1891.000,95,6052,6253,5281,6339,6544,7468,9393,10747
18,1835,1835.000,112,6258,6543,5445,6662,6815,6886,8435,10007
19,1764,1764.000,97,6366,6519,5663,6603,6816,6953,9607,10695
20,2011,2011.000,97,5136,5485,4967,6479,6560,6585,6697,8430
21,3083,3083.000,106,3352,3494,3238,3587,4043,5480,10626,11011
22,3447,3447.000,85,3275,3429,2895,3478,3552,3614,3854,5319
23,3453,3453.000,94,3276,3428,2893,3483,3530,3596,3844,7346
24,3128,3128.000,99,3337,3490,3192,3877,4253,5374,6875,7033
25,2236,2236.000,92,3758,4247,4474,6536,6915,7039,9999,11244
26,3319,3319.000,99,3327,3507,3007,3585,3718,3838,5679,7220
27,3335,3335.000,92,3330,3505,2990,3576,3717,3778,4026,7595
28,3354,3354.000,89,3343,3507,2984,3583,3706,3767,3961,5583
29,3330,3330.000,101,3342,3503,2998,3582,3713,3764,3970,7523
30,3336,3336.000,98,3354,3518,2988,3595,3720,3780,3847,5564
31,3385,3385.000,102,3314,3488,2954,3559,3682,3739,5246,7511
32,3406,3406.000,100,3313,3504,2927,3569,3640,3700,3819,5411
33,3387,3387.000,99,3308,3453,2950,3520,3591,3696,3899,7470
34,3348,3348.000,102,3350,3512,2984,3585,3718,3798,4249,7947
35,3245,3245.000,93,3323,3472,3077,3564,3697,3765,10524,11008
36,3348,3348.000,85,3344,3498,2982,3571,3668,3753,5140,7739
37,3369,3369.000,98,3324,3473,2965,3552,3662,3747,3879,5429
38,3340,3340.000,86,3337,3504,2989,3578,3732,3782,5468,7500
39,3310,3310.000,88,3395,3538,3017,3620,3730,3784,3893,5445
40,3274,3274.000,90,3368,3529,3044,3601,3733,3797,5249,11686
41,2282,2282.000,105,3524,4328,4386,5739,6969,7143,11284,11540
42,3275,3275.000,95,3378,3547,3045,3613,3668,3737,6715,7606
43,3209,3209.000,89,3414,3570,3114,3648,3738,3871,5572,11391
