Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,634.000,3.201,0.224,0.448,0.638,6.105,6.309,6.443,9.404,17.160,0.312
5,627.000,3.270,0.222,0.449,0.626,6.279,6.617,6.755,8.258,10.754,0.306
10,622.800,3.204,0.227,0.461,0.728,6.202,6.438,6.589,8.206,33.771,0.312
15,508.800,4.062,0.235,0.569,0.858,6.353,9.537,11.495,16.324,66.029,0.246
20,679.800,3.182,0.211,0.472,0.691,6.121,6.296,6.425,8.973,13.331,0.314
25,647.200,3.223,0.226,0.462,0.657,6.163,6.338,6.466,8.169,10.808,0.310
30,634.200,3.214,0.219,0.464,0.664,6.267,6.591,6.694,8.417,19.414,0.311
35,546.800,3.858,0.236,0.479,0.741,6.454,7.421,10.661,13.804,39.501,0.259
40,607.000,3.346,0.203,0.448,0.630,6.409,6.636,6.849,9.423,24.346,0.299
45,647.800,3.096,0.209,0.427,0.571,6.083,6.271,6.391,8.125,25.186,0.323
50,651.200,3.190,0.222,0.460,0.643,6.156,6.417,6.634,8.849,25.806,0.313
55,570.600,3.587,0.213,0.469,0.694,6.357,6.789,9.676,14.152,33.769,0.279
60,603.000,3.404,0.223,0.461,0.703,6.365,6.589,6.742,8.515,13.512,0.294
65,601.600,3.259,0.209,0.432,0.580,6.474,6.640,6.746,8.309,11.234,0.307
70,643.400,3.248,0.220,0.447,0.641,6.141,6.320,6.453,8.533,34.118,0.308
75,579.400,3.569,0.219,0.461,0.629,6.149,6.468,10.051,14.058,38.978,0.280
80,630.000,3.260,0.219,0.451,0.646,6.265,6.471,6.584,8.850,12.018,0.307
85,632.000,3.248,0.208,0.446,0.596,6.337,6.530,6.651,8.364,10.362,0.308
90,602.600,3.197,0.218,0.451,0.611,6.377,6.637,6.799,8.226,11.070,0.313
95,596.200,3.316,0.219,0.454,0.626,6.067,6.248,7.578,13.215,49.533,0.302
100,590.400,3.384,0.212,0.455,0.634,6.268,6.702,8.311,11.751,21.539,0.296
105,640.200,3.211,0.210,0.447,0.634,6.253,6.427,6.533,8.248,24.115,0.311
110,601.200,3.455,0.205,0.470,0.746,6.370,6.594,6.735,9.392,32.294,0.289
115,634.400,3.258,0.220,0.455,0.631,6.170,6.512,6.673,8.619,21.613,0.307
