Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1872,1872.000,155,5865,6278,5359,6422,6586,7030,9527,12639
1,1828,1828.000,171,6152,6508,5461,6683,6798,6900,8095,10175
2,1804,1804.000,145,6231,6586,5532,6706,6846,7026,9661,10623
3,2100,2100.000,146,3522,5371,4751,6464,6688,7013,10894,11107
4,3325,3325.000,122,3264,3499,3005,3558,3643,3761,5339,6739
5,3327,3327.000,142,3271,3465,2999,3544,3697,3757,4235,7517
6,3385,3385.000,128,3203,3499,2949,3581,3708,3774,5197,7468
7,3426,3426.000,127,3177,3467,2912,3544,3648,3718,3855,5575
8,3385,3385.000,142,3221,3486,2954,3568,3687,3767,4079,8005
9,3362,3362.000,126,3237,3474,2971,3563,3678,3756,4059,6824
10,3402,3402.000,134,3228,3476,2933,3552,3650,3723,4102,7489
11,3366,3366.000,144,3232,3476,2963,3563,3693,3774,4600,6302
12,3401,3401.000,125,3245,3430,2939,3501,3630,3686,3977,7754
13,3099,3099.000,144,3269,3484,3221,3563,3703,3778,4026,45162
14,3231,3231.000,120,3279,3467,3094,3534,3658,3711,3829,44305
15,3095,3095.000,134,3285,3495,3226,3562,3676,3747,3943,43858
16,2019,2019.000,134,3849,4208,4943,6691,8627,10601,13636,38635
17,2381,2381.000,153,3460,3829,4196,6532,6917,7021,9002,11456
18,3173,3173.000,135,3359,3496,3150,3584,3777,3957,10561,15465
19,3345,3345.000,142,3290,3520,2983,3594,3795,3907,4110,5592
20,3327,3327.000,126,3293,3483,3002,3542,3697,3757,4054,7742
21,3261,3261.000,123,3280,3564,3063,3654,3815,3936,5276,12444
22,3340,3340.000,129,3243,3536,2988,3613,3730,3812,4031,5575
23,3246,3246.000,122,3365,3533,3081,3627,3744,3825,5266,7639
24,3400,3400.000,124,3213,3485,2939,3563,3690,3762,3954,5824
25,3370,3370.000,130,3245,3492,2958,3573,3667,3763,3879,7455
26,3265,3265.000,126,3205,3471,3059,3544,3630,3780,10572,11298
27,3349,3349.000,121,3258,3488,2989,3570,3676,3755,3994,7395
28,3258,3258.000,140,3327,3537,3065,3628,3738,3798,4863,7086
29,3340,3340.000,115,3233,3513,2992,3594,3704,3778,4046,7567
30,3308,3308.000,125,3280,3532,3019,3616,3743,3835,4064,5895
31,3373,3373.000,144,3238,3453,2958,3543,3679,3764,4103,7717
32,2696,2696.000,125,3395,3608,3720,4381,6716,6935,9516,11393
33,2908,2908.000,126,3302,3479,3424,3592,5968,6868,10055,14112
34,3245,3245.000,120,3307,3523,3081,3613,3761,3914,6813,7677
35,3366,3366.000,117,3273,3480,2966,3542,3658,3721,4011,5503
36,3301,3301.000,118,3327,3509,3031,3578,3710,3787,4040,7549
37,3310,3310.000,141,3244,3465,3017,3517,3599,3768,9297,12881
38,3359,3359.000,133,3289,3491,2974,3564,3700,3753,4100,7717
39,3383,3383.000,123,3261,3461,2949,3546,3672,3729,4935,6665
40,3376,3376.000,130,3268,3462,2961,3536,3673,3728,4188,7724
41,3337,3337.000,134,3269,3466,2994,3547,3704,3772,5323,6958
42,3305,3305.000,123,3253,3441,3026,3521,3708,4208,5874,13408
43,3431,3431.000,127,3241,3476,2910,3545,3652,3724,3993,5269
44,3400,3400.000,120,3241,3456,2939,3511,3580,3639,3883,7533
45,3313,3313.000,128,3293,3534,3015,3620,3736,3828,4115,5462
46,3285,3285.000,117,3263,3527,3043,3620,3749,3831,5378,7546
47,3131,3131.000,129,3366,3586,3191,3738,4182,4476,6556,8863
48,2881,2881.000,140,3286,3521,3512,3612,3797,5774,12920,31665
49,1070,1070.000,158,9096,10257,9217,11765,13424,16564,23610,26845
50,1897,1897.000,118,5941,6200,5282,6298,6435,6539,8997,10256
51,1930,1930.000,127,5806,6123,5170,6196,6263,6323,7806,9169
52,1841,1841.000,150,5848,6161,5424,6290,6532,9170,11659,12817
53,1860,1860.000,133,5976,6249,5376,6366,6553,7665,8756,10187
54,1885,1885.000,135,5931,6207,5314,6326,6491,6648,9118,9495
55,1893,1893.000,146,5896,6208,5271,6311,6458,6561,7967,10817
56,1898,1898.000,127,5928,6258,5277,6456,6598,6775,8203,9683
57,1870,1870.000,152,6022,6418,5361,6585,6760,6968,10215,11916
58,1853,1853.000,161,6043,6337,5378,6463,6604,6681,8208,9414
59,1845,1845.000,155,6097,6411,5424,6517,6665,6734,8286,11091
60,1842,1842.000,152,6046,6366,5420,6461,6573,6686,9236,10557
61,1826,1826.000,161,6125,6483,5471,6622,6782,6859,9324,10202
62,1793,1793.000,158,6214,6529,5589,6651,6837,7030,9560,9992
63,1809,1809.000,134,6158,6512,5505,6635,6800,6928,8382,9819
64,1841,1841.000,141,6021,6285,5433,6499,6607,6782,9360,10474
65,1900,1900.000,139,5914,6168,5265,6287,6416,6485,7816,9370
66,1908,1908.000,133,5851,6177,5239,6287,6452,6511,8492,9447
67,1911,1911.000,143,5815,6085,5229,6197,6346,6454,9311,10183
68,1956,1956.000,119,5742,6059,5117,6160,6290,6364,7549,9082
69,1924,1924.000,141,5789,6075,5203,6153,6239,6316,7717,9156
70,1964,1964.000,143,5681,6015,5083,6107,6227,6304,8349,11515
71,1936,1936.000,136,5749,6031,5145,6127,6240,6325,7695,9195
72,1904,1904.000,158,5861,6140,5261,6276,6422,6590,8656,10607
73,1744,1744.000,146,5830,6083,5718,6222,6397,7735,22053,35662
74,1934,1934.000,127,5803,6059,5179,6160,6318,6396,7743,9309
75,1935,1935.000,115,5832,6157,5167,6274,6403,6498,7616,10645
76,1892,1892.000,133,5889,6145,5282,6276,6427,6512,9228,10303
77,1799,1799.000,156,5817,6080,5677,6257,6442,9870,25112,31135
78,945,945.000,135,9517,10891,10349,12352,14852,19542,34143,39593
79,1705,1705.000,143,6140,6407,5864,6574,8229,11006,12498,13352
80,1834,1834.000,135,6154,6347,5463,6472,6605,6700,9344,10372
81,1841,1841.000,133,5916,6266,5431,6373,6536,7889,11535,12696
82,1809,1809.000,141,6095,6344,5513,6486,6654,7872,10689,11111
83,1810,1810.000,140,6122,6348,5530,6511,6690,7906,10264,12381
84,1896,1896.000,137,5930,6257,5270,6359,6504,6619,9128,9556
85,1913,1913.000,138,5907,6271,5223,6352,6415,6458,7945,9590
86,1873,1873.000,136,5982,6326,5339,6454,6609,6705,8434,9470
87,1799,1799.000,142,6121,6328,5552,6487,6626,6764,10420,12252
88,1754,1754.000,138,6238,6531,5690,6649,6802,7026,10121,19157
89,1828,1828.000,147,6144,6472,5481,6616,6748,6846,8532,9766
90,1754,1754.000,157,6303,6464,5699,6598,6714,6797,9444,11038
91,1815,1815.000,140,6133,6409,5510,6527,6664,6745,9417,9994
92,1845,1845.000,164,6083,6439,5416,6613,6747,7025,9174,10194
93,1799,1799.000,153,6225,6575,5557,6654,6751,6879,8570,9837
94,1766,1766.000,135,6286,6520,5656,6627,6809,7009,9932,10771
95,1836,1836.000,139,6193,6507,5457,6611,6736,6804,8399,9836
96,1888,1888.000,135,5945,6229,5286,6338,6550,6720,8924,12527
97,1893,1893.000,157,5924,6197,5276,6305,6430,6481,9194,10340
98,1899,1899.000,137,5905,6137,5266,6228,6379,6513,8923,9380
99,1927,1927.000,161,5861,6138,5197,6246,6361,6449,7782,9500
100,1892,1892.000,144,5852,6116,5272,6226,6359,6445,9100,10160
101,1939,1939.000,132,5757,6069,5159,6194,6328,6415,7840,9320
102,1930,1930.000,138,5798,6069,5192,6203,6361,6467,8790,11417
103,1798,1798.000,163,5790,6111,5561,6220,6407,7721,19362,23195
104,1939,1939.000,126,5790,6077,5157,6202,6345,6421,7759,9111
105,1948,1948.000,139,5758,6088,5119,6209,6324,6407,7813,9150
106,1935,1935.000,152,5797,6130,5177,6222,6345,6436,7779,9168
107,1245,1245.000,149,6064,6282,8026,11136,13960,17907,27728,37847
108,1388,1388.000,151,5140,6201,7188,10673,12240,12777,14193,26155
109,1912,1912.000,135,5183,5600,5231,6213,6380,6562,20157,34580
110,1862,1862.000,135,6021,6296,5375,6440,6598,6707,9029,10332
111,1758,1758.000,158,6108,6352,5672,6502,6725,9656,11177,13786
112,1829,1829.000,141,6078,6352,5473,6481,6611,7590,8966,9657
113,1902,1902.000,140,5951,6325,5251,6443,6567,6667,8036,9673
114,1859,1859.000,125,5965,6237,5389,6351,6509,6576,9355,18549
115,1838,1838.000,140,6043,6281,5440,6413,6538,6612,8999,9541
