Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
330,306.000,6.271,0.270,6.201,6.312,6.456,6.575,6.755,9.143,14.010,0.159
335,299.200,6.129,0.240,6.125,6.204,6.300,6.426,6.514,7.986,9.463,0.163
340,261.600,7.334,0.201,6.227,6.405,6.631,10.339,12.609,20.604,41.145,0.136
345,313.600,6.217,0.216,6.074,6.195,6.350,6.539,7.538,10.627,23.782,0.161
350,300.000,6.237,0.208,6.083,6.204,6.325,6.492,6.800,10.838,16.102,0.160
355,298.600,6.243,0.203,6.142,6.262,6.398,6.626,7.148,9.430,14.686,0.160
360,301.400,6.220,0.179,5.962,6.278,6.460,6.669,6.906,9.796,20.109,0.161
365,317.000,6.187,0.310,6.157,6.237,6.349,6.489,6.604,9.172,10.184,0.162
370,260.400,7.227,0.200,6.217,6.358,6.708,11.041,12.342,18.362,30.680,0.138
375,300.200,6.340,0.229,6.167,6.349,6.557,6.749,7.516,10.990,13.084,0.158
380,312.400,6.141,0.149,6.027,6.158,6.307,6.473,7.358,9.911,24.133,0.163
385,317.600,6.200,0.246,6.092,6.198,6.345,6.485,6.596,9.190,26.835,0.161
390,297.400,6.299,0.239,6.073,6.359,6.547,6.690,7.009,12.782,24.387,0.159
395,296.400,6.186,0.181,6.168,6.260,6.382,6.514,6.598,8.110,10.757,0.162
400,282.800,7.139,0.158,6.247,6.387,6.553,10.655,12.174,15.418,37.453,0.140
405,297.000,6.500,0.233,6.228,6.491,6.631,6.849,8.124,11.352,15.350,0.154
410,302.600,6.163,0.280,6.033,6.147,6.263,6.405,6.548,9.313,18.071,0.162
415,307.800,6.200,0.191,6.080,6.175,6.277,6.434,6.582,9.891,23.594,0.161
420,289.200,6.302,0.218,6.075,6.359,6.587,6.734,6.889,11.768,20.316,0.159
425,310.200,6.205,0.240,6.170,6.262,6.388,6.509,6.636,8.149,10.199,0.161
430,265.400,6.966,0.162,6.216,6.399,6.589,9.995,11.963,14.418,29.801,0.144
435,290.200,6.506,0.207,6.370,6.497,6.615,6.765,7.977,9.891,13.713,0.154
440,302.000,6.142,0.281,6.029,6.139,6.270,6.506,6.859,9.197,16.911,0.163
445,305.600,6.103,0.197,6.017,6.132,6.258,6.391,6.519,9.313,27.326,0.164
450,295.400,6.336,0.206,6.163,6.347,6.573,6.726,7.048,9.834,17.715,0.158
455,287.000,6.192,0.235,5.965,6.233,6.409,6.555,6.721,19.028,20.445,0.162
460,272.800,6.953,0.225,6.182,6.299,6.565,10.725,11.818,13.627,23.839,0.144
465,284.200,6.460,0.257,6.358,6.457,6.594,6.756,7.665,9.495,11.608,0.155
470,288.600,6.225,0.209,6.060,6.169,6.436,6.658,6.832,9.304,23.992,0.161
475,308.600,6.010,0.144,5.970,6.037,6.114,6.258,6.378,9.079,29.127,0.166
480,311.400,6.238,0.188,6.097,6.255,6.520,6.720,6.919,8.721,26.285,0.160
485,314.000,6.244,0.216,5.901,6.297,6.483,6.640,7.652,12.337,35.499,0.160
490,263.200,6.726,0.185,6.142,6.243,6.396,9.477,10.860,15.951,20.841,0.149
495,299.600,6.337,0.266,6.292,6.408,6.517,6.641,6.765,8.343,10.600,0.158
500,296.400,6.418,0.296,6.164,6.400,6.563,6.764,6.916,12.150,15.965,0.156
505,300.800,6.074,0.169,5.998,6.089,6.188,6.321,6.440,9.311,33.755,0.165
510,303.200,6.180,0.206,6.109,6.196,6.318,6.451,6.616,8.176,26.113,0.162
515,275.400,6.837,0.195,5.873,6.486,6.663,9.441,12.255,19.176,23.912,0.146
520,286.200,6.375,0.166,6.160,6.250,6.376,6.565,9.047,12.431,15.058,0.157
525,286.600,6.327,0.192,6.244,6.380,6.503,6.649,6.733,9.227,10.381,0.158
530,296.200,6.426,0.188,6.234,6.472,6.602,6.774,6.910,11.005,31.327,0.156
535,303.800,6.151,0.226,6.011,6.106,6.210,6.352,6.492,12.166,22.678,0.163
540,288.000,6.144,0.192,6.055,6.156,6.253,6.426,7.159,10.481,25.801,0.163
545,271.600,7.328,0.179,6.307,6.549,6.790,10.607,12.151,17.937,33.374,0.136
550,310.800,6.257,0.192,6.154,6.263,6.374,6.658,7.790,10.477,13.748,0.160
555,287.000,6.251,0.231,6.223,6.346,6.474,6.639,6.773,9.454,14.606,0.160
560,289.400,6.453,0.173,6.321,6.510,6.637,6.788,7.188,10.169,22.327,0.155
565,307.200,6.117,0.173,6.018,6.132,6.248,6.418,6.631,9.496,34.153,0.163
570,311.400,6.050,0.208,6.036,6.150,6.273,6.403,6.566,7.959,10.212,0.165
575,263.200,6.986,0.190,6.222,6.380,6.641,9.666,11.082,17.236,36.919,0.143
580,301.800,6.297,0.220,6.174,6.292,6.421,6.611,7.857,9.833,11.999,0.159
585,290.600,6.348,0.186,6.208,6.332,6.528,6.706,7.919,11.532,19.064,0.158
590,288.800,6.441,0.173,6.367,6.477,6.637,6.767,6.962,9.610,11.907,0.155
595,302.600,6.208,0.219,6.062,6.174,6.334,6.523,7.581,9.299,32.463,0.161
