Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1786,1786.000,166,6214,6445,5598,6503,6572,6654,9841,13605
1,1810,1810.000,118,6201,6376,5527,6492,6651,6771,8230,9779
2,1798,1798.000,119,6307,6524,5561,6615,6726,6897,8411,9871
3,1796,1796.000,122,6353,6524,5549,6613,6756,6872,9706,11341
4,1816,1816.000,105,6293,6475,5509,6579,6812,6988,9924,10820
5,1878,1878.000,113,6023,6189,5320,6288,6541,6626,8993,10646
6,1896,1896.000,119,6017,6221,5266,6282,6458,6525,8926,9301
7,1936,1936.000,100,5929,6137,5167,6225,6416,6469,9026,10157
8,1930,1930.000,126,5898,6072,5170,6142,6208,6317,7827,11264
9,1957,1957.000,109,5904,6088,5106,6164,6328,6391,8436,9418
10,1919,1919.000,117,5882,6064,5203,6142,6319,6387,9993,11880
11,1894,1894.000,128,5961,6056,5275,6136,6254,6319,7723,9260
12,1878,1878.000,113,5946,6132,5325,6254,6449,6706,11629,12738
13,1885,1885.000,109,6073,6251,5299,6338,6472,6521,9325,10164
14,1899,1899.000,118,5950,6073,5259,6226,6369,6459,8699,9467
15,1918,1918.000,133,5930,6097,5198,6220,6349,6444,9200,11395
16,1907,1907.000,101,5979,6135,5249,6216,6371,6418,7941,11646
17,1674,1674.000,115,6054,6177,5964,6317,6513,13589,19867,26863
18,1844,1844.000,120,6205,6483,5420,6604,6761,6826,8608,9941
19,1807,1807.000,107,6376,6546,5542,6631,6772,6819,8598,9944
20,1995,1995.000,113,5150,5478,4999,6516,6610,6698,8375,9318
21,2870,2870.000,108,3343,3463,3477,3598,5293,5473,10689,43432
22,3268,3268.000,95,3329,3482,3054,3550,3645,3699,3900,42116
23,2573,2573.000,106,3400,3540,3895,4073,6476,6840,16229,43353
24,2051,2051.000,106,3929,5304,4853,6740,7004,9564,10674,11251
25,2885,2885.000,99,3386,3520,3461,3717,6366,6766,10519,12712
26,3276,3276.000,92,3398,3525,3045,3589,3746,3814,4168,7498
27,3387,3387.000,88,3330,3488,2952,3541,3592,3624,3769,5441
28,3364,3364.000,91,3336,3494,2964,3538,3580,3614,5132,7423
29,3421,3421.000,89,3331,3495,2924,3547,3587,3617,3941,5351
30,3378,3378.000,98,3319,3477,2956,3529,3586,3682,5278,7448
31,3210,3210.000,96,3334,3501,3110,3577,3745,3831,10569,11106
32,3296,3296.000,106,3349,3519,3035,3590,3738,3819,5313,7749
33,3346,3346.000,93,3374,3558,2983,3623,3731,3806,3931,5391
34,3298,3298.000,90,3362,3524,3019,3588,3740,3806,3950,7734
35,3294,3294.000,94,3386,3566,3032,3642,3773,3832,5207,7513
36,3347,3347.000,91,3343,3519,2983,3590,3696,3763,3875,7142
37,3313,3313.000,73,3365,3541,3011,3611,3726,3803,4043,7747
38,3369,3369.000,108,3316,3521,2966,3585,3697,3769,4081,5527
39,3172,3172.000,92,3416,3555,3149,3685,4081,4374,6670,7488
40,2353,2353.000,101,3568,4188,4236,5647,6878,6999,9974,11462
41,3259,3259.000,105,3395,3554,3068,3631,3784,3852,4082,7828
