Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,DeleteEmployee,1722222852.192900,1409,0,1
4,DeleteEmployee,1722222852.194313,1498,0,1
1,InsertPosition,1722222852.195814,622,0,1
4,DeleteEmployee,1722222852.196439,1475,0,1
1,InsertPosition,1722222852.197918,681,0,1
3,UpdateEmployee,1722222852.198602,699,0,1
4,DeleteEmployee,1722222852.199303,1406,0,1
2,UpdatePosition,1722222852.200712,775,0,1
3,UpdateEmployee,1722222852.201490,638,0,1
3,UpdateEmployee,1722222852.202131,680,0,1
3,UpdateEmployee,1722222852.202813,655,0,1
4,DeleteEmployee,1722222852.203473,1486,0,1
1,InsertPosition,1722222852.204963,621,0,1
2,UpdatePosition,1722222852.205586,635,0,1
2,UpdatePosition,1722222852.206223,722,0,1
2,UpdatePosition,1722222852.206950,630,0,1
3,UpdateEmployee,1722222852.207582,683,0,1
3,UpdateEmployee,1722222852.208268,677,0,1
2,UpdatePosition,1722222852.208948,630,0,1
3,UpdateEmployee,1722222852.209581,657,0,1
2,UpdatePosition,1722222852.210241,726,0,1
1,InsertPosition,1722222852.210970,628,0,1
2,UpdatePosition,1722222852.211601,782,0,1
1,InsertPosition,1722222852.212386,607,0,1
3,UpdateEmployee,1722222852.212996,686,0,1
2,UpdatePosition,1722222852.213685,739,0,1
3,UpdateEmployee,1722222852.214427,651,0,1
2,UpdatePosition,1722222852.215080,755,0,1
2,UpdatePosition,1722222852.215837,710,0,1
1,InsertPosition,1722222852.216552,632,0,1
1,InsertPosition,1722222852.217186,624,0,1
3,UpdateEmployee,1722222852.217813,696,0,1
1,InsertPosition,1722222852.218511,615,0,1
4,DeleteEmployee,1722222852.219129,1422,0,1
1,InsertPosition,1722222852.220554,600,0,1
3,UpdateEmployee,1722222852.221157,640,0,1
3,UpdateEmployee,1722222852.221799,690,0,1
2,UpdatePosition,1722222852.222492,637,0,1
2,UpdatePosition,1722222852.223132,759,0,1
3,UpdateEmployee,1722222852.223893,660,0,1
3,UpdateEmployee,1722222852.224555,655,0,1
2,UpdatePosition,1722222852.225213,750,0,1
2,UpdatePosition,1722222852.225966,708,0,1
3,UpdateEmployee,1722222852.226677,683,0,1
3,UpdateEmployee,1722222852.227363,650,0,1
1,InsertPosition,1722222852.228015,607,0,1
3,UpdateEmployee,1722222852.228625,638,0,1
3,UpdateEmployee,1722222852.229265,610,0,1
2,UpdatePosition,1722222852.229877,724,0,1
3,UpdateEmployee,1722222852.230604,677,0,1
4,DeleteEmployee,1722222852.231284,1396,0,1
2,UpdatePosition,1722222852.232682,708,0,1
3,UpdateEmployee,1722222852.233393,638,0,1
3,UpdateEmployee,1722222852.234033,646,0,1
2,UpdatePosition,1722222852.234681,660,0,1
2,UpdatePosition,1722222852.235344,686,0,1
3,UpdateEmployee,1722222852.236032,652,0,1
4,DeleteEmployee,1722222852.236686,1409,0,1
1,InsertPosition,1722222852.238097,635,0,1
1,InsertPosition,1722222852.238735,751,0,1
1,InsertPosition,1722222852.239489,601,0,1
4,DeleteEmployee,1722222852.240092,1414,0,1
2,UpdatePosition,1722222852.241509,720,0,1
3,UpdateEmployee,1722222852.242231,676,0,1
1,InsertPosition,1722222852.242910,611,0,1
3,UpdateEmployee,1722222852.243523,739,0,1
1,InsertPosition,1722222852.244265,635,0,1
3,UpdateEmployee,1722222852.244903,692,0,1
3,UpdateEmployee,1722222852.245597,684,0,1
4,DeleteEmployee,1722222852.246283,1473,0,1
1,InsertPosition,1722222852.247759,587,0,1
1,InsertPosition,1722222852.248348,608,0,1
1,InsertPosition,1722222852.248959,608,0,1
1,InsertPosition,1722222852.249570,609,0,1
2,UpdatePosition,1722222852.250182,774,0,1
1,InsertPosition,1722222852.250958,605,0,1
4,DeleteEmployee,1722222852.251566,1495,0,1
4,DeleteEmployee,1722222852.253063,1358,0,1
2,UpdatePosition,1722222852.254424,723,0,1
4,DeleteEmployee,1722222852.255148,1388,0,1
3,UpdateEmployee,1722222852.256539,669,0,1
4,DeleteEmployee,1722222852.257210,1446,0,1
3,UpdateEmployee,1722222852.258659,631,0,1
3,UpdateEmployee,1722222852.259293,655,0,1
4,DeleteEmployee,1722222852.259952,1456,0,1
2,UpdatePosition,1722222852.261411,759,0,1
4,DeleteEmployee,1722222852.262172,1488,0,1
1,InsertPosition,1722222852.263663,628,0,1
3,UpdateEmployee,1722222852.264293,752,0,1
3,UpdateEmployee,1722222852.265049,685,0,1
3,UpdateEmployee,1722222852.265737,669,0,1
3,UpdateEmployee,1722222852.266408,682,0,1
4,DeleteEmployee,1722222852.267092,1451,0,1
4,DeleteEmployee,1722222852.268546,1478,0,1
1,InsertPosition,1722222852.270026,605,0,1
3,UpdateEmployee,1722222852.270633,657,0,1
1,InsertPosition,1722222852.271293,626,0,1
1,InsertPosition,1722222852.271921,619,0,1
1,InsertPosition,1722222852.272543,613,0,1
4,DeleteEmployee,1722222852.273159,1337,0,1
1,InsertPosition,1722222852.274499,602,0,1
4,DeleteEmployee,1722222852.275103,1480,0,1
4,DeleteEmployee,1722222852.276586,1381,0,1
4,DeleteEmployee,1722222852.277969,1464,0,1
2,UpdatePosition,1722222852.279436,724,0,1
3,UpdateEmployee,1722222852.280162,655,0,1
2,UpdatePosition,1722222852.280819,747,0,1
1,InsertPosition,1722222852.281569,637,0,1
1,InsertPosition,1722222852.282208,616,0,1
1,InsertPosition,1722222852.282827,613,0,1
2,UpdatePosition,1722222852.283443,715,0,1
2,UpdatePosition,1722222852.284160,674,0,1
3,UpdateEmployee,1722222852.284837,727,0,1
2,UpdatePosition,1722222852.285566,698,0,1
3,UpdateEmployee,1722222852.286267,653,0,1
2,UpdatePosition,1722222852.286922,752,0,1
3,UpdateEmployee,1722222852.287676,673,0,1
3,UpdateEmployee,1722222852.288352,675,0,1
1,InsertPosition,1722222852.289029,613,0,1
3,UpdateEmployee,1722222852.289645,665,0,1
3,UpdateEmployee,1722222852.290312,661,0,1
2,UpdatePosition,1722222852.290976,678,0,1
2,UpdatePosition,1722222852.291657,652,0,1
2,UpdatePosition,1722222852.292316,751,0,1
4,DeleteEmployee,1722222852.293074,1409,0,1
3,UpdateEmployee,1722222852.294485,644,0,1
2,UpdatePosition,1722222852.295131,732,0,1
2,UpdatePosition,1722222852.295875,779,0,1
2,UpdatePosition,1722222852.296660,816,0,1
3,UpdateEmployee,1722222852.297493,715,0,1
3,UpdateEmployee,1722222852.298211,588,0,1
4,DeleteEmployee,1722222852.298802,1420,0,1
1,InsertPosition,1722222852.300224,587,0,1
4,DeleteEmployee,1722222852.300813,1323,0,1
1,InsertPosition,1722222852.302138,590,0,1
4,DeleteEmployee,1722222852.302731,1393,0,1
1,InsertPosition,1722222852.304125,633,0,1
1,InsertPosition,1722222852.304760,633,0,1
1,InsertPosition,1722222852.305395,629,0,1
3,UpdateEmployee,1722222852.306026,649,0,1
4,DeleteEmployee,1722222852.306677,1459,0,1
1,InsertPosition,1722222852.308139,609,0,1
3,UpdateEmployee,1722222852.308751,659,0,1
3,UpdateEmployee,1722222852.309412,701,0,1
1,InsertPosition,1722222852.310115,619,0,1
