Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,643.200,6.195,3.793,5.886,6.126,6.277,6.461,7.630,10.416,17.169,0.161
5,638.800,6.292,3.794,6.052,6.269,6.529,6.742,6.915,9.342,10.685,0.159
10,650.400,6.195,3.595,5.719,6.198,6.387,6.599,7.379,10.805,33.824,0.161
15,507.000,7.918,3.696,6.166,6.380,9.224,11.602,14.309,22.336,66.019,0.126
20,640.200,6.148,3.928,5.815,6.124,6.254,6.432,7.564,9.351,12.795,0.163
25,646.600,6.143,3.969,5.879,6.162,6.302,6.459,6.647,9.195,10.836,0.163
30,641.800,6.254,3.702,5.825,6.268,6.524,6.683,6.844,9.633,31.996,0.160
35,535.000,7.365,3.860,6.227,6.452,6.738,10.929,12.386,17.894,39.500,0.136
40,611.400,6.541,0.302,6.172,6.435,6.608,6.863,8.012,10.754,27.831,0.153
45,648.000,6.187,0.283,5.875,6.112,6.253,6.401,6.774,11.484,25.150,0.162
50,652.200,6.246,3.560,5.945,6.175,6.368,6.618,6.930,10.089,25.763,0.160
55,581.200,7.011,0.294,5.827,6.346,6.675,10.351,11.988,17.789,33.795,0.143
60,638.200,6.413,0.238,6.108,6.358,6.540,6.754,7.903,9.858,13.519,0.156
65,621.400,6.447,3.901,6.202,6.483,6.604,6.729,6.897,9.167,10.821,0.155
70,636.600,6.173,0.278,5.864,6.132,6.269,6.426,6.639,9.354,26.401,0.162
75,579.000,6.986,4.134,5.958,6.158,6.309,10.255,12.177,17.612,46.026,0.143
80,640.400,6.336,0.331,6.010,6.269,6.418,6.578,7.864,10.568,12.458,0.158
85,622.800,6.350,4.425,6.102,6.350,6.498,6.663,6.917,9.278,11.321,0.157
90,636.200,6.420,3.891,6.135,6.430,6.611,6.814,7.195,9.380,11.055,0.156
95,619.200,6.486,3.732,5.791,6.080,6.206,7.508,10.003,16.927,45.070,0.154
100,614.200,6.608,3.536,5.884,6.287,6.669,8.320,10.055,12.132,27.840,0.151
105,639.800,6.307,0.205,5.988,6.275,6.407,6.544,7.102,9.769,23.906,0.159
110,619.400,6.436,4.248,6.118,6.358,6.529,6.702,6.894,9.934,32.318,0.155
115,643.000,6.290,0.239,5.969,6.181,6.467,6.718,7.443,10.193,21.612,0.159
120,588.200,6.831,0.153,5.910,6.157,6.310,10.032,11.703,15.003,20.460,0.146
125,640.200,6.323,0.284,5.869,6.304,6.567,6.776,7.127,10.652,21.488,0.158
130,641.400,6.230,0.230,5.992,6.263,6.380,6.520,6.660,8.983,10.315,0.161
135,639.600,6.287,0.208,5.898,6.256,6.381,6.502,6.758,10.050,24.524,0.159
140,553.200,7.157,0.247,5.997,6.189,6.525,10.366,11.832,20.658,34.849,0.140
145,645.800,6.180,0.279,5.901,6.186,6.307,6.471,6.833,9.269,12.577,0.162
150,629.800,6.331,0.167,5.861,6.342,6.564,6.765,7.076,9.924,30.220,0.158
155,646.200,6.262,0.375,5.991,6.301,6.422,6.598,6.974,8.375,11.254,0.160
160,546.200,7.420,0.309,6.227,6.511,6.800,10.907,12.555,19.467,29.437,0.135
165,628.400,6.158,0.138,5.830,6.154,6.290,6.460,7.097,9.187,22.658,0.162
170,638.600,6.242,0.178,5.940,6.200,6.347,6.520,6.813,10.231,28.037,0.160
175,656.000,6.320,0.243,5.781,6.312,6.575,6.730,7.607,9.823,34.135,0.158
180,577.400,7.090,0.273,6.198,6.386,6.644,10.080,11.809,17.050,22.859,0.141
185,611.800,6.539,0.297,6.199,6.501,6.666,6.853,8.119,10.589,11.612,0.153
190,638.000,6.100,0.256,5.809,6.148,6.277,6.451,6.614,9.112,10.354,0.164
195,652.400,6.179,0.244,5.878,6.152,6.296,6.473,6.742,9.605,22.100,0.162
200,560.200,7.092,0.269,6.145,6.348,6.620,9.264,11.740,20.200,42.045,0.141
205,597.000,6.536,4.184,6.041,6.278,6.496,7.427,9.239,12.436,19.325,0.153
210,622.600,6.468,0.284,6.229,6.490,6.624,6.785,7.024,9.207,10.517,0.155
215,654.200,6.059,0.213,5.785,6.093,6.220,6.360,6.499,9.103,10.763,0.165
220,646.200,6.068,0.167,5.783,6.108,6.248,6.420,6.623,8.109,13.464,0.165
225,551.600,7.238,0.386,6.123,6.380,6.639,9.299,11.644,27.818,43.655,0.138
230,628.200,6.323,0.173,5.965,6.308,6.470,6.635,6.917,9.639,24.159,0.158
235,612.800,6.503,4.167,6.134,6.435,6.569,6.751,7.552,11.101,35.640,0.154
240,666.200,6.082,0.222,5.805,6.092,6.204,6.373,6.612,9.333,16.692,0.164
245,580.800,7.105,0.182,6.117,6.309,6.636,10.203,11.971,17.509,27.108,0.141
250,643.000,6.353,0.220,5.820,6.300,6.557,6.846,7.567,9.999,31.823,0.157
255,638.000,6.214,0.266,5.911,6.228,6.371,6.556,7.186,9.441,13.521,0.161
260,622.600,6.421,0.186,6.108,6.357,6.540,6.705,7.033,9.652,33.194,0.156
265,582.200,6.966,0.190,5.997,6.195,6.644,10.045,11.677,16.446,25.652,0.144
270,649.800,6.233,0.357,5.940,6.179,6.361,6.561,7.532,10.336,12.556,0.160
275,621.200,6.332,0.213,5.930,6.353,6.583,6.779,7.087,9.898,21.704,0.158
280,637.800,6.225,4.044,5.950,6.269,6.367,6.554,6.703,9.084,12.176,0.161
285,588.200,6.903,0.348,6.148,6.400,6.590,7.560,9.821,23.573,40.892,0.145
290,613.400,6.587,0.185,5.957,6.165,6.350,8.495,10.298,14.675,21.587,0.152
295,628.400,6.241,0.233,5.936,6.194,6.366,6.584,6.862,9.523,27.822,0.160
300,610.400,6.345,0.286,5.866,6.274,6.550,6.732,7.006,11.857,21.512,0.158
305,650.200,6.195,0.194,5.938,6.225,6.344,6.498,6.605,9.310,12.079,0.161
310,551.800,7.303,0.198,6.147,6.423,6.733,10.823,12.229,16.863,37.236,0.137
315,674.200,6.085,0.211,5.815,6.108,6.233,6.387,6.558,9.079,13.814,0.164
320,641.000,6.172,0.229,5.852,6.164,6.302,6.457,6.607,9.306,26.465,0.162
325,616.000,6.514,0.295,6.043,6.376,6.557,6.747,7.740,10.334,39.699,0.154
330,552.400,7.079,0.182,6.130,6.345,6.546,10.279,12.080,16.212,25.912,0.141
335,607.200,6.533,0.272,6.201,6.505,6.661,6.849,7.989,10.491,14.086,0.153
340,657.200,6.060,0.243,5.810,6.102,6.215,6.364,6.484,8.182,10.050,0.165
345,633.000,6.135,0.210,5.858,6.167,6.295,6.469,6.683,9.180,10.862,0.163
350,551.000,7.072,0.179,5.861,6.268,6.544,9.673,11.379,30.972,47.985,0.141
355,606.000,6.552,0.394,6.085,6.352,6.530,7.320,9.376,11.613,29.407,0.153
360,622.000,6.429,0.225,6.142,6.411,6.621,6.802,7.076,9.553,13.968,0.156
365,680.000,6.047,0.224,5.759,6.087,6.214,6.349,6.470,9.057,15.283,0.165
370,642.800,6.086,0.290,5.838,6.155,6.265,6.419,6.593,8.132,10.819,0.164
375,551.600,7.283,0.241,6.155,6.391,6.655,10.641,12.506,18.775,39.944,0.137
380,613.400,6.351,0.214,6.021,6.299,6.473,6.665,7.218,9.422,27.561,0.157
385,606.400,6.540,0.238,6.155,6.427,6.599,6.765,7.051,9.994,37.868,0.153
390,649.400,6.096,0.265,5.736,6.092,6.210,6.372,6.914,10.846,17.544,0.164
395,572.800,6.854,4.163,5.993,6.259,6.461,9.502,11.167,14.918,21.782,0.146
400,624.200,6.362,0.235,5.801,6.271,6.556,6.740,7.838,14.162,22.472,0.157
405,644.800,6.187,0.170,5.930,6.227,6.348,6.519,6.671,8.726,11.827,0.162
410,638.800,6.319,0.250,6.071,6.333,6.459,6.631,6.846,9.461,16.688,0.158
415,574.200,6.820,0.196,6.004,6.213,6.516,8.110,10.858,20.591,36.479,0.147
420,604.600,6.492,0.376,5.957,6.182,6.333,7.801,9.866,11.977,20.753,0.154
425,638.200,6.281,0.220,5.867,6.328,6.540,6.687,6.925,9.849,21.987,0.159
430,617.800,6.246,0.195,5.954,6.290,6.384,6.548,6.840,9.388,11.917,0.160
435,629.000,6.366,0.151,6.082,6.402,6.572,6.724,7.043,9.286,11.213,0.157
440,567.600,7.138,3.893,5.962,6.188,6.596,10.101,11.738,23.867,28.429,0.140
445,648.600,6.186,0.233,5.866,6.181,6.313,6.484,7.031,9.306,27.461,0.162
450,628.600,6.283,0.218,5.822,6.272,6.442,6.576,6.819,9.913,34.238,0.159
455,646.400,6.264,0.215,5.928,6.243,6.357,6.535,7.358,9.444,20.554,0.160
460,561.400,7.267,0.151,6.171,6.471,6.741,10.764,12.467,18.645,41.272,0.138
465,665.600,6.152,0.208,5.830,6.145,6.283,6.457,7.258,9.679,15.108,0.163
470,652.800,6.103,0.189,5.822,6.139,6.270,6.451,6.689,9.234,10.309,0.164
475,646.200,6.279,0.160,5.791,6.241,6.553,6.753,7.344,10.368,27.009,0.159
480,587.200,6.800,0.227,6.078,6.326,6.487,7.489,10.414,15.550,43.557,0.147
485,585.800,6.885,0.142,6.208,6.489,6.654,9.057,10.638,13.379,21.435,0.145
490,650.200,6.166,0.159,5.938,6.164,6.329,6.588,6.895,8.852,10.425,0.162
495,656.000,6.072,0.195,5.842,6.107,6.261,6.430,6.510,7.945,12.109,0.165
500,624.200,6.209,0.165,5.971,6.225,6.400,6.613,6.840,8.466,10.438,0.161
505,535.400,7.365,0.287,6.200,6.372,6.736,10.421,12.109,21.581,45.388,0.136
510,621.400,6.547,0.192,6.267,6.499,6.670,6.839,7.740,10.056,23.958,0.153
515,659.000,6.146,4.136,5.862,6.145,6.278,6.502,6.789,9.368,13.208,0.163
520,654.800,6.139,0.238,5.819,6.158,6.279,6.427,7.237,9.143,19.883,0.163
525,572.400,7.013,0.258,6.039,6.255,6.462,9.785,11.828,18.032,46.810,0.143
530,631.600,6.290,0.149,5.999,6.254,6.395,6.570,7.758,10.593,13.562,0.159
535,623.400,6.427,0.169,6.153,6.368,6.546,6.741,7.023,9.736,22.232,0.156
540,629.200,6.358,0.150,6.016,6.192,6.524,6.693,7.568,12.374,20.249,0.157
545,644.800,6.132,0.254,5.808,6.120,6.267,6.452,7.115,9.938,23.979,0.163
550,555.600,7.117,0.139,6.029,6.487,6.771,10.529,12.226,17.609,21.821,0.141
555,623.400,6.254,0.235,5.974,6.247,6.389,6.622,7.244,9.310,11.246,0.160
560,635.600,6.311,0.159,6.105,6.314,6.477,6.652,6.773,8.987,10.213,0.158
565,624.000,6.479,0.170,6.138,6.433,6.595,6.761,6.945,9.983,23.836,0.154
570,582.800,6.929,0.276,5.959,6.121,6.355,10.169,11.539,17.277,31.481,0.144
575,629.800,6.343,0.185,5.870,6.305,6.592,6.809,7.101,10.876,33.043,0.158
580,623.000,6.325,0.235,6.060,6.323,6.457,6.632,6.974,9.433,16.220,0.158
585,631.600,6.347,0.149,6.107,6.327,6.522,6.717,6.969,9.406,10.663,0.158
590,573.600,7.002,0.224,6.281,6.518,6.714,8.844,10.833,16.829,25.576,0.143
595,604.400,6.372,0.204,5.854,6.146,6.336,7.152,9.164,11.755,18.790,0.157
