Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,DeleteEmployee,1722222682.900025,7807,0,1
1,InsertPosition,1722222682.907869,1529,0,1
3,UpdateEmployee,1722222682.909405,1063,0,1
3,UpdateEmployee,1722222682.910474,816,0,1
2,UpdatePosition,1722222682.911295,1001,0,1
4,DeleteEmployee,1722222682.912301,1754,0,1
2,UpdatePosition,1722222682.914061,866,0,1
3,UpdateEmployee,1722222682.914932,782,0,1
2,UpdatePosition,1722222682.915719,2096,0,1
4,DeleteEmployee,1722222682.917825,2071,0,1
3,UpdateEmployee,1722222682.919907,1080,0,1
3,UpdateEmployee,1722222682.920995,1643,0,1
2,UpdatePosition,1722222682.922645,1036,0,1
4,DeleteEmployee,1722222682.923690,2056,0,1
2,UpdatePosition,1722222682.925756,1225,0,1
3,UpdateEmployee,1722222682.926988,954,0,1
3,UpdateEmployee,1722222682.927950,814,0,1
3,UpdateEmployee,1722222682.928769,719,0,1
2,UpdatePosition,1722222682.929494,837,0,1
3,UpdateEmployee,1722222682.930337,774,0,1
1,InsertPosition,1722222682.931116,753,0,1
2,UpdatePosition,1722222682.931874,808,0,1
3,UpdateEmployee,1722222682.932687,690,0,1
4,DeleteEmployee,1722222682.933382,1743,0,1
1,InsertPosition,1722222682.935129,677,0,1
2,UpdatePosition,1722222682.935810,729,0,1
4,DeleteEmployee,1722222682.936544,1494,0,1
2,UpdatePosition,1722222682.938042,757,0,1
1,InsertPosition,1722222682.938803,737,0,1
3,UpdateEmployee,1722222682.939544,749,0,1
1,InsertPosition,1722222682.940298,762,0,1
4,DeleteEmployee,1722222682.941065,1602,0,1
1,InsertPosition,1722222682.942672,738,0,1
4,DeleteEmployee,1722222682.943415,1523,0,1
2,UpdatePosition,1722222682.944942,930,0,1
3,UpdateEmployee,1722222682.945877,688,0,1
2,UpdatePosition,1722222682.946569,646,0,1
1,InsertPosition,1722222682.947219,672,0,1
1,InsertPosition,1722222682.947895,676,0,1
1,InsertPosition,1722222682.948575,666,0,1
4,DeleteEmployee,1722222682.949244,1545,0,1
2,UpdatePosition,1722222682.950793,642,0,1
2,UpdatePosition,1722222682.951438,692,0,1
3,UpdateEmployee,1722222682.952138,692,0,1
1,InsertPosition,1722222682.952834,660,0,1
2,UpdatePosition,1722222682.953499,759,0,1
3,UpdateEmployee,1722222682.954262,611,0,1
3,UpdateEmployee,1722222682.954876,642,0,1
1,InsertPosition,1722222682.955521,592,0,1
1,InsertPosition,1722222682.956116,660,0,1
3,UpdateEmployee,1722222682.956780,743,0,1
3,UpdateEmployee,1722222682.957527,673,0,1
3,UpdateEmployee,1722222682.958204,681,0,1
2,UpdatePosition,1722222682.958888,695,0,1
1,InsertPosition,1722222682.959586,683,0,1
3,UpdateEmployee,1722222682.960275,791,0,1
2,UpdatePosition,1722222682.961072,778,0,1
3,UpdateEmployee,1722222682.961855,710,0,1
2,UpdatePosition,1722222682.962569,766,0,1
2,UpdatePosition,1722222682.963339,920,0,1
4,DeleteEmployee,1722222682.964263,8091,0,1
4,DeleteEmployee,1722222682.972364,1558,0,1
1,InsertPosition,1722222682.973926,752,0,1
1,InsertPosition,1722222682.974683,598,0,1
2,UpdatePosition,1722222682.975288,839,0,1
1,InsertPosition,1722222682.976131,618,0,1
4,DeleteEmployee,1722222682.976752,1421,0,1
4,DeleteEmployee,1722222682.978177,1484,0,1
1,InsertPosition,1722222682.979664,646,0,1
2,UpdatePosition,1722222682.980314,1191,0,1
2,UpdatePosition,1722222682.981508,737,0,1
2,UpdatePosition,1722222682.982248,788,0,1
3,UpdateEmployee,1722222682.983039,675,0,1
2,UpdatePosition,1722222682.983717,759,0,1
1,InsertPosition,1722222682.984478,628,0,1
1,InsertPosition,1722222682.985110,624,0,1
4,DeleteEmployee,1722222682.985742,1493,0,1
3,UpdateEmployee,1722222682.987240,741,0,1
2,UpdatePosition,1722222682.987985,749,0,1
3,UpdateEmployee,1722222682.988740,763,0,1
2,UpdatePosition,1722222682.989508,785,0,1
3,UpdateEmployee,1722222682.990297,688,0,1
2,UpdatePosition,1722222682.990989,672,0,1
1,InsertPosition,1722222682.991664,640,0,1
2,UpdatePosition,1722222682.992308,600,0,1
2,UpdatePosition,1722222682.992911,649,0,1
4,DeleteEmployee,1722222682.993564,1649,0,1
1,InsertPosition,1722222682.995218,661,0,1
1,InsertPosition,1722222682.995883,601,0,1
3,UpdateEmployee,1722222682.996486,652,0,1
1,InsertPosition,1722222682.997142,592,0,1
1,InsertPosition,1722222682.997737,597,0,1
1,InsertPosition,1722222682.998337,603,0,1
