Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2206,2206.000,136,568,6131,4535,6447,6596,6821,10018,19380
1,2211,2211.000,108,445,6295,4523,6629,6749,6844,8561,11670
2,2172,2172.000,112,445,6331,4594,6565,6744,7085,9814,13057
3,2257,2257.000,109,483,6136,4431,6357,6616,6727,8304,10124
4,2334,2334.000,115,453,5948,4276,6260,6438,6589,8009,9548
5,2369,2369.000,110,455,5891,4218,6157,6328,6417,9032,10081
6,2398,2398.000,112,466,5808,4163,6101,6285,6370,7700,9469
7,2360,2360.000,97,514,5860,4243,6159,6300,6437,8957,11748
8,2349,2349.000,105,530,5825,4233,6164,6311,6401,8940,10291
9,2341,2341.000,111,512,5932,4273,6247,6388,6471,7808,9283
10,2139,2139.000,107,491,5928,4682,6235,6377,6477,7825,57942
11,2110,2110.000,93,473,5928,4734,6192,6345,6446,7786,56682
12,2262,2262.000,106,455,5891,4410,6167,6310,6408,9291,55073
13,2101,2101.000,124,494,5924,4763,6249,6401,6492,7986,65246
14,2153,2153.000,112,515,6158,4640,6382,6565,6669,8018,50396
15,2014,2014.000,113,493,6229,4946,6557,6721,6811,10580,59777
16,2986,2986.000,107,447,3428,3347,3551,6401,6769,23265,55937
17,2249,2249.000,97,444,5144,4435,6715,7079,8047,11230,63971
18,2219,2219.000,107,454,5303,4506,6718,7025,7449,10885,59996
19,3649,3649.000,96,438,3501,2735,3624,3900,5514,7084,11427
20,4005,4005.000,101,418,3343,2493,3528,3649,3756,5636,13746
21,4080,4080.000,95,401,3344,2446,3561,3696,3818,4557,7532
22,4034,4034.000,101,424,3386,2477,3537,3653,3743,3978,5362
23,4021,4021.000,91,427,3369,2482,3553,3709,3805,4800,7996
24,4070,4070.000,101,423,3315,2452,3527,3636,3763,4271,5624
25,4069,4069.000,100,422,3322,2451,3525,3626,3719,4396,7781
26,4032,4032.000,97,448,3378,2481,3558,3686,3764,3964,5731
27,4068,4068.000,94,405,3332,2453,3540,3650,3745,4103,7531
28,3959,3959.000,98,393,3419,2523,3617,3920,4331,5522,7306
29,2971,2971.000,107,419,3492,3359,5205,6702,6930,10248,11555
30,4003,4003.000,106,408,3343,2497,3577,3717,3862,6689,7167
31,4072,4072.000,97,424,3314,2453,3524,3637,3735,4470,7515
32,4107,4107.000,93,384,3317,2431,3558,3655,3755,4897,7458
33,4123,4123.000,92,417,3305,2424,3520,3640,3756,4025,5590
34,4149,4149.000,103,410,3258,2407,3543,3654,3756,4201,7935
35,4097,4097.000,106,430,3285,2437,3553,3675,3768,4068,5582
36,3964,3964.000,96,483,3390,2518,3588,3728,3825,4762,7511
37,3944,3944.000,98,422,3438,2534,3559,3671,3788,4893,13548
38,4024,4024.000,97,411,3398,2481,3552,3656,3791,4095,7751
39,4003,4003.000,104,425,3407,2496,3563,3666,3786,4041,5584
40,1516,1516.000,108,423,4400,6611,10536,13321,17681,29458,34029
41,1945,1945.000,124,453,6149,5135,6398,9659,11305,17462,17750
42,2200,2200.000,108,434,6154,4537,6343,6553,7976,10850,12222
43,2255,2255.000,106,446,6163,4436,6400,6563,7320,8425,9876
44,2259,2259.000,105,469,6095,4422,6314,6506,6596,9543,10382
45,2219,2219.000,100,458,6219,4496,6510,6643,6779,8544,10096
46,2253,2253.000,102,440,6238,4447,6543,6680,6800,8106,9585
47,2086,2086.000,107,453,6319,4784,6565,6755,7911,19514,28928
48,2157,2157.000,100,483,6353,4627,6561,6683,6813,8609,9748
49,2218,2218.000,104,461,6284,4508,6558,6661,6802,8300,9844
50,2273,2273.000,95,453,6152,4400,6412,6662,6797,9232,10364
51,2335,2335.000,109,458,5949,4276,6206,6354,6434,7822,10774
52,2168,2168.000,98,455,6019,4614,6123,6265,7570,13398,19301
53,2379,2379.000,98,472,5845,4198,6132,6306,6379,7716,9317
54,2340,2340.000,93,467,5912,4274,6152,6314,6472,8049,13260
55,2328,2328.000,105,483,5966,4300,6259,6446,6518,8078,9477
56,2275,2275.000,100,485,6037,4392,6295,6427,6541,7850,9324
57,2330,2330.000,89,451,5919,4287,6147,6324,6466,10118,12261
58,2375,2375.000,101,459,5861,4203,6138,6275,6391,7698,9072
59,2303,2303.000,104,456,6019,4334,6227,6370,6494,8067,10703
60,1582,1582.000,105,462,6172,6341,9585,12475,16005,25738,29867
61,1958,1958.000,101,470,5488,5096,6510,9051,11094,19130,34350
62,2248,2248.000,108,415,6169,4445,6441,6593,6720,9189,9818
63,2205,2205.000,99,457,6200,4532,6465,6691,8053,10992,12740
64,2293,2293.000,113,455,6036,4353,6289,6454,6579,9316,10811
65,2322,2322.000,109,446,6052,4308,6288,6457,6539,8106,9826
66,2311,2311.000,100,457,6044,4334,6310,6483,6561,8395,9559
67,2337,2337.000,92,435,6003,4274,6289,6458,6589,9216,10733
68,2288,2288.000,105,470,6065,4357,6314,6477,6636,8950,9749
69,2380,2380.000,96,447,5990,4206,6342,6532,6619,7888,9321
70,2179,2179.000,104,463,6303,4584,6607,6769,6870,9599,10942
71,2274,2274.000,100,470,6147,4395,6444,6621,6727,8373,9785
72,2244,2244.000,108,469,6251,4453,6480,6662,6765,8189,9815
73,2189,2189.000,107,520,6320,4574,6511,6669,6761,9218,11317
74,2227,2227.000,107,507,6285,4482,6622,6771,6854,8558,12421
75,2190,2190.000,104,525,6351,4561,6578,6750,6850,8449,9889
76,2251,2251.000,94,521,6172,4435,6573,6762,6846,8688,11468
77,2058,2058.000,99,480,6060,4865,6291,6490,7885,22506,33411
78,2398,2398.000,104,494,5770,4169,6098,6249,6351,8637,10779
79,2351,2351.000,95,493,5905,4245,6135,6307,6373,7588,9277
80,2073,2073.000,115,496,6037,4845,6321,6585,8888,21452,31055
81,1375,1375.000,105,514,9202,7245,10553,12311,13820,15998,22617
82,2341,2341.000,95,471,5914,4268,6167,6314,6391,8508,9532
83,2179,2179.000,116,447,6102,4580,6359,6624,8429,11756,17751
84,2238,2238.000,104,445,6193,4461,6494,6733,7839,9291,10935
85,2160,2160.000,103,463,6417,4633,6629,6774,6854,8819,10425
86,2307,2307.000,103,450,5263,4331,5948,6601,6738,20255,22137
87,2267,2267.000,99,459,6106,4407,6408,6512,6602,9375,10371
88,2244,2244.000,102,464,6153,4456,6399,6473,6545,8324,9786
89,2286,2286.000,101,452,6104,4371,6348,6514,6624,8147,9538
90,2294,2294.000,101,442,6107,4358,6362,6528,6658,8185,10861
91,2270,2270.000,112,467,6065,4408,6284,6405,6515,8254,10234
92,2356,2356.000,99,422,5939,4235,6268,6346,6412,9304,17321
93,2295,2295.000,111,454,6018,4360,6345,6431,6548,9506,11892
94,2292,2292.000,108,464,6040,4363,6337,6488,6591,8268,10340
95,2213,2213.000,114,475,6185,4520,6394,6569,6682,8279,11227
96,2163,2163.000,110,473,6371,4616,6586,6703,6796,8325,10088
97,2197,2197.000,106,462,6296,4560,6466,6658,6786,9502,10596
98,2194,2194.000,99,468,6264,4547,6422,6614,6688,8568,10124
99,2278,2278.000,114,446,6220,4385,6502,6716,7123,8381,10210
100,2192,2192.000,110,468,6357,4565,6604,6691,6801,8374,9800
101,1781,1781.000,108,464,6431,5678,6663,11025,14466,23394,27698
102,1413,1413.000,103,445,8933,6985,10426,11838,13138,18458,41869
103,2364,2364.000,96,450,5904,4226,6221,6293,6468,8023,9367
104,2224,2224.000,105,461,6061,4503,6297,6644,8112,11795,13458
105,2237,2237.000,107,493,6029,4456,6225,6398,7208,7849,9190
106,2357,2357.000,96,455,5936,4252,6184,6363,6453,8006,9531
107,2294,2294.000,99,442,6058,4347,6264,6431,6517,7960,9499
108,2249,2249.000,99,456,5895,4445,6183,6395,7727,14924,23531
109,2217,2217.000,92,459,6267,4518,6603,6744,6880,9154,10127
110,2176,2176.000,116,462,6421,4593,6682,6803,6891,8370,9888
111,2416,2416.000,95,445,5235,4135,5682,6498,6685,13412,33006
112,2212,2212.000,110,466,6169,4526,6423,6533,6668,8348,9593
113,2210,2210.000,111,466,6176,4532,6495,6671,6974,12123,20842
114,2248,2248.000,106,453,6073,4426,6342,6538,6651,10275,26411
115,2310,2310.000,101,471,6042,4334,6281,6355,6408,7961,9338
116,2284,2284.000,108,482,6065,4373,6337,6408,6452,7657,11142
117,2329,2329.000,105,460,5994,4295,6340,6407,6455,8148,9449
118,2336,2336.000,93,478,5953,4275,6306,6414,6532,8286,10469
119,2225,2225.000,118,501,6203,4499,6527,6725,7006,9486,10187
120,2208,2208.000,99,495,6296,4528,6611,6767,6877,8489,9780
121,2200,2200.000,103,516,6244,4536,6466,6639,6779,8420,10375
