Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3013,3013.000,135,325,4999,3327,5994,6189,6289,6636,19712
1,2867,2867.000,122,279,5585,3473,6198,6351,6444,7465,8175
2,2864,2864.000,115,272,5586,3494,6122,6301,6406,7803,10602
3,2848,2848.000,95,267,5624,3505,6170,6314,6434,7688,8149
4,2842,2842.000,108,271,5623,3513,6215,6376,6507,8068,10189
5,2815,2815.000,100,277,5665,3551,6208,6324,6451,7781,10224
6,2723,2723.000,107,271,5849,3667,6445,6605,6719,8107,8624
7,2548,2548.000,126,264,5914,3918,6603,8211,8414,9290,11063
8,2684,2684.000,101,319,5828,3722,6457,6611,7210,8380,10427
9,2712,2712.000,92,327,5781,3688,6386,6560,6675,8274,11226
10,3082,3082.000,90,318,4644,3240,5730,6391,6495,6681,8408
11,3620,3620.000,107,265,3228,2755,5041,5430,5610,10677,11817
12,5063,5063.000,91,245,2941,1971,3500,3570,3710,3833,7618
13,4863,4863.000,88,236,3069,2053,3542,3611,3727,4047,11582
14,5141,5141.000,94,233,2948,1942,3509,3573,3636,3783,4008
15,5080,5080.000,86,238,2956,1964,3524,3613,3678,3837,7581
16,5023,5023.000,88,242,3014,1988,3496,3554,3584,3743,4185
17,5147,5147.000,100,233,2899,1939,3523,3603,3657,3840,7559
18,5108,5108.000,78,236,2938,1956,3508,3578,3619,3810,5573
19,5027,5027.000,94,245,2966,1985,3516,3597,3653,3874,7613
20,4974,4974.000,91,238,3042,2010,3523,3591,3624,3837,5082
21,5220,5220.000,90,235,2820,1912,3509,3596,3693,3821,8055
22,4994,4994.000,87,242,3022,2000,3539,3613,3697,3862,5534
23,5035,5035.000,86,222,3009,1985,3508,3582,3707,3958,7762
24,5015,5015.000,90,229,3050,1991,3538,3602,3674,3849,5538
25,4884,4884.000,86,239,3061,2045,3500,3579,3704,4341,11403
26,4964,4964.000,88,257,2982,2010,3549,3638,3792,4067,7771
27,4932,4932.000,87,247,2974,2027,3510,3607,3755,5509,11591
28,4879,4879.000,93,241,3037,2047,3570,3710,3904,4496,7567
29,5005,5005.000,96,241,3017,1996,3532,3614,3704,3864,5346
30,4985,4985.000,83,224,3061,2004,3549,3616,3710,3947,7650
