Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,537.000,6.214,4.654,6.003,6.082,6.224,6.352,7.440,9.995,16.288,0.161
5,530.600,6.283,5.130,6.068,6.188,6.296,6.470,7.343,9.298,15.670,0.159
10,532.600,6.092,2.829,6.079,6.254,6.457,6.645,6.860,9.338,20.035,0.164
15,917.600,3.568,2.357,3.484,3.548,3.608,3.741,3.811,4.755,9.973,0.280
20,782.600,4.278,2.635,3.548,3.640,4.083,6.725,6.983,8.386,40.220,0.234
25,937.400,3.576,2.304,3.498,3.561,3.617,3.718,3.796,5.213,13.319,0.280
30,929.600,3.582,2.056,3.503,3.564,3.630,3.777,3.833,4.920,7.719,0.279
35,856.600,3.812,2.575,3.504,3.573,3.700,4.311,5.736,7.027,11.699,0.262
40,911.800,3.593,2.539,3.506,3.569,3.645,3.791,3.866,5.299,7.788,0.278
45,919.000,3.626,2.399,3.529,3.592,3.671,3.863,4.020,4.522,7.943,0.276
50,860.400,3.812,2.616,3.480,3.556,3.653,4.250,6.663,7.190,11.494,0.262
55,927.200,3.620,2.564,3.526,3.590,3.657,3.797,3.872,5.393,7.837,0.276
60,883.800,3.818,2.390,3.481,3.541,3.643,3.912,5.500,6.481,29.478,0.262
65,533.800,6.411,5.488,6.242,6.341,6.461,6.596,6.697,8.511,10.919,0.156
70,508.800,6.401,5.416,6.194,6.266,6.369,6.517,6.646,10.457,20.271,0.156
75,452.600,7.425,5.346,6.168,6.344,6.656,11.117,12.602,20.355,40.049,0.135
80,532.800,6.231,5.253,6.031,6.117,6.248,6.415,7.443,9.152,12.701,0.160
85,546.600,6.246,5.316,6.089,6.181,6.264,6.407,6.495,9.125,11.791,0.160
90,518.800,6.453,5.328,6.206,6.323,6.547,6.659,6.856,9.995,11.359,0.155
95,519.000,6.365,4.429,6.179,6.343,6.483,6.634,6.796,10.388,20.649,0.157
100,496.000,6.590,5.375,6.218,6.297,6.431,6.573,7.765,17.406,29.889,0.152
105,455.800,7.400,5.833,6.459,6.563,6.772,10.774,12.251,17.732,28.188,0.135
110,537.200,6.259,5.367,6.068,6.154,6.258,6.376,6.540,9.437,14.200,0.160
115,539.600,6.226,5.207,6.036,6.171,6.283,6.440,6.557,8.024,10.589,0.161
120,545.400,6.273,4.710,6.113,6.196,6.319,6.438,6.547,9.232,10.514,0.159
125,526.400,6.427,4.533,6.155,6.410,6.599,6.758,6.912,10.545,22.314,0.156
130,481.200,7.127,5.318,6.222,6.334,6.502,9.790,12.150,20.560,28.880,0.140
