Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,520.200,6.432,0.429,6.270,6.492,6.619,6.759,7.051,9.358,11.931,0.155
5,542.600,6.137,0.368,6.008,6.124,6.249,6.403,6.830,9.474,17.328,0.163
10,524.600,6.110,0.309,6.007,6.156,6.277,6.425,6.573,9.019,15.184,0.164
15,686.200,4.811,0.346,3.474,3.643,6.128,6.324,6.442,12.469,29.758,0.208
20,784.800,4.093,0.328,3.470,3.577,3.911,6.042,6.891,9.648,45.401,0.244
25,927.000,3.533,0.302,3.504,3.583,3.663,3.797,3.886,5.260,7.670,0.283
30,911.800,3.552,0.242,3.471,3.552,3.628,3.758,3.843,7.093,16.004,0.282
35,874.800,3.754,0.238,3.453,3.551,3.687,4.415,6.637,7.213,12.711,0.266
40,916.800,3.515,0.287,3.439,3.505,3.578,3.717,3.799,6.673,11.975,0.285
45,922.600,3.477,0.305,3.432,3.490,3.559,3.707,3.795,5.120,11.497,0.288
50,931.600,3.489,0.287,3.444,3.516,3.600,3.735,3.812,5.194,9.173,0.287
55,876.600,3.702,0.268,3.454,3.525,3.631,4.027,6.217,7.141,11.394,0.270
60,945.800,3.471,0.297,3.450,3.519,3.583,3.705,3.765,4.815,7.571,0.288
65,897.600,3.703,0.266,3.448,3.512,3.597,3.836,5.712,6.478,25.765,0.270
70,450.800,7.297,0.294,6.205,6.373,6.595,10.783,12.396,24.428,50.613,0.137
75,502.400,6.585,0.377,6.344,6.513,6.667,6.851,8.172,12.511,17.674,0.152
80,536.600,6.142,0.330,6.063,6.182,6.303,6.465,6.837,9.348,11.989,0.163
85,517.400,6.128,0.269,6.062,6.186,6.299,6.450,6.542,9.305,15.674,0.163
90,523.600,6.127,0.310,6.078,6.194,6.325,6.461,6.585,7.924,10.119,0.163
95,520.600,6.349,0.361,6.035,6.371,6.563,6.731,6.967,19.254,20.294,0.157
100,458.400,7.179,0.307,6.265,6.390,6.618,9.802,11.274,22.012,39.388,0.139
105,506.200,6.531,0.303,6.383,6.490,6.640,6.816,8.092,10.677,12.501,0.153
110,524.600,6.267,0.332,6.117,6.221,6.412,6.553,6.724,9.428,21.294,0.160
115,527.800,6.165,0.417,6.049,6.167,6.303,6.416,6.541,9.257,12.214,0.162
120,537.200,6.110,0.360,6.061,6.166,6.273,6.416,6.493,7.993,11.316,0.164
125,527.600,6.301,0.354,6.225,6.427,6.599,6.759,6.887,9.100,11.872,0.159
130,457.800,7.014,0.327,5.993,6.249,6.523,10.730,12.200,20.022,38.550,0.143
135,505.200,6.459,0.289,6.258,6.407,6.531,6.737,7.721,10.818,26.316,0.155
140,506.600,6.405,0.351,6.165,6.337,6.543,6.714,6.913,9.487,31.325,0.156
145,541.400,6.095,0.348,6.000,6.105,6.218,6.367,6.497,9.108,11.848,0.164
150,551.400,6.101,0.323,6.053,6.146,6.245,6.370,6.472,8.714,10.209,0.164
155,503.200,6.294,0.399,6.142,6.272,6.479,6.664,6.989,8.444,11.023,0.159
160,467.800,7.052,0.326,6.182,6.316,6.584,9.726,12.243,18.498,31.651,0.142
165,508.000,6.485,0.385,6.292,6.423,6.613,6.837,7.907,10.288,31.372,0.154
170,530.800,6.516,0.304,6.247,6.461,6.631,6.830,7.806,10.522,31.936,0.153
175,533.800,6.107,0.323,6.016,6.120,6.238,6.370,6.590,8.765,17.184,0.164
180,546.400,6.108,0.360,6.050,6.160,6.259,6.363,6.503,7.989,10.549,0.164
185,521.400,6.172,0.314,6.122,6.246,6.365,6.522,6.641,8.195,10.257,0.162
190,451.400,7.148,0.234,6.228,6.374,6.631,9.810,11.937,19.215,44.857,0.140
195,510.000,6.432,0.353,6.252,6.354,6.514,6.677,7.856,10.295,33.386,0.155
200,509.600,6.500,0.281,6.341,6.487,6.614,6.787,6.939,10.551,28.231,0.154
205,525.000,6.101,0.262,6.043,6.155,6.254,6.435,6.624,9.382,11.756,0.164
210,515.400,6.092,0.299,6.020,6.165,6.282,6.416,6.553,7.998,10.220,0.164
215,523.400,6.139,0.405,6.087,6.172,6.269,6.428,6.526,8.004,10.787,0.163
220,461.600,7.044,0.345,6.156,6.250,6.436,10.360,11.375,18.205,46.610,0.142
225,536.800,6.235,0.288,6.160,6.235,6.383,6.587,7.221,9.211,25.510,0.160
230,504.800,6.577,0.347,6.359,6.461,6.589,6.739,6.926,10.158,47.228,0.152
235,549.800,6.104,0.312,6.013,6.119,6.217,6.393,6.526,9.082,16.904,0.164
240,531.600,6.089,0.350,6.028,6.140,6.233,6.363,6.496,8.325,10.249,0.164
245,523.600,6.356,0.305,6.053,6.137,6.265,6.458,7.779,14.142,29.399,0.157
250,475.200,6.901,0.316,6.220,6.336,6.533,8.671,10.453,16.329,49.951,0.145
255,536.600,6.285,0.314,6.180,6.265,6.399,6.543,6.670,9.331,30.884,0.159
260,508.400,6.494,0.256,6.309,6.454,6.585,6.742,6.970,10.360,34.600,0.154
265,522.400,6.254,0.320,6.089,6.207,6.420,6.630,7.057,9.437,19.065,0.160
270,526.000,6.078,0.327,6.011,6.144,6.246,6.361,6.472,7.960,9.925,0.165
275,482.000,6.677,0.309,6.074,6.178,6.334,8.275,11.346,17.402,25.786,0.150
280,508.200,6.552,0.338,6.022,6.375,6.589,7.814,9.935,15.836,22.288,0.153
285,529.400,6.303,0.268,6.222,6.302,6.425,6.577,6.740,9.357,29.547,0.159
290,509.400,6.516,0.300,6.278,6.402,6.574,6.711,7.111,9.914,41.932,0.153
295,513.200,6.331,0.363,6.180,6.346,6.543,6.679,6.808,9.361,16.256,0.158
300,541.800,6.120,0.366,6.014,6.106,6.251,6.371,6.623,9.294,18.214,0.163
305,459.600,6.835,0.333,6.057,6.186,6.374,9.600,11.049,15.110,25.474,0.146
310,499.000,6.354,0.233,6.153,6.447,6.635,6.818,7.743,11.350,20.592,0.157
315,528.000,6.244,0.340,6.183,6.278,6.404,6.550,6.683,9.162,10.701,0.160
320,522.000,6.346,0.305,6.191,6.299,6.490,6.669,6.879,9.295,29.942,0.158
325,501.000,6.437,0.311,6.207,6.426,6.553,6.729,6.917,9.852,40.723,0.155
330,543.200,6.097,0.283,6.002,6.095,6.193,6.340,6.426,9.060,22.924,0.164
335,482.000,6.772,0.293,6.118,6.223,6.426,9.338,10.749,14.681,22.371,0.148
340,515.000,6.411,0.418,6.150,6.357,6.569,6.770,7.860,19.427,20.242,0.156
345,530.800,6.343,0.318,6.273,6.375,6.496,6.646,6.830,9.244,16.971,0.158
350,516.400,6.286,0.267,6.224,6.313,6.436,6.574,6.666,9.237,29.090,0.159
355,486.600,6.685,0.266,6.372,6.534,6.628,6.769,7.359,12.516,43.678,0.150
360,532.600,6.125,0.282,6.018,6.135,6.252,6.403,6.693,9.270,19.934,0.163
365,475.800,6.758,0.320,6.080,6.194,6.382,9.375,11.025,14.971,25.530,0.148
370,503.600,6.417,0.339,6.204,6.368,6.628,6.830,7.747,10.000,19.398,0.156
375,530.400,6.232,0.320,5.988,6.283,6.462,6.645,6.959,9.640,20.813,0.160
380,530.200,6.218,0.294,6.163,6.257,6.357,6.489,6.597,9.342,28.063,0.161
385,503.400,6.653,0.258,6.265,6.487,6.630,6.814,7.721,12.697,51.089,0.150
390,518.800,6.172,0.297,6.060,6.192,6.397,6.590,6.765,9.224,20.018,0.162
395,495.200,6.598,0.374,5.994,6.086,6.263,9.329,10.778,14.194,23.559,0.152
400,518.400,6.285,0.303,6.133,6.259,6.417,6.631,7.666,9.776,15.043,0.159
405,521.400,6.256,0.288,6.054,6.394,6.578,6.736,6.867,9.761,34.624,0.160
410,522.200,6.318,0.323,6.237,6.343,6.455,6.597,6.707,8.444,20.157,0.158
415,482.400,6.496,0.304,6.228,6.386,6.561,6.702,6.914,12.886,41.750,0.154
420,512.400,6.356,0.311,6.141,6.311,6.559,6.729,7.580,10.000,19.593,0.157
425,479.400,6.793,0.348,6.073,6.220,6.367,9.587,11.274,17.041,19.114,0.147
430,524.000,6.202,0.331,6.096,6.208,6.324,6.511,7.543,10.327,13.278,0.161
435,518.400,6.282,0.311,6.111,6.418,6.625,6.778,6.887,9.467,25.964,0.159
440,513.800,6.305,0.402,6.194,6.304,6.440,6.560,6.693,9.310,32.985,0.159
445,516.800,6.427,0.342,6.169,6.258,6.383,6.574,7.840,12.000,38.169,0.156
450,511.600,6.525,0.299,6.302,6.497,6.619,6.794,6.914,9.952,24.279,0.153
455,499.200,6.710,0.402,5.983,6.109,6.315,9.383,10.788,14.509,19.406,0.149
460,540.000,6.110,0.288,6.061,6.153,6.260,6.391,6.564,9.127,10.712,0.164
465,508.200,6.381,0.326,6.227,6.401,6.591,6.766,6.887,9.200,10.489,0.157
470,527.400,6.157,0.289,6.007,6.273,6.371,6.518,6.624,9.433,32.190,0.162
475,546.000,6.196,0.315,6.144,6.211,6.284,6.417,6.538,9.429,32.595,0.161
480,491.600,6.689,0.312,6.324,6.468,6.585,6.761,8.186,13.362,40.944,0.149
485,500.200,6.601,0.384,5.989,6.066,6.169,9.187,10.616,12.360,26.219,0.151
490,533.600,6.083,0.302,6.030,6.174,6.265,6.356,6.461,8.972,10.154,0.164
495,517.400,6.262,0.325,6.144,6.279,6.393,6.653,6.806,9.410,10.361,0.160
500,519.000,6.327,0.363,6.087,6.351,6.581,6.811,7.555,10.884,20.497,0.158
505,537.000,6.291,0.335,6.124,6.201,6.324,6.474,7.717,10.795,26.001,0.159
510,449.800,7.200,0.330,6.242,6.389,6.633,9.905,11.507,24.999,37.197,0.139
515,515.200,6.243,0.350,6.036,6.132,6.246,6.421,7.784,10.923,15.395,0.160
520,545.200,6.079,0.363,6.039,6.162,6.271,6.421,6.599,7.884,10.274,0.165
525,518.600,6.167,0.399,6.092,6.204,6.318,6.456,6.611,9.184,10.375,0.162
530,517.800,6.319,0.298,6.103,6.407,6.594,6.782,6.954,10.653,21.121,0.158
535,521.200,6.376,0.298,6.236,6.343,6.466,6.612,6.715,9.641,34.567,0.157
540,464.000,7.308,0.409,6.236,6.370,6.656,10.318,12.624,19.936,35.859,0.137
545,510.000,6.345,0.295,6.160,6.322,6.538,6.740,7.748,10.124,17.882,0.158
550,536.400,6.088,0.357,6.024,6.135,6.270,6.372,6.495,9.045,14.611,0.164
555,540.400,6.079,0.296,6.055,6.158,6.258,6.410,6.505,8.016,10.580,0.165
560,522.600,6.338,0.311,6.229,6.342,6.578,6.709,6.851,8.869,10.491,0.158
565,543.600,6.205,0.335,5.962,6.261,6.451,6.603,6.780,10.291,32.519,0.161
570,456.400,7.221,0.300,6.208,6.368,6.558,10.901,12.504,18.719,33.304,0.138
575,492.400,6.477,0.342,6.235,6.491,6.643,6.848,8.186,11.195,13.195,0.154
580,553.400,6.073,0.323,6.021,6.115,6.232,6.360,6.438,7.775,10.614,0.165
585,548.800,6.084,0.321,6.008,6.128,6.253,6.412,6.627,9.135,10.797,0.164
590,532.200,6.163,0.315,6.096,6.208,6.321,6.486,6.674,8.132,11.120,0.162
595,518.800,6.254,0.381,5.988,6.345,6.571,6.725,6.989,9.813,31.177,0.160
