Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,513.800,6.399,0.325,6.337,6.449,6.591,6.774,7.084,9.091,12.918,0.156
5,518.000,6.221,0.300,6.092,6.215,6.406,6.589,7.048,9.229,12.902,0.161
10,542.000,6.206,0.280,6.006,6.108,6.242,6.339,6.578,10.184,34.501,0.161
15,513.000,6.318,0.296,6.104,6.206,6.311,6.449,6.625,12.674,72.516,0.158
20,766.600,4.274,0.267,3.504,3.568,3.960,6.676,6.859,10.887,66.843,0.234
25,926.000,3.540,0.296,3.466,3.531,3.600,3.747,3.818,6.608,8.262,0.283
30,939.200,3.561,0.272,3.477,3.544,3.619,3.753,3.848,5.557,12.039,0.281
35,907.000,3.551,0.283,3.478,3.539,3.600,3.742,4.139,5.503,8.699,0.282
40,871.200,3.726,0.280,3.463,3.527,3.627,3.817,6.246,9.621,14.104,0.268
45,943.400,3.471,0.288,3.446,3.502,3.563,3.648,3.753,4.992,7.518,0.288
50,935.600,3.475,0.269,3.452,3.515,3.575,3.644,3.732,5.091,7.562,0.288
55,548.000,5.938,0.256,3.546,6.180,6.355,9.544,11.110,15.679,34.185,0.168
60,519.400,6.332,0.297,6.220,6.308,6.474,6.612,6.920,8.408,10.948,0.158
65,513.000,6.472,0.341,6.365,6.477,6.600,6.739,6.910,9.430,11.160,0.155
70,527.600,6.222,0.291,6.079,6.193,6.390,6.561,6.742,9.499,14.875,0.161
75,506.600,6.178,0.324,6.034,6.120,6.209,6.363,6.510,10.621,25.062,0.162
80,498.000,6.324,0.334,6.186,6.288,6.511,6.706,7.088,9.667,19.897,0.158
85,458.600,7.128,0.282,6.179,6.271,6.619,10.814,12.014,17.579,28.044,0.140
90,517.600,6.202,0.343,6.150,6.230,6.347,6.479,6.588,8.155,11.084,0.161
95,521.000,6.370,0.346,6.308,6.419,6.551,6.707,6.867,9.218,10.715,0.157
100,509.800,6.334,0.293,6.140,6.271,6.519,6.717,7.099,10.572,17.511,0.158
105,510.600,6.196,0.250,6.052,6.173,6.283,6.429,6.609,9.925,32.934,0.161
110,507.600,6.299,0.321,6.053,6.164,6.278,6.482,7.705,13.651,34.373,0.159
115,477.600,6.792,0.275,6.159,6.348,6.561,9.525,11.232,15.444,36.637,0.147
120,522.000,6.340,0.266,6.245,6.319,6.454,6.574,6.769,9.623,12.424,0.158
125,505.600,6.412,0.333,6.258,6.414,6.556,6.704,6.962,9.360,10.554,0.156
130,518.000,6.418,0.322,6.337,6.466,6.581,6.717,6.872,9.925,16.617,0.156
135,525.600,6.216,0.323,6.079,6.163,6.254,6.383,6.571,10.067,18.576,0.161
140,495.400,6.713,0.316,6.080,6.187,6.319,9.411,11.094,14.127,20.073,0.149
145,497.200,6.526,0.243,6.275,6.469,6.593,6.878,8.965,11.164,35.190,0.153
150,523.000,6.289,0.308,6.238,6.330,6.456,6.586,6.734,9.289,10.886,0.159
155,512.000,6.299,0.310,6.216,6.311,6.500,6.645,7.634,9.336,10.837,0.159
160,505.000,6.473,0.288,6.358,6.445,6.596,6.725,6.933,9.565,21.134,0.154
165,527.200,6.373,0.294,6.104,6.213,6.457,6.625,6.860,10.537,30.744,0.157
170,491.400,6.877,0.344,6.107,6.227,6.420,9.432,11.031,17.350,29.194,0.145
175,515.800,6.356,0.290,6.220,6.368,6.574,6.764,7.881,10.662,11.989,0.157
180,535.400,6.267,0.316,6.134,6.288,6.430,6.582,6.886,10.300,20.823,0.160
185,524.200,6.218,0.295,6.176,6.248,6.374,6.506,6.602,9.303,13.465,0.161
190,526.600,6.388,0.303,6.246,6.378,6.523,6.628,6.797,9.337,18.290,0.157
195,505.600,6.504,0.339,6.270,6.467,6.566,6.736,6.909,11.290,30.674,0.154
200,482.400,6.723,0.298,6.035,6.134,6.310,9.273,10.749,14.877,26.465,0.149
205,521.800,6.355,0.322,6.144,6.252,6.375,6.728,8.399,10.556,11.096,0.157
210,514.800,6.285,0.321,6.186,6.441,6.611,6.726,7.019,9.823,27.602,0.159
215,523.200,6.340,0.294,6.227,6.319,6.439,6.587,6.792,9.802,15.342,0.158
220,523.400,6.320,0.287,6.208,6.294,6.436,6.604,7.805,9.957,12.194,0.158
225,524.000,6.545,0.288,6.381,6.490,6.627,6.821,7.076,10.573,28.286,0.153
230,466.400,7.018,0.288,6.104,6.221,6.514,9.350,11.599,17.788,30.801,0.142
235,510.400,6.240,0.359,6.086,6.185,6.292,6.453,7.584,10.305,13.249,0.160
240,532.000,6.297,0.289,6.212,6.373,6.572,6.746,6.844,8.644,10.791,0.159
245,513.200,6.355,0.304,6.233,6.327,6.429,6.580,6.738,9.990,21.028,0.157
250,523.400,6.277,0.340,6.205,6.280,6.390,6.525,6.690,9.029,13.762,0.159
255,507.800,6.455,0.332,6.305,6.404,6.524,6.656,6.933,12.160,17.315,0.155
260,476.600,7.042,0.309,6.059,6.302,6.628,10.366,11.790,17.184,29.354,0.142
265,527.400,6.216,0.327,6.088,6.175,6.277,6.459,7.655,9.588,14.665,0.161
270,531.800,6.245,0.338,6.144,6.251,6.382,6.558,6.756,9.143,15.444,0.160
275,517.000,6.355,0.241,6.213,6.439,6.606,6.758,6.964,10.734,21.522,0.157
280,527.600,6.311,0.273,6.243,6.342,6.450,6.593,6.700,9.089,10.615,0.158
285,517.000,6.405,0.313,6.244,6.356,6.515,6.626,6.767,10.359,25.829,0.156
290,460.600,7.074,0.348,6.130,6.269,6.525,10.490,11.900,19.654,35.112,0.141
295,535.800,6.216,0.316,6.066,6.163,6.281,6.439,7.500,10.701,13.373,0.161
300,537.400,6.144,0.285,6.091,6.164,6.235,6.387,6.504,9.250,12.147,0.163
305,529.000,6.337,0.355,6.241,6.413,6.603,6.785,6.900,9.352,11.792,0.158
310,535.800,6.238,0.292,6.156,6.272,6.387,6.510,6.790,9.549,19.778,0.160
315,523.600,6.266,0.313,6.139,6.218,6.303,6.444,6.552,10.120,21.914,0.160
320,444.800,7.297,0.292,6.256,6.488,6.699,10.773,11.873,18.840,42.091,0.137
325,529.800,6.118,0.270,6.033,6.101,6.193,6.330,7.497,9.510,15.271,0.163
330,549.600,6.093,0.318,6.016,6.152,6.266,6.337,6.458,8.939,11.118,0.164
335,513.000,6.162,0.310,6.104,6.217,6.310,6.448,6.572,7.978,10.289,0.162
340,525.600,6.371,0.310,6.134,6.427,6.588,6.720,6.925,13.360,20.268,0.157
345,531.200,6.424,0.288,6.165,6.248,6.370,6.497,7.682,14.683,34.645,0.156
350,473.200,7.208,0.398,6.355,6.511,6.711,9.848,11.844,17.898,30.294,0.139
355,520.400,6.282,0.387,6.130,6.238,6.470,6.688,7.101,9.764,12.093,0.159
360,526.400,6.103,0.345,6.037,6.153,6.274,6.419,6.530,9.010,10.000,0.164
365,528.600,6.127,0.328,6.058,6.138,6.235,6.350,6.483,9.128,11.958,0.163
370,518.600,6.411,0.331,6.275,6.459,6.601,6.793,6.927,8.870,10.317,0.156
375,474.200,6.834,0.371,6.062,6.280,6.473,9.434,11.130,19.771,34.925,0.146
