Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,277.400,6.442,0.303,6.285,6.503,6.623,6.747,7.029,8.594,11.315,0.155
5,303.800,6.138,0.480,6.008,6.118,6.257,6.408,6.928,10.224,17.249,0.163
10,297.800,6.163,0.320,6.018,6.131,6.265,6.442,6.586,9.047,10.801,0.162
15,387.400,4.934,0.306,3.475,3.746,6.139,6.344,6.512,18.692,27.315,0.203
20,456.200,4.085,0.287,3.462,3.567,3.869,5.914,6.840,9.694,45.340,0.245
25,512.200,3.533,0.304,3.499,3.579,3.661,3.797,3.869,4.157,7.633,0.283
30,548.400,3.554,0.201,3.466,3.547,3.630,3.762,3.828,5.763,15.941,0.281
35,502.600,3.743,0.289,3.451,3.536,3.658,4.330,6.675,7.125,12.477,0.267
40,519.400,3.509,0.171,3.438,3.503,3.578,3.714,3.780,5.660,11.499,0.285
45,539.400,3.493,0.246,3.436,3.489,3.561,3.710,3.781,5.144,11.519,0.286
50,548.400,3.485,0.280,3.443,3.514,3.594,3.723,3.791,4.344,9.178,0.287
55,508.000,3.736,0.240,3.451,3.524,3.628,4.028,6.650,7.472,11.518,0.268
60,532.800,3.473,0.301,3.449,3.514,3.579,3.689,3.744,4.082,7.445,0.288
65,501.600,3.672,0.188,3.446,3.511,3.592,3.824,5.483,6.359,19.782,0.272
70,248.800,7.290,0.347,6.213,6.371,6.616,10.190,12.157,23.277,50.625,0.137
75,276.800,6.550,0.155,6.330,6.500,6.642,6.823,8.098,11.815,16.297,0.153
80,303.400,6.126,0.334,6.051,6.163,6.284,6.438,6.525,9.159,11.998,0.163
85,309.000,6.170,0.293,6.062,6.182,6.294,6.455,6.750,9.327,14.500,0.162
90,311.600,6.139,0.296,6.080,6.194,6.320,6.453,6.596,9.229,9.703,0.163
95,300.000,6.317,0.385,5.993,6.375,6.565,6.744,6.889,10.746,20.276,0.158
100,264.000,7.360,0.222,6.266,6.404,6.645,10.737,12.137,26.634,39.383,0.136
105,284.800,6.525,0.287,6.378,6.486,6.642,6.833,8.227,11.020,12.505,0.153
110,288.000,6.252,0.245,6.122,6.220,6.408,6.545,6.750,9.650,21.315,0.160
115,295.400,6.131,0.218,6.049,6.144,6.286,6.403,6.548,9.263,12.196,0.163
120,302.200,6.102,0.210,6.044,6.159,6.266,6.411,6.493,8.886,11.028,0.164
125,300.000,6.350,0.190,6.228,6.422,6.600,6.762,6.915,9.184,11.853,0.157
130,270.000,7.035,0.352,6.065,6.256,6.524,10.637,11.956,20.192,36.094,0.142
135,293.000,6.505,0.310,6.262,6.413,6.536,6.739,7.787,10.819,28.640,0.154
140,287.400,6.424,0.249,6.164,6.325,6.545,6.747,7.279,10.056,31.305,0.156
145,300.800,6.104,0.260,6.005,6.106,6.225,6.395,6.578,9.371,11.860,0.164
150,300.400,6.118,0.186,6.056,6.156,6.261,6.403,6.568,9.019,10.242,0.163
155,306.200,6.274,0.278,6.129,6.258,6.453,6.644,6.906,8.999,9.913,0.159
160,248.800,7.075,0.342,6.189,6.375,6.590,9.562,12.023,20.584,31.720,0.141
165,281.600,6.471,0.166,6.290,6.421,6.610,6.795,7.910,10.904,30.709,0.155
170,283.200,6.469,0.307,6.245,6.441,6.612,6.786,6.986,9.722,24.060,0.155
175,305.800,6.135,0.308,6.015,6.114,6.229,6.369,6.671,9.263,17.198,0.163
180,294.800,6.075,0.304,6.038,6.150,6.248,6.348,6.466,7.930,10.161,0.165
185,309.400,6.148,0.228,6.094,6.231,6.347,6.504,6.616,8.231,10.251,0.163
190,265.800,7.105,0.226,6.218,6.351,6.589,9.658,11.994,20.020,44.857,0.141
195,300.800,6.467,0.328,6.231,6.348,6.502,6.661,7.800,10.895,33.396,0.155
200,278.200,6.525,0.316,6.329,6.488,6.612,6.796,7.146,10.734,22.912,0.153
205,312.800,6.130,0.168,6.033,6.144,6.239,6.413,6.547,9.333,12.766,0.163
210,313.400,6.120,0.208,6.021,6.158,6.281,6.422,6.569,9.015,10.116,0.163
215,305.000,6.145,0.172,6.094,6.176,6.270,6.427,6.543,8.039,10.770,0.163
220,257.400,7.052,0.270,6.159,6.248,6.426,10.356,11.357,20.754,46.587,0.142
225,293.200,6.265,0.231,6.153,6.226,6.365,6.568,7.372,9.296,29.979,0.160
230,288.800,6.531,0.281,6.358,6.467,6.594,6.742,6.977,9.595,40.357,0.153
235,295.400,6.109,0.227,6.010,6.113,6.214,6.390,6.605,9.295,17.340,0.164
240,307.400,6.085,0.182,6.034,6.148,6.230,6.344,6.486,7.932,10.247,0.164
245,291.600,6.343,0.276,6.045,6.135,6.252,6.426,7.777,14.248,29.406,0.158
250,269.600,6.880,0.302,6.214,6.333,6.510,8.144,10.166,15.136,56.130,0.145
255,296.200,6.219,0.258,6.178,6.260,6.388,6.535,6.666,9.261,30.193,0.161
260,290.200,6.552,0.209,6.310,6.450,6.593,6.733,7.042,10.376,33.963,0.153
265,299.600,6.267,0.226,6.088,6.206,6.415,6.621,6.931,9.701,19.083,0.160
270,314.600,6.098,0.164,6.002,6.136,6.248,6.361,6.489,8.053,9.966,0.164
275,281.600,6.631,0.198,6.063,6.166,6.330,8.685,11.398,16.929,25.977,0.151
280,272.600,6.557,0.248,5.994,6.375,6.573,6.925,9.988,18.314,22.378,0.153
285,287.800,6.281,0.202,6.221,6.304,6.443,6.574,6.682,9.353,11.103,0.159
290,291.400,6.470,0.187,6.279,6.401,6.570,6.701,6.977,9.893,41.937,0.155
295,301.600,6.317,0.269,6.182,6.374,6.536,6.650,6.774,9.270,15.931,0.158
300,297.200,6.017,0.184,6.010,6.095,6.230,6.348,6.474,8.823,17.771,0.166
305,283.200,6.782,0.224,6.059,6.176,6.344,9.642,11.149,15.062,23.522,0.147
310,314.000,6.362,0.202,6.162,6.435,6.619,6.814,7.569,14.413,28.172,0.157
315,304.000,6.245,0.194,6.181,6.276,6.401,6.549,6.718,9.256,10.693,0.160
320,292.600,6.297,0.172,6.187,6.292,6.475,6.638,6.829,8.249,29.860,0.159
325,294.200,6.500,0.205,6.196,6.418,6.553,6.756,7.845,12.584,36.464,0.154
330,316.600,6.101,0.244,6.000,6.098,6.203,6.353,6.560,8.961,22.639,0.164
335,287.200,6.808,0.168,6.126,6.226,6.420,9.494,10.943,14.548,22.368,0.147
340,291.800,6.339,0.263,6.102,6.351,6.552,6.791,7.967,11.884,20.244,0.158
345,284.600,6.368,0.245,6.260,6.368,6.502,6.646,6.788,9.386,14.295,0.157
350,290.800,6.313,0.228,6.219,6.310,6.432,6.561,6.675,9.406,29.108,0.158
355,279.400,6.600,0.258,6.371,6.526,6.619,6.766,7.883,12.689,42.116,0.152
360,314.200,6.145,0.176,6.016,6.126,6.241,6.394,6.531,9.445,19.921,0.163
365,280.400,6.781,0.232,6.083,6.185,6.367,9.579,10.806,14.665,25.507,0.147
370,285.800,6.389,0.280,6.195,6.353,6.627,6.845,7.860,9.953,19.387,0.157
375,292.000,6.198,0.209,6.012,6.282,6.455,6.628,6.869,9.798,20.733,0.161
380,304.400,6.216,0.268,6.170,6.255,6.355,6.488,6.604,9.364,28.004,0.161
385,266.400,6.559,0.200,6.269,6.505,6.636,6.804,7.174,12.548,47.775,0.152
390,312.600,6.194,0.174,6.043,6.176,6.374,6.612,7.088,9.224,20.015,0.161
395,274.000,6.597,0.282,5.989,6.080,6.263,9.345,10.830,13.690,23.450,0.152
400,301.800,6.283,0.413,6.111,6.243,6.402,6.589,7.573,9.238,14.774,0.159
405,296.400,6.243,0.225,6.082,6.389,6.550,6.712,6.835,9.727,34.704,0.160
410,304.000,6.355,0.193,6.227,6.336,6.462,6.598,6.928,9.608,20.179,0.157
415,287.600,6.592,0.235,6.239,6.372,6.559,6.686,6.881,15.333,41.741,0.152
420,299.200,6.357,0.163,6.136,6.324,6.554,6.689,7.466,11.087,20.151,0.157
425,283.800,6.841,0.195,6.070,6.213,6.386,9.791,11.820,17.044,18.241,0.146
430,311.600,6.186,0.188,6.094,6.197,6.313,6.461,7.577,9.442,11.407,0.162
435,297.200,6.317,0.301,6.103,6.396,6.625,6.792,6.924,10.269,25.659,0.158
440,300.600,6.213,0.196,6.183,6.285,6.421,6.561,6.651,8.109,27.498,0.161
445,294.600,6.309,0.208,6.166,6.254,6.365,6.523,6.686,10.167,38.181,0.158
450,289.600,6.468,0.164,6.298,6.502,6.620,6.789,6.890,9.890,24.217,0.155
455,283.200,6.597,0.219,5.981,6.090,6.285,9.154,10.674,13.499,17.569,0.152
460,299.600,6.058,0.234,6.065,6.152,6.256,6.387,6.517,8.985,10.657,0.165
465,301.600,6.295,0.199,6.208,6.373,6.582,6.746,6.874,8.505,10.491,0.159
470,304.000,6.118,0.247,6.032,6.275,6.372,6.519,6.643,9.267,32.162,0.163
475,302.600,6.182,0.226,6.133,6.210,6.288,6.417,6.542,9.245,32.571,0.162
480,285.200,6.719,0.237,6.319,6.471,6.585,6.772,8.231,19.185,40.937,0.149
485,307.600,6.573,0.227,5.991,6.064,6.172,9.198,10.634,13.090,26.163,0.152
490,312.000,6.019,0.249,6.028,6.162,6.251,6.346,6.475,7.890,9.436,0.166
495,306.000,6.235,0.159,6.137,6.276,6.397,6.651,6.802,9.421,10.332,0.160
500,303.000,6.324,0.215,6.073,6.350,6.582,6.852,8.021,11.121,20.501,0.158
505,299.200,6.188,0.157,6.113,6.194,6.296,6.448,6.519,9.324,26.031,0.162
510,262.400,7.262,0.191,6.246,6.403,6.658,10.637,11.799,21.644,36.614,0.138
515,298.800,6.195,0.216,6.026,6.127,6.242,6.413,7.734,10.826,15.335,0.161
