Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1832,1832.000,136,6034,6221,5464,6500,6675,6908,9533,11188
1,1897,1897.000,120,5975,6192,5267,6263,6411,6510,7762,9340
2,1902,1902.000,130,5966,6165,5250,6259,6408,6479,9278,10394
3,1965,1965.000,122,5858,6046,5086,6103,6154,6231,7658,10556
4,1894,1894.000,111,5958,6085,5274,6178,6333,6396,9076,10625
5,1929,1929.000,107,5905,6069,5196,6130,6289,6379,9090,10032
6,2002,2002.000,118,5786,5992,4971,6063,6125,6159,7577,10523
7,1890,1890.000,116,5951,6180,5289,6287,6444,6514,9223,12230
8,1891,1891.000,106,6039,6234,5278,6297,6458,6548,8227,11676
9,1946,1946.000,106,5892,6078,5123,6234,6306,6349,9160,10269
10,1942,1942.000,92,5913,6077,5161,6168,6329,6380,7654,9144
11,1928,1928.000,127,5933,6140,5180,6220,6379,6437,8301,9133
12,1886,1886.000,101,5994,6172,5282,6297,6426,6513,9057,10175
13,1919,1919.000,124,5943,6121,5213,6229,6360,6428,7747,9101
14,1796,1796.000,103,6111,6306,5555,6455,6618,7662,12360,13308
15,1860,1860.000,111,6115,6318,5389,6500,6650,6790,9744,10571
16,1814,1814.000,117,6363,6541,5507,6625,6791,6864,8671,10026
17,1783,1783.000,115,6390,6538,5605,6628,6773,6859,9607,10231
18,2261,2261.000,92,3486,5191,4410,5487,6562,6762,10660,11392
19,3374,3374.000,92,3287,3436,2957,3554,3912,4210,4537,6596
20,3367,3367.000,104,3327,3456,2970,3507,3577,3689,3838,7410
21,3336,3336.000,100,3270,3436,2991,3498,3575,3662,3757,43985
22,2290,2290.000,95,3478,3973,4367,5626,6844,8161,11129,44832
23,1980,1980.000,107,3558,5353,5043,6749,6974,7684,11235,53392
24,3242,3242.000,104,3348,3506,3076,3571,3721,3896,7168,10084
25,3390,3390.000,88,3343,3488,2947,3536,3575,3621,4045,5281
26,3194,3194.000,99,3354,3488,3126,3562,3719,3941,10541,11598
27,3344,3344.000,102,3334,3473,2990,3529,3627,3734,5116,14218
28,3451,3451.000,101,3285,3418,2891,3471,3517,3554,3701,7546
29,3423,3423.000,86,3311,3469,2917,3515,3553,3580,4589,6725
30,3367,3367.000,102,3317,3488,2967,3541,3588,3619,4849,7437
31,3347,3347.000,95,3348,3542,2979,3609,3722,3811,3900,7632
32,3366,3366.000,93,3312,3500,2967,3574,3712,3778,4087,5258
33,3293,3293.000,92,3371,3553,3030,3621,3768,3841,4129,7651
34,3344,3344.000,105,3350,3515,2991,3589,3701,3770,3931,6659
35,3326,3326.000,101,3357,3532,3000,3607,3727,3792,4012,7431
36,3342,3342.000,89,3352,3512,2984,3582,3695,3769,3849,5746
37,3366,3366.000,91,3320,3517,2965,3598,3715,3770,5130,7706
38,2747,2747.000,83,3419,3576,3638,4325,5905,6952,9815,14491
39,2923,2923.000,105,3345,3519,3422,3726,5672,6854,7092,11274
40,3235,3235.000,109,3357,3530,3077,3616,3773,3909,6778,11176
41,3380,3380.000,95,3326,3527,2962,3599,3743,3811,5149,7834
42,3279,3279.000,99,3385,3549,3040,3620,3764,3833,4058,5620
43,3327,3327.000,91,3341,3513,3002,3573,3630,3736,5223,8029
44,3378,3378.000,95,3330,3512,2953,3564,3615,3661,5066,7537
45,3419,3419.000,100,3284,3452,2925,3493,3543,3682,4255,7137
46,3372,3372.000,91,3344,3497,2958,3548,3585,3620,3857,7515
47,3390,3390.000,93,3329,3483,2946,3543,3660,3745,3936,5393
48,3311,3311.000,97,3380,3509,3022,3585,3740,3788,4164,7717
49,3411,3411.000,95,3317,3489,2927,3570,3705,3791,4079,5635
50,3216,3216.000,102,3387,3506,3107,3604,3977,4333,6874,9248
51,3294,3294.000,97,3396,3504,3033,3578,3722,3794,5305,6905
52,1915,1915.000,126,4024,5777,5221,6182,6366,7688,20093,31223
53,1884,1884.000,107,6080,6276,5306,6373,6448,6489,8025,9410
54,1861,1861.000,115,6158,6332,5368,6434,6581,6657,8113,9455
55,1795,1795.000,125,6074,6258,5575,6372,6587,8149,18641,21526
56,1914,1914.000,118,5968,6149,5208,6206,6277,6343,8786,9233
57,1116,1116.000,122,6505,9524,9004,11932,13254,16878,19021,21119
58,1757,1757.000,117,6063,6226,5678,6325,7870,10452,13428,17729
59,1867,1867.000,124,6069,6208,5348,6309,6491,6572,9107,10180
60,1748,1748.000,105,6336,6493,5729,6605,6820,8614,11509,17190
61,1779,1779.000,116,6241,6427,5590,6491,6618,8070,9476,21274
62,1839,1839.000,98,6245,6420,5444,6491,6586,6760,9309,10500
63,1833,1833.000,107,6220,6418,5456,6532,6666,6772,9278,9581
64,1828,1828.000,101,6289,6542,5470,6651,6835,6909,8362,9979
65,1779,1779.000,113,6422,6603,5618,6718,6838,6906,8685,9904
66,1806,1806.000,96,6333,6505,5530,6615,6756,6860,9780,10487
67,1851,1851.000,117,6129,6275,5406,6509,6707,6842,9196,9670
68,1919,1919.000,101,6023,6225,5199,6290,6416,6583,7862,9380
69,1903,1903.000,111,5984,6152,5262,6215,6276,6408,8804,11734
70,1938,1938.000,106,5899,6099,5158,6185,6314,6400,8369,9286
71,1962,1962.000,122,5833,6068,5085,6154,6288,6430,9033,15021
72,1920,1920.000,96,5912,6077,5213,6161,6347,6417,8980,10009
73,1964,1964.000,116,5864,6033,5080,6113,6252,6325,7655,9051
74,1945,1945.000,110,5869,6060,5149,6143,6281,6390,7588,9412
75,1845,1845.000,115,6090,6249,5405,6346,6539,6673,9369,10505
76,1826,1826.000,115,5922,6057,5481,6188,6331,7693,15022,18448
77,1959,1959.000,126,5870,6085,5108,6184,6357,6397,7808,9295
78,1907,1907.000,100,5981,6140,5229,6259,6363,6482,8004,9413
79,1929,1929.000,95,5966,6105,5185,6206,6355,6420,8803,10297
80,1912,1912.000,103,5969,6089,5239,6196,6327,6432,7680,9178
81,1604,1604.000,112,6315,6572,6219,6723,6882,8325,27440,37847
82,1843,1843.000,108,6314,6481,5440,6602,6752,6832,9592,10732
83,2039,2039.000,104,5089,5242,4898,5366,5837,6361,19818,26919
84,1907,1907.000,92,6055,6215,5231,6295,6358,6453,7836,9290
85,1850,1850.000,101,6191,6336,5411,6453,6541,6710,9591,10761
86,1189,1189.000,106,6288,9316,8425,10924,13919,17097,21876,27378
87,1654,1654.000,113,6104,6248,6037,6405,10701,11250,13727,17900
88,1906,1906.000,115,6065,6239,5239,6323,6417,6513,7952,9414
89,1892,1892.000,103,6070,6199,5281,6283,6412,6492,9072,10513
90,1790,1790.000,96,6118,6238,5585,6390,7802,9256,11102,12314
91,1849,1849.000,102,6190,6326,5410,6447,6632,7687,8106,9639
92,1799,1799.000,91,6300,6523,5550,6620,6755,6828,9762,10534
93,1840,1840.000,96,6240,6383,5434,6512,6639,6732,9420,10151
94,1842,1842.000,113,6266,6453,5421,6563,6711,6774,8584,9940
95,1821,1821.000,127,6285,6448,5494,6562,6715,6791,9822,10350
96,1799,1799.000,117,6313,6457,5566,6615,6773,6930,9538,9886
97,1781,1781.000,114,6397,6546,5611,6621,6795,6869,8297,9859
98,1802,1802.000,122,6401,6570,5541,6674,6836,6900,8564,9808
99,1799,1799.000,101,6169,6495,5553,6598,6773,6858,9750,10668
100,1883,1883.000,127,6011,6174,5318,6266,6455,6550,9594,10705
101,1883,1883.000,102,6066,6217,5300,6282,6420,6481,9056,9469
102,1902,1902.000,126,5980,6140,5267,6212,6376,6446,10352,17690
103,1923,1923.000,108,5942,6093,5192,6182,6350,6452,7768,9021
104,1953,1953.000,119,5906,6079,5119,6151,6324,6397,7693,9405
105,1901,1901.000,115,5934,6067,5264,6225,6433,6731,8815,10079
106,1885,1885.000,109,5900,6062,5299,6190,6345,7577,14463,16703
107,1909,1909.000,104,6037,6188,5240,6260,6434,6525,9309,10427
108,1953,1953.000,108,5935,6088,5118,6210,6351,6467,7733,9169
109,1933,1933.000,93,5932,6082,5165,6151,6231,6325,8854,10034
110,1919,1919.000,109,5946,6091,5210,6170,6294,6432,7792,9266
111,1729,1729.000,110,6052,6254,5773,6378,6531,9173,23250,29850
112,1850,1850.000,122,6132,6292,5416,6381,6619,6756,9377,11975
113,1780,1780.000,120,6392,6548,5617,6648,6825,6925,8676,9920
114,1781,1781.000,128,6413,6569,5615,6691,6843,6899,8458,10170
115,1631,1631.000,111,5167,5470,6131,6624,10813,14347,25107,33249
116,1242,1242.000,115,6253,9461,8034,10941,12077,12314,13226,17149
117,1846,1846.000,107,6160,6296,5418,6381,6472,6534,9149,9631
118,1862,1862.000,118,6137,6267,5372,6371,6506,6586,8004,9404
119,1807,1807.000,118,6057,6243,5525,6379,7487,9275,12106,16410
120,1828,1828.000,110,6159,6265,5473,6369,6507,7733,7968,9321
121,1851,1851.000,80,6165,6328,5401,6460,6593,6702,9049,9592
122,1862,1862.000,128,6140,6291,5374,6435,6562,6649,9093,10372
123,1866,1866.000,122,6089,6274,5347,6397,6551,6630,8894,9429
