Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,539.400,6.112,0.366,6.058,6.151,6.259,6.404,6.502,9.265,10.698,0.164
5,524.400,6.255,0.335,6.132,6.253,6.388,6.590,6.842,9.228,10.573,0.160
10,742.800,4.427,0.264,3.463,3.601,5.944,6.600,6.726,8.518,11.070,0.226
15,904.400,3.622,0.282,3.490,3.558,3.662,3.873,4.368,6.906,8.769,0.276
20,829.000,3.973,0.232,3.470,3.557,3.752,5.513,6.832,9.627,47.736,0.252
25,962.800,3.439,0.288,3.421,3.478,3.540,3.659,3.721,4.911,7.871,0.291
30,947.800,3.447,0.270,3.419,3.484,3.545,3.658,3.724,4.830,7.536,0.290
35,871.200,3.789,0.270,3.450,3.509,3.673,4.505,6.688,7.513,11.950,0.264
40,917.000,3.493,0.282,3.457,3.525,3.602,3.713,3.775,5.252,7.738,0.286
45,934.400,3.502,0.262,3.459,3.524,3.598,3.732,3.829,5.070,7.752,0.286
50,496.200,6.599,0.358,6.124,6.218,6.377,8.109,11.810,17.859,38.227,0.152
55,501.400,6.638,0.319,6.303,6.440,6.603,6.884,9.215,11.246,17.449,0.151
60,508.200,6.408,0.321,6.258,6.487,6.609,6.762,6.867,9.286,14.058,0.156
65,528.600,6.071,0.313,6.015,6.098,6.196,6.331,6.423,7.891,11.793,0.165
70,524.200,6.086,0.279,6.024,6.141,6.257,6.370,6.477,8.050,10.184,0.164
75,536.400,6.325,0.377,6.129,6.254,6.424,6.661,6.936,10.171,16.151,0.158
80,447.800,7.222,0.241,6.232,6.404,6.669,10.715,12.008,18.112,32.597,0.138
85,516.800,6.413,0.256,6.213,6.333,6.497,6.697,7.851,10.787,17.711,0.156
90,489.000,6.452,0.304,6.384,6.490,6.596,6.732,6.919,9.310,10.618,0.155
95,524.000,6.208,0.281,6.099,6.190,6.314,6.587,6.923,9.277,12.899,0.161
100,531.600,6.088,0.332,6.026,6.117,6.225,6.354,6.481,7.890,10.312,0.164
105,538.000,6.227,0.294,6.066,6.179,6.302,6.499,6.940,9.651,16.923,0.161
110,459.000,7.259,0.373,6.235,6.333,6.547,10.696,12.088,19.782,39.705,0.138
115,513.400,6.373,0.298,6.223,6.296,6.413,6.601,7.838,10.812,20.251,0.157
120,509.600,6.452,0.305,6.346,6.446,6.562,6.714,6.927,8.471,10.332,0.155
125,503.600,6.376,0.314,6.241,6.478,6.571,6.662,6.799,9.245,10.952,0.157
130,538.800,6.107,0.365,6.029,6.110,6.202,6.330,6.439,8.859,10.449,0.164
135,544.600,6.133,0.254,6.063,6.157,6.245,6.371,6.527,10.068,15.269,0.163
