Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,DeleteEmployee,1722222636.414196,6786,0,1
3,UpdateEmployee,1722222636.421013,1045,0,1
1,InsertPosition,1722222636.422064,1402,0,1
4,DeleteEmployee,1722222636.423471,1555,0,1
1,InsertPosition,1722222636.425031,722,0,1
1,InsertPosition,1722222636.425761,682,0,1
2,UpdatePosition,1722222636.426448,911,0,1
2,UpdatePosition,1722222636.427363,865,0,1
2,UpdatePosition,1722222636.428232,905,0,1
3,UpdateEmployee,1722222636.429141,774,0,1
1,InsertPosition,1722222636.429920,662,0,1
1,InsertPosition,1722222636.430586,1061,0,1
2,UpdatePosition,1722222636.431652,808,0,1
3,UpdateEmployee,1722222636.432464,779,0,1
1,InsertPosition,1722222636.433250,676,0,1
4,DeleteEmployee,1722222636.433931,1542,0,1
2,UpdatePosition,1722222636.435478,914,0,1
3,UpdateEmployee,1722222636.436396,853,0,1
1,InsertPosition,1722222636.437257,617,0,1
3,UpdateEmployee,1722222636.437879,790,0,1
1,InsertPosition,1722222636.438674,683,0,1
3,UpdateEmployee,1722222636.439363,869,0,1
3,UpdateEmployee,1722222636.440237,690,0,1
2,UpdatePosition,1722222636.440932,739,0,1
2,UpdatePosition,1722222636.441675,785,0,1
3,UpdateEmployee,1722222636.442467,762,0,1
2,UpdatePosition,1722222636.443235,991,0,1
2,UpdatePosition,1722222636.444231,911,0,1
4,DeleteEmployee,1722222636.445157,1805,0,1
1,InsertPosition,1722222636.446966,622,0,1
2,UpdatePosition,1722222636.447593,743,0,1
3,UpdateEmployee,1722222636.448341,679,0,1
1,InsertPosition,1722222636.449024,603,0,1
1,InsertPosition,1722222636.449632,563,0,1
2,UpdatePosition,1722222636.450199,733,0,1
1,InsertPosition,1722222636.450938,608,0,1
1,InsertPosition,1722222636.451550,582,0,1
2,UpdatePosition,1722222636.452137,789,0,1
3,UpdateEmployee,1722222636.452931,671,0,1
3,UpdateEmployee,1722222636.453606,600,0,1
2,UpdatePosition,1722222636.454211,664,0,1
3,UpdateEmployee,1722222636.454880,655,0,1
3,UpdateEmployee,1722222636.455540,626,0,1
1,InsertPosition,1722222636.457139,865,0,1
2,UpdatePosition,1722222636.458010,828,0,1
1,InsertPosition,1722222636.458843,633,0,1
2,UpdatePosition,1722222636.459481,808,0,1
1,InsertPosition,1722222636.460294,676,0,1
1,InsertPosition,1722222636.460975,621,0,1
1,InsertPosition,1722222636.461600,601,0,1
3,UpdateEmployee,1722222636.462206,601,0,1
4,DeleteEmployee,1722222636.462811,1612,0,1
3,UpdateEmployee,1722222636.464427,649,0,1
4,DeleteEmployee,1722222636.465081,1495,0,1
3,UpdateEmployee,1722222636.466580,629,0,1
2,UpdatePosition,1722222636.467213,841,0,1
2,UpdatePosition,1722222636.468058,792,0,1
2,UpdatePosition,1722222636.468855,732,0,1
4,DeleteEmployee,1722222636.469591,1410,0,1
2,UpdatePosition,1722222636.471005,821,0,1
3,UpdateEmployee,1722222636.471830,621,0,1
2,UpdatePosition,1722222636.472455,8311,0,1
3,UpdateEmployee,1722222636.480772,642,0,1
4,DeleteEmployee,1722222636.481418,1537,0,1
2,UpdatePosition,1722222636.482961,758,0,1
3,UpdateEmployee,1722222636.483724,624,0,1
2,UpdatePosition,1722222636.484353,640,0,1
3,UpdateEmployee,1722222636.484996,624,0,1
1,InsertPosition,1722222636.485623,713,0,1
3,UpdateEmployee,1722222636.486340,597,0,1
3,UpdateEmployee,1722222636.486940,591,0,1
2,UpdatePosition,1722222636.487535,746,0,1
3,UpdateEmployee,1722222636.488283,624,0,1
1,InsertPosition,1722222636.488911,631,0,1
1,InsertPosition,1722222636.489546,588,0,1
1,InsertPosition,1722222636.490138,618,0,1
1,InsertPosition,1722222636.490762,612,0,1
2,UpdatePosition,1722222636.491378,632,0,1
2,UpdatePosition,1722222636.492012,631,0,1
2,UpdatePosition,1722222636.492648,728,0,1
2,UpdatePosition,1722222636.493379,629,0,1
3,UpdateEmployee,1722222636.494011,604,0,1
1,InsertPosition,1722222636.494619,607,0,1
1,InsertPosition,1722222636.495229,618,0,1
4,DeleteEmployee,1722222636.495851,1803,0,1
1,InsertPosition,1722222636.497658,646,0,1
2,UpdatePosition,1722222636.498307,780,0,1
1,InsertPosition,1722222636.499090,643,0,1
2,UpdatePosition,1722222636.499736,777,0,1
3,UpdateEmployee,1722222636.500516,609,0,1
2,UpdatePosition,1722222636.501129,798,0,1
3,UpdateEmployee,1722222636.501929,581,0,1
4,DeleteEmployee,1722222636.502513,1364,0,1
2,UpdatePosition,1722222636.503880,739,0,1
2,UpdatePosition,1722222636.504621,627,0,1
3,UpdateEmployee,1722222636.505251,611,0,1
4,DeleteEmployee,1722222636.505868,1426,0,1
2,UpdatePosition,1722222636.507297,734,0,1
1,InsertPosition,1722222636.508035,585,0,1
4,DeleteEmployee,1722222636.508623,1476,0,1
1,InsertPosition,1722222636.510102,602,0,1
3,UpdateEmployee,1722222636.510707,614,0,1
3,UpdateEmployee,1722222636.511324,607,0,1
3,UpdateEmployee,1722222636.511934,576,0,1
3,UpdateEmployee,1722222636.512512,576,0,1
1,InsertPosition,1722222636.513091,602,0,1
3,UpdateEmployee,1722222636.513695,584,0,1
3,UpdateEmployee,1722222636.514282,625,0,1
3,UpdateEmployee,1722222636.514909,618,0,1
1,InsertPosition,1722222636.515530,580,0,1
3,UpdateEmployee,1722222636.516114,627,0,1
4,DeleteEmployee,1722222636.516745,1394,0,1
3,UpdateEmployee,1722222636.518142,613,0,1
2,UpdatePosition,1722222636.518758,685,0,1
3,UpdateEmployee,1722222636.519446,601,0,1
1,InsertPosition,1722222636.520050,625,0,1
2,UpdatePosition,1722222636.520678,630,0,1
2,UpdatePosition,1722222636.521310,706,0,1
4,DeleteEmployee,1722222636.522018,1329,0,1
2,UpdatePosition,1722222636.523350,678,0,1
2,UpdatePosition,1722222636.524030,678,0,1
4,DeleteEmployee,1722222636.524713,1419,0,1
4,DeleteEmployee,1722222636.526136,1532,0,1
3,UpdateEmployee,1722222636.527672,636,0,1
2,UpdatePosition,1722222636.528311,720,0,1
1,InsertPosition,1722222636.529035,755,0,1
1,InsertPosition,1722222636.529794,637,0,1
1,InsertPosition,1722222636.530442,649,0,1
3,UpdateEmployee,1722222636.531098,648,0,1
2,UpdatePosition,1722222636.531750,719,0,1
4,DeleteEmployee,1722222636.532472,1400,0,1
3,UpdateEmployee,1722222636.533875,590,0,1
1,InsertPosition,1722222636.534468,607,0,1
2,UpdatePosition,1722222636.535077,734,0,1
2,UpdatePosition,1722222636.535814,654,0,1
1,InsertPosition,1722222636.536471,595,0,1
3,UpdateEmployee,1722222636.537069,582,0,1
4,DeleteEmployee,1722222636.537654,1314,0,1
1,InsertPosition,1722222636.538971,602,0,1
4,DeleteEmployee,1722222636.539576,1427,0,1
2,UpdatePosition,1722222636.541006,627,0,1
3,UpdateEmployee,1722222636.541635,598,0,1
2,UpdatePosition,1722222636.542236,745,0,1
2,UpdatePosition,1722222636.542983,664,0,1
4,DeleteEmployee,1722222636.543649,1361,0,1
2,UpdatePosition,1722222636.545013,730,0,1
2,UpdatePosition,1722222636.545748,620,0,1
4,DeleteEmployee,1722222636.546371,1518,0,1
3,UpdateEmployee,1722222636.547891,592,0,1
1,InsertPosition,1722222636.548486,594,0,1
2,UpdatePosition,1722222636.549082,756,0,1
1,InsertPosition,1722222636.549841,618,0,1
1,InsertPosition,1722222636.550462,600,0,1
4,DeleteEmployee,1722222636.551065,1358,0,1
3,UpdateEmployee,1722222636.552425,600,0,1
1,InsertPosition,1722222636.553027,579,0,1
4,DeleteEmployee,1722222636.553609,1467,0,1
3,UpdateEmployee,1722222636.555078,583,0,1
4,DeleteEmployee,1722222636.555664,1365,0,1
4,DeleteEmployee,1722222636.557031,1351,0,1
2,UpdatePosition,1722222636.558384,723,0,1
1,InsertPosition,1722222636.559109,618,0,1
2,UpdatePosition,1722222636.559730,618,0,1
3,UpdateEmployee,1722222636.560350,614,0,1
3,UpdateEmployee,1722222636.560970,635,0,1
1,InsertPosition,1722222636.561607,606,0,1
4,DeleteEmployee,1722222636.562216,1417,0,1
2,UpdatePosition,1722222636.563636,770,0,1
4,DeleteEmployee,1722222636.564409,1340,0,1
3,UpdateEmployee,1722222636.565752,596,0,1
3,UpdateEmployee,1722222636.566350,597,0,1
4,DeleteEmployee,1722222636.566949,1359,0,1
2,UpdatePosition,1722222636.568310,608,0,1
3,UpdateEmployee,1722222636.568920,588,0,1
2,UpdatePosition,1722222636.569510,726,0,1
1,InsertPosition,1722222636.570238,615,0,1
3,UpdateEmployee,1722222636.570856,588,0,1
2,UpdatePosition,1722222636.571446,694,0,1
1,InsertPosition,1722222636.572143,614,0,1
2,UpdatePosition,1722222636.572760,765,0,1
1,InsertPosition,1722222636.573527,601,0,1
1,InsertPosition,1722222636.574131,584,0,1
3,UpdateEmployee,1722222636.574717,649,0,1
1,InsertPosition,1722222636.575371,656,0,1
2,UpdatePosition,1722222636.576030,761,0,1
1,InsertPosition,1722222636.576793,730,0,1
2,UpdatePosition,1722222636.577525,738,0,1
2,UpdatePosition,1722222636.578265,706,0,1
1,InsertPosition,1722222636.578974,580,0,1
2,UpdatePosition,1722222636.579557,671,0,1
2,UpdatePosition,1722222636.580230,737,0,1
3,UpdateEmployee,1722222636.580970,567,0,1
1,InsertPosition,1722222636.581539,574,0,1
2,UpdatePosition,1722222636.582115,730,0,1
1,InsertPosition,1722222636.582849,584,0,1
