Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,604.800,5.375,0.315,3.561,6.192,6.583,6.748,6.876,9.984,12.543,0.186
5,946.200,3.449,0.279,3.429,3.502,3.580,3.703,3.764,4.235,7.972,0.290
10,901.600,3.534,0.270,3.418,3.490,3.566,3.686,3.757,4.367,45.162,0.283
15,783.400,4.164,0.288,3.481,3.562,3.895,6.597,6.984,11.296,43.836,0.240
20,932.400,3.508,0.242,3.462,3.537,3.630,3.749,3.848,5.167,12.444,0.285
25,912.600,3.500,0.235,3.447,3.525,3.601,3.721,3.795,5.345,11.298,0.286
30,891.600,3.738,0.255,3.449,3.534,3.673,4.298,6.377,7.111,14.095,0.267
35,930.200,3.482,0.241,3.437,3.500,3.564,3.696,3.763,5.276,12.381,0.287
40,938.200,3.465,0.217,3.419,3.480,3.550,3.693,3.790,5.342,13.378,0.289
45,772.400,4.285,0.242,3.503,3.585,3.734,5.648,10.688,13.709,31.665,0.233
50,534.600,6.214,0.315,6.113,6.214,6.320,6.484,7.431,10.670,12.817,0.161
55,524.200,6.305,0.309,6.221,6.374,6.519,6.686,6.827,9.362,11.916,0.159
60,519.600,6.440,0.318,6.327,6.494,6.620,6.801,7.109,9.697,10.557,0.155
65,552.600,6.100,0.317,6.045,6.142,6.253,6.394,6.502,8.922,10.183,0.164
70,544.800,6.161,0.290,5.983,6.092,6.216,6.355,6.588,9.927,35.652,0.162
75,450.200,7.126,0.319,6.093,6.262,6.489,10.425,12.268,23.676,39.564,0.140
80,515.600,6.370,0.331,6.246,6.346,6.488,6.646,7.851,10.543,12.669,0.157
85,516.400,6.368,0.314,6.265,6.396,6.565,6.707,6.865,9.435,19.056,0.157
90,514.400,6.460,0.317,6.388,6.518,6.636,6.756,6.968,8.626,11.038,0.155
95,526.800,6.216,0.254,6.126,6.235,6.417,6.613,6.781,9.155,10.610,0.161
100,530.400,6.180,0.286,6.023,6.125,6.241,6.374,6.492,10.054,23.195,0.162
105,464.200,6.917,0.305,5.858,6.170,6.344,10.264,12.400,20.510,37.760,0.145
110,522.400,6.340,0.313,6.227,6.345,6.478,6.638,7.707,10.153,18.517,0.158
115,508.200,6.286,0.347,6.214,6.321,6.451,6.577,6.685,9.393,11.840,0.159
120,502.600,6.438,0.308,6.358,6.489,6.619,6.768,7.119,9.826,11.643,0.155
125,519.200,6.319,0.287,6.188,6.428,6.594,6.763,6.870,9.094,10.675,0.158
130,528.200,6.191,0.271,6.018,6.106,6.211,6.352,6.470,10.529,26.886,0.162
135,470.600,7.050,0.338,6.199,6.405,6.665,9.670,11.573,16.879,34.781,0.142
140,526.000,6.340,0.310,6.158,6.366,6.538,6.731,7.875,9.621,34.366,0.158
145,517.600,6.299,0.330,6.216,6.291,6.396,6.529,7.570,9.497,19.365,0.159
150,517.800,6.389,0.275,6.297,6.425,6.569,6.704,6.870,8.729,10.342,0.157
155,503.600,6.481,0.340,6.401,6.535,6.641,6.785,6.922,9.332,11.472,0.154
160,527.600,6.132,0.327,6.066,6.162,6.259,6.408,6.491,8.273,10.639,0.163
165,471.200,7.042,0.338,6.146,6.268,6.464,10.283,12.088,17.942,32.512,0.142
170,524.600,6.393,0.267,6.188,6.387,6.572,6.782,8.109,11.716,20.617,0.156
175,521.600,6.219,0.328,6.160,6.236,6.352,6.490,6.686,8.933,13.449,0.161
180,513.200,6.295,0.300,6.173,6.301,6.475,6.649,6.786,9.350,18.954,0.159
185,512.600,6.478,0.319,6.368,6.497,6.634,6.802,7.055,9.714,11.009,0.154
190,522.600,6.267,0.265,6.109,6.243,6.501,6.724,7.105,9.160,10.566,0.160
195,495.200,6.970,0.308,6.026,6.131,6.325,10.192,11.642,21.757,37.859,0.143
200,511.400,6.253,0.238,6.056,6.308,6.591,6.792,7.352,10.155,23.469,0.160
205,534.400,6.253,0.326,6.187,6.273,6.396,6.529,6.829,9.113,12.317,0.160
210,522.000,6.171,0.336,6.146,6.230,6.334,6.474,6.565,8.059,10.675,0.162
215,520.200,6.395,0.313,6.325,6.413,6.553,6.670,6.825,9.326,12.020,0.156
220,519.000,6.345,0.240,6.205,6.461,6.554,6.646,6.801,9.445,11.547,0.158
225,461.400,7.087,0.256,6.067,6.182,6.411,10.674,12.064,18.693,34.694,0.141
230,504.200,6.379,0.309,6.199,6.341,6.578,6.803,7.539,9.822,15.779,0.157
235,524.000,6.221,0.361,5.967,6.272,6.458,6.626,6.872,9.919,23.952,0.161
240,532.400,6.221,0.303,6.165,6.261,6.355,6.484,6.582,9.323,10.610,0.161
245,530.000,6.292,0.275,6.212,6.353,6.473,6.588,6.686,9.412,12.662,0.159
250,489.000,6.485,0.290,6.367,6.502,6.617,6.779,6.922,9.671,34.962,0.154
255,471.800,6.936,0.286,6.085,6.218,6.437,10.057,10.923,18.158,38.061,0.144
260,521.200,6.195,0.286,6.090,6.218,6.336,6.429,6.578,9.421,12.435,0.161
265,506.400,6.358,0.300,6.264,6.450,6.596,6.707,6.867,9.406,30.850,0.157
270,513.800,6.276,0.297,6.192,6.287,6.400,6.554,6.737,8.985,17.843,0.159
275,529.400,6.237,0.317,6.185,6.282,6.460,6.668,6.837,8.419,15.003,0.160
280,481.600,6.752,0.325,6.332,6.430,6.551,6.790,9.085,18.360,33.133,0.148
285,502.800,6.589,0.291,6.026,6.149,6.329,9.081,10.535,12.660,25.156,0.152
290,536.800,6.194,0.271,6.077,6.189,6.321,6.467,7.399,10.117,15.878,0.161
295,510.800,6.479,0.236,6.280,6.458,6.644,6.808,7.047,9.526,32.024,0.154
300,513.800,6.277,0.317,6.241,6.328,6.432,6.583,6.692,9.162,11.232,0.159
305,531.200,6.215,0.284,6.199,6.285,6.379,6.507,6.632,9.211,11.106,0.161
310,465.400,7.164,0.290,6.377,6.515,6.706,9.612,11.744,20.278,41.601,0.140
315,538.800,6.255,0.304,6.055,6.151,6.294,6.498,7.876,11.812,16.358,0.160
320,526.000,6.235,0.302,6.113,6.228,6.345,6.513,6.739,9.801,20.992,0.160
325,530.200,6.360,0.294,6.056,6.310,6.543,6.735,7.053,19.721,27.524,0.157
330,510.800,6.241,0.285,6.198,6.314,6.455,6.570,6.689,8.233,14.046,0.160
335,546.400,6.154,0.302,6.125,6.212,6.306,6.445,6.589,8.845,12.514,0.162
340,449.600,7.255,0.310,6.226,6.398,6.666,10.653,12.603,18.778,45.064,0.138
345,533.400,6.281,0.318,6.092,6.207,6.362,6.556,7.616,10.914,23.825,0.159
350,523.000,6.243,0.308,6.081,6.202,6.329,6.504,7.142,10.667,19.011,0.160
355,532.600,6.289,0.316,6.149,6.274,6.419,6.626,7.000,9.855,14.695,0.159
360,523.400,6.291,0.304,6.008,6.292,6.466,6.671,6.929,18.039,20.068,0.159
365,525.400,6.211,0.295,6.155,6.240,6.347,6.490,6.576,8.110,10.164,0.161
370,448.600,7.125,0.314,6.216,6.350,6.676,9.941,12.163,18.047,37.663,0.140
375,512.200,6.364,0.301,6.180,6.356,6.560,6.733,7.168,10.167,13.076,0.157
380,528.600,6.152,0.269,6.025,6.161,6.306,6.450,6.586,9.343,24.170,0.163
385,510.800,6.253,0.298,6.092,6.210,6.340,6.493,6.746,9.710,26.545,0.160
390,522.400,6.286,0.285,6.036,6.367,6.555,6.710,7.335,12.359,24.363,0.159
395,529.600,6.243,0.265,6.185,6.283,6.403,6.549,6.672,9.061,10.729,0.160
400,457.000,7.143,0.287,6.245,6.392,6.555,10.262,12.180,18.015,37.262,0.140
405,504.400,6.468,0.277,6.242,6.483,6.632,6.806,7.955,10.127,15.154,0.155
410,539.000,6.128,0.310,6.035,6.144,6.266,6.396,6.524,9.449,17.495,0.163
415,543.600,6.225,0.329,6.091,6.190,6.293,6.455,7.034,9.703,23.588,0.161
420,517.200,6.377,0.292,6.043,6.376,6.597,6.749,7.174,16.183,20.615,0.157
425,515.800,6.234,0.284,6.175,6.265,6.385,6.520,6.641,8.240,12.385,0.160
430,464.200,7.067,0.354,6.217,6.407,6.627,9.936,11.805,16.666,29.828,0.142
435,495.000,6.538,0.259,6.385,6.508,6.620,6.771,8.040,10.043,13.752,0.153
440,533.000,6.145,0.235,6.023,6.139,6.266,6.497,6.814,9.696,20.164,0.163
445,537.400,6.206,0.308,6.025,6.130,6.260,6.407,6.557,10.813,26.899,0.161
450,520.800,6.390,0.336,6.172,6.377,6.583,6.727,6.897,9.998,17.758,0.157
455,538.600,6.247,0.271,6.005,6.240,6.409,6.548,6.704,19.682,20.458,0.160
460,461.000,7.019,0.310,6.189,6.294,6.580,10.693,11.968,14.871,24.962,0.142
465,520.800,6.458,0.271,6.362,6.457,6.592,6.770,7.918,9.601,11.602,0.155
470,526.800,6.233,0.318,6.063,6.186,6.457,6.658,6.803,9.866,21.397,0.160
