Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1811,1811.000,151,6181,6400,5538,6509,6643,6692,9896,12983
1,1857,1857.000,134,6128,6340,5378,6425,6591,6752,8037,9676
2,1832,1832.000,151,6138,6335,5445,6479,6696,7819,9270,9547
3,1785,1785.000,115,6383,6557,5595,6667,6848,7103,9664,10128
4,1778,1778.000,110,6353,6509,5618,6629,6806,7149,9811,10713
5,1816,1816.000,118,6288,6469,5504,6585,6732,6851,8486,9691
6,1905,1905.000,115,6034,6217,5238,6302,6467,6522,7871,9259
7,1913,1913.000,129,5973,6170,5219,6247,6374,6519,9365,10595
8,1928,1928.000,107,5937,6091,5194,6197,6343,6404,7672,9443
9,1903,1903.000,105,5934,6087,5244,6204,6370,6547,9201,12902
10,1954,1954.000,103,5851,6046,5119,6144,6324,6409,9174,10229
11,1942,1942.000,100,5820,6002,5143,6104,6258,6427,9498,11536
12,1928,1928.000,115,5881,6022,5168,6127,6269,6341,7607,9240
13,1891,1891.000,110,6038,6222,5290,6278,6359,6530,7884,9231
14,1720,1720.000,105,5966,6151,5800,6244,6394,7544,30167,34609
15,1925,1925.000,108,5937,6143,5186,6247,6398,6463,7819,9091
16,1896,1896.000,124,6008,6168,5273,6260,6399,6473,9524,10405
17,1848,1848.000,131,6042,6199,5414,6288,6407,6522,10159,15927
18,1807,1807.000,91,6031,6192,5516,6263,6338,6438,7847,49132
19,1818,1818.000,99,3566,6212,5501,6385,6563,7964,44064,72516
20,3242,3242.000,93,3351,3530,3081,3583,3656,3782,4067,35529
21,3118,3118.000,94,3335,3518,3201,3571,3616,3651,3826,44062
22,3109,3109.000,89,3333,3512,3211,3565,3609,3642,3828,43729
23,2144,2144.000,96,3509,4127,4670,6633,6858,6983,9916,66994
24,1998,1998.000,108,3994,5499,4995,6763,6953,7266,11225,11354
25,3156,3156.000,87,3380,3524,3166,3634,3855,5384,7026,8382
26,3352,3352.000,93,3339,3508,2972,3564,3709,3765,4130,8120
27,3370,3370.000,100,3363,3527,2969,3586,3710,3779,4058,5518
28,3384,3384.000,93,3305,3472,2945,3544,3697,3760,5393,7587
29,3331,3331.000,98,3376,3530,3003,3593,3728,3793,3873,7513
30,3361,3361.000,96,3338,3479,2971,3543,3649,3717,3912,5493
31,3167,3167.000,97,3366,3530,3153,3610,3763,3837,10615,12040
32,3296,3296.000,95,3384,3536,3025,3605,3733,3802,4085,5454
33,3266,3266.000,100,3391,3554,3056,3628,3801,3908,5363,8050
34,3368,3368.000,93,3329,3522,2960,3590,3703,3785,4053,5498
