Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1780,1780.000,153,6225,6402,5613,6576,6756,7137,9928,12692
1,1794,1794.000,132,6360,6592,5582,6690,6835,6870,8501,9909
2,1795,1795.000,136,6351,6570,5568,6693,6833,6951,9773,10577
3,1803,1803.000,122,6241,6468,5531,6591,6750,6893,9495,9803
4,1901,1901.000,95,6035,6216,5249,6318,6438,6497,7804,10805
5,1867,1867.000,124,6062,6194,5352,6286,6425,6495,9250,13552
6,1905,1905.000,132,5933,6102,5253,6194,6330,6393,9240,10100
7,1948,1948.000,129,5865,6075,5133,6192,6316,6378,7804,9209
8,1928,1928.000,127,5896,6090,5167,6183,6316,6402,8673,12067
9,1918,1918.000,126,5871,6035,5214,6107,6262,6318,9082,10081
10,1958,1958.000,106,5839,6018,5108,6110,6258,6328,8827,9078
11,1870,1870.000,123,6084,6267,5346,6342,6514,6567,7880,9661
12,1847,1847.000,110,6037,6214,5398,6306,6459,7304,11892,13413
13,1960,1960.000,96,5848,6033,5100,6126,6267,6344,7539,9277
14,1916,1916.000,91,5950,6120,5208,6202,6366,6461,7748,9140
15,1899,1899.000,115,5973,6143,5268,6239,6415,6477,9921,10959
16,1901,1901.000,102,5969,6129,5253,6202,6377,6422,7991,10006
17,1665,1665.000,125,5983,6147,6000,6616,6861,10775,25139,30124
18,1785,1785.000,95,6411,6565,5601,6662,6822,6896,8556,11702
19,2415,2415.000,106,3414,4970,4133,5342,6488,6755,10565,10991
20,3325,3325.000,96,3356,3482,3001,3542,3643,3722,4036,8359
21,3241,3241.000,97,3300,3460,3085,3533,3668,3723,5302,44263
22,2942,2942.000,107,3339,3501,3395,3603,3813,6871,8669,43288
23,1929,1929.000,117,4019,5510,5179,6788,6994,7099,11171,44681
24,1759,1759.000,113,5028,6541,5677,6920,7099,7258,11508,58595
25,3261,3261.000,98,3344,3513,3058,3572,3754,3886,6982,7758
26,3317,3317.000,82,3368,3531,3014,3599,3739,3812,5266,7744
27,3359,3359.000,84,3342,3502,2973,3552,3691,3747,3917,5375
28,3313,3313.000,80,3384,3516,3017,3587,3701,3790,5133,7753
29,3377,3377.000,93,3329,3492,2952,3566,3677,3756,3940,5585
30,3316,3316.000,87,3368,3510,3012,3580,3714,3776,5169,7491
31,3239,3239.000,105,3315,3488,3083,3558,3715,3798,10566,11266
32,3366,3366.000,94,3338,3479,2967,3548,3679,3737,4317,7749
33,3361,3361.000,104,3346,3491,2970,3569,3713,3768,4047,5442
34,3428,3428.000,97,3297,3455,2919,3504,3566,3642,3972,7630
35,3390,3390.000,94,3315,3496,2945,3582,3700,3784,4019,6569
36,3413,3413.000,86,3281,3455,2925,3528,3607,3683,3823,7759
37,3363,3363.000,87,3339,3501,2969,3571,3639,3711,4022,7528
38,3361,3361.000,87,3338,3495,2975,3567,3676,3740,3988,5755
39,2604,2604.000,92,3522,3833,3827,4547,6753,7027,7286,10991
40,3009,3009.000,103,3381,3540,3316,3648,5298,6744,7055,9772
41,3076,3076.000,95,3383,3571,3253,3670,3861,5532,10796,15977
42,3285,3285.000,101,3374,3546,3038,3612,3759,3849,4100,5377
43,3271,3271.000,88,3380,3571,3044,3641,3788,3843,4414,9377
44,3315,3315.000,100,3367,3546,3018,3625,3776,3845,4202,5582
45,3319,3319.000,102,3363,3559,3006,3632,3793,3862,4196,7533
46,3310,3310.000,97,3383,3542,3017,3615,3736,3792,4012,5531
47,3325,3325.000,85,3369,3538,3002,3600,3696,3763,3915,7576
48,3254,3254.000,99,3406,3566,3065,3662,3800,4198,4488,5448
49,3304,3304.000,94,3383,3570,3019,3629,3768,3834,4045,7730
50,3239,3239.000,100,3448,3595,3084,3670,3815,3871,4104,5558
51,3276,3276.000,103,3377,3558,3048,3625,3766,3817,5362,7955
52,3291,3291.000,89,3405,3584,3029,3640,3691,3805,3954,5436
53,3276,3276.000,105,3384,3546,3047,3621,3795,3933,4571,8069
54,3297,3297.000,108,3372,3583,3032,3652,3824,3873,5320,7751
55,2920,2920.000,105,3376,3551,3425,3642,5055,5278,19986,30640
56,1192,1192.000,123,5256,9349,8394,11271,14306,17976,28248,31382
57,1545,1545.000,118,6130,6318,6465,7855,11040,12142,16962,19659
58,1882,1882.000,98,6055,6220,5291,6347,6482,6523,7916,8027
59,1884,1884.000,120,6085,6255,5329,6387,6507,6579,8265,11120
60,1791,1791.000,112,6133,6338,5565,6471,7857,9400,11948,12128
61,1848,1848.000,108,6119,6299,5415,6397,6575,7814,9190,10448
62,1868,1868.000,105,6117,6309,5366,6435,6579,6668,9057,9765
63,1812,1812.000,98,6259,6427,5493,6603,6737,6872,8643,9986
64,1800,1800.000,104,6309,6477,5556,6644,6757,6834,9662,10457
65,1813,1813.000,113,6257,6417,5487,6507,6671,6761,9787,10440
66,1811,1811.000,93,6313,6458,5530,6589,6750,6833,9412,11329
67,1806,1806.000,106,6289,6446,5543,6529,6682,6777,9511,10401
68,1795,1795.000,123,6361,6537,5542,6618,6758,6832,8567,10061
69,1790,1790.000,122,6383,6540,5602,6660,6811,6885,8504,9629
70,1772,1772.000,123,6377,6574,5634,6675,6827,6901,9356,9992
71,1839,1839.000,128,6093,6217,5422,6457,6646,6815,9813,10231
72,1883,1883.000,105,6040,6195,5318,6320,6447,6503,7983,9370
73,1898,1898.000,110,6026,6197,5263,6294,6446,6503,7790,9536
74,1867,1867.000,113,5914,6114,5356,6202,6348,7605,12396,14581
75,1964,1964.000,110,5834,6038,5092,6142,6269,6336,8546,9276
76,1920,1920.000,98,5912,6093,5185,6201,6309,6391,7850,10886
77,1898,1898.000,102,5930,6102,5275,6235,6336,6501,10141,15799
78,1925,1925.000,119,5996,6183,5196,6264,6392,6466,7792,9300
79,1731,1731.000,103,5984,6159,5762,6280,6468,7928,26308,34342
80,1876,1876.000,126,6039,6228,5322,6310,6684,6760,9011,15062
81,1920,1920.000,116,5938,6108,5204,6185,6257,6334,9051,10138
82,1916,1916.000,105,5995,6203,5226,6308,6463,6524,7968,9317
83,1855,1855.000,99,6181,6310,5387,6419,6567,6645,8092,9685
84,1741,1741.000,116,6182,6395,5734,6571,6803,8322,18362,27427
85,1643,1643.000,107,5156,6444,6099,6785,10648,11969,19813,32504
86,1272,1272.000,90,6252,9306,7822,10813,12099,13129,17489,21395
87,1854,1854.000,118,6099,6243,5415,6342,6467,6583,9396,10392
88,1884,1884.000,116,6028,6175,5289,6275,6404,6489,7867,9306
89,1828,1828.000,114,6031,6235,5471,6377,6761,7945,11098,12198
90,1865,1865.000,105,6062,6237,5358,6303,6418,7613,8864,10476
91,1882,1882.000,108,6048,6214,5321,6307,6499,6619,9370,10434
92,1889,1889.000,103,6037,6207,5285,6316,6476,6544,7996,9270
93,1876,1876.000,123,6069,6273,5312,6350,6534,6579,9165,9572
94,1877,1877.000,120,6053,6224,5327,6336,6471,6564,9470,10263
95,1868,1868.000,107,6121,6383,5362,6554,6721,6808,8347,9723
96,1821,1821.000,115,6247,6410,5484,6518,6679,6750,9544,9902
97,1858,1858.000,103,6201,6410,5381,6529,6685,6766,9398,10437
98,1857,1857.000,123,6189,6373,5391,6484,6630,6692,8133,9659
99,1812,1812.000,126,6211,6361,5520,6496,6640,6722,9499,11138
100,1779,1779.000,116,6400,6566,5600,6646,6790,6903,8496,9922
101,1804,1804.000,133,6331,6479,5549,6555,6674,6837,9761,10590
102,1809,1809.000,105,6318,6473,5532,6581,6755,6863,8552,9629
103,1845,1845.000,86,6164,6278,5404,6475,6615,6762,8130,9312
104,1899,1899.000,119,6028,6211,5278,6296,6450,6506,9896,11011
105,1850,1850.000,104,5934,6057,5391,6160,6308,6439,16053,18041
106,1937,1937.000,104,5922,6059,5165,6144,6303,6354,7750,10694
107,1910,1910.000,124,5908,6042,5227,6127,6263,6341,9112,10195
108,1975,1975.000,109,5833,5995,5070,6058,6136,6397,7688,8910
109,1941,1941.000,108,5861,6017,5154,6135,6406,6511,8744,9445
110,1684,1684.000,123,6062,6169,5921,6250,6412,10345,24593,32652
111,1961,1961.000,98,5883,6061,5111,6132,6217,6368,9380,10027
112,1900,1900.000,100,5992,6134,5247,6221,6354,6433,7807,9467
113,1945,1945.000,112,5938,6139,5153,6254,6395,6429,7808,9433
114,1598,1598.000,127,6051,6247,6242,6461,9999,12459,23360,41269
115,1242,1242.000,111,5148,9785,8053,11393,12568,12892,18403,18788
116,1941,1941.000,109,5145,5337,5150,6013,6360,6557,19873,29493
117,1852,1852.000,109,6118,6273,5397,6414,6576,6700,9687,10375
118,1777,1777.000,109,6188,6360,5624,6504,6675,9189,11477,13611
119,1852,1852.000,109,6135,6296,5407,6409,6560,7034,8114,9411
120,1846,1846.000,127,6153,6295,5414,6381,6537,6610,9396,9657
