Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,742.600,4.434,2.590,3.467,3.553,5.509,6.642,6.780,8.591,14.979,0.226
5,939.200,3.537,2.501,3.450,3.511,3.583,3.709,3.786,5.176,9.081,0.283
10,873.800,3.821,2.599,3.513,3.583,3.654,3.806,3.982,7.027,44.400,0.262
15,771.400,4.288,2.729,3.491,3.583,4.025,6.667,6.873,9.736,43.273,0.233
20,915.200,3.582,2.363,3.477,3.544,3.627,3.752,3.844,5.283,11.238,0.279
25,924.800,3.559,2.483,3.489,3.544,3.602,3.687,3.769,5.095,8.966,0.281
30,847.600,3.853,2.462,3.510,3.577,3.711,4.397,6.557,7.114,11.425,0.260
35,579.200,5.752,2.874,3.828,6.251,6.422,6.612,6.855,11.007,31.327,0.174
40,527.200,6.345,5.360,6.193,6.260,6.325,6.420,6.600,9.432,12.025,0.158
45,503.600,6.559,5.532,6.324,6.429,6.580,6.720,7.133,10.012,15.609,0.152
50,517.000,6.444,4.793,6.132,6.227,6.408,6.603,6.922,10.636,25.024,0.155
55,476.400,6.811,4.030,6.023,6.136,6.279,9.233,10.622,16.340,18.438,0.147
60,514.600,6.351,5.251,6.116,6.234,6.369,6.566,7.542,9.485,12.121,0.157
65,529.000,6.474,4.716,6.228,6.419,6.582,6.695,6.891,10.004,28.814,0.154
70,528.200,6.337,5.382,6.191,6.267,6.365,6.504,6.627,8.289,10.482,0.158
75,505.600,6.489,5.326,6.220,6.352,6.497,6.653,7.067,10.903,17.907,0.154
80,509.400,6.549,5.352,6.221,6.405,6.536,6.722,7.203,10.203,24.787,0.153
85,481.200,6.937,4.050,6.056,6.166,6.343,10.560,11.471,13.726,28.350,0.144
90,540.600,6.277,5.267,6.060,6.149,6.266,6.405,7.569,10.274,10.810,0.159
95,522.600,6.442,4.458,6.187,6.371,6.588,6.744,6.922,12.449,21.450,0.155
100,523.400,6.370,5.179,6.193,6.291,6.436,6.594,6.707,8.420,10.695,0.157
105,530.200,6.403,5.458,6.160,6.233,6.372,6.530,7.652,10.104,18.416,0.156
110,488.200,6.679,5.627,6.390,6.491,6.607,6.758,6.895,9.848,40.545,0.150
115,491.600,6.882,5.141,6.031,6.171,6.415,9.285,10.849,16.783,21.031,0.145
120,522.400,6.285,4.988,6.060,6.170,6.277,6.442,7.421,10.193,11.990,0.159
125,519.800,6.398,5.330,6.161,6.293,6.472,6.663,6.894,9.339,10.324,0.156
130,510.200,6.386,4.662,6.161,6.343,6.528,6.703,6.927,10.955,28.503,0.157
135,544.600,6.397,5.129,6.172,6.237,6.348,6.474,7.190,10.082,20.589,0.156
140,498.600,6.565,5.344,6.254,6.425,6.561,6.766,7.257,10.049,31.874,0.152
145,482.800,7.002,5.264,6.095,6.339,6.603,9.304,10.808,17.234,31.082,0.143
150,541.400,6.299,5.264,6.067,6.179,6.296,6.485,7.541,9.900,11.431,0.159
155,535.200,6.239,5.178,6.090,6.170,6.263,6.410,6.542,9.141,10.316,0.160
160,510.200,6.474,4.140,6.203,6.410,6.587,6.767,7.328,12.245,32.264,0.154
165,486.800,6.689,5.476,6.257,6.352,6.489,6.701,9.636,12.310,22.897,0.149
170,519.800,6.514,5.371,6.222,6.297,6.443,6.614,7.582,12.091,29.940,0.154
175,469.600,7.014,4.135,6.160,6.298,6.510,9.814,11.490,15.111,30.697,0.143
180,540.800,6.285,5.177,6.061,6.150,6.281,6.427,7.573,9.479,12.059,0.159
185,536.800,6.240,5.267,6.093,6.186,6.272,6.417,6.487,8.057,10.723,0.160
190,510.400,6.450,4.891,6.226,6.348,6.592,6.756,6.903,8.434,10.366,0.155
195,533.000,6.286,4.469,6.076,6.273,6.446,6.608,6.812,9.655,27.434,0.159
200,531.800,6.369,5.071,6.164,6.231,6.323,6.452,7.569,9.540,19.259,0.157
205,438.200,7.579,3.895,6.453,6.565,6.785,11.019,12.532,19.980,42.079,0.132
210,539.000,6.242,5.298,6.057,6.139,6.269,6.417,6.765,9.066,11.704,0.160
215,547.800,6.247,5.010,6.049,6.172,6.278,6.438,6.542,9.198,13.974,0.160
