Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,361.200,2.241,0.223,0.422,0.516,5.745,6.229,6.324,7.870,12.908,0.446
5,367.800,2.226,0.222,0.415,0.503,5.821,6.405,6.630,7.717,10.708,0.449
10,372.000,2.084,0.201,0.412,0.513,5.398,6.303,6.446,7.844,22.230,0.480
15,279.200,2.542,0.223,0.451,0.603,5.731,6.801,9.782,14.743,65.963,0.393
20,356.000,2.236,0.221,0.417,0.545,5.688,6.227,6.373,7.854,11.720,0.447
25,346.600,2.165,0.214,0.415,0.525,5.723,6.261,6.359,7.518,10.831,0.462
30,362.600,2.154,0.216,0.410,0.511,5.460,6.450,6.609,7.255,19.798,0.464
35,303.800,2.573,0.207,0.410,0.511,5.982,6.578,8.468,13.446,35.797,0.389
40,349.600,2.265,0.203,0.409,0.500,5.992,6.541,6.670,8.443,24.372,0.442
45,377.200,2.241,0.197,0.394,0.490,5.706,6.200,6.320,8.032,20.712,0.446
50,375.800,2.072,0.209,0.404,0.503,5.640,6.292,6.470,7.639,14.997,0.483
55,324.000,2.464,0.212,0.415,0.522,5.480,6.552,8.251,12.565,33.690,0.406
60,346.000,2.142,0.140,0.412,0.502,5.848,6.467,6.623,8.250,13.521,0.467
65,373.200,2.274,0.160,0.403,0.492,6.068,6.578,6.668,8.028,11.223,0.440
70,374.200,2.046,0.209,0.397,0.482,5.603,6.201,6.369,7.973,11.127,0.489
75,299.200,2.535,0.206,0.407,0.489,5.758,6.278,9.237,14.109,38.966,0.394
80,366.000,2.177,0.213,0.405,0.491,5.799,6.339,6.513,9.185,12.007,0.459
85,361.200,2.211,0.212,0.411,0.496,5.904,6.444,6.569,7.756,11.316,0.452
90,355.400,2.175,0.211,0.408,0.499,5.903,6.570,6.689,7.627,9.869,0.460
95,354.000,2.242,0.207,0.407,0.493,5.674,6.166,6.324,10.483,44.565,0.446
100,323.400,2.347,0.203,0.410,0.502,5.730,6.534,6.838,10.790,13.187,0.426
105,364.600,2.167,0.199,0.407,0.517,5.786,6.363,6.491,7.967,18.304,0.461
110,346.000,2.275,0.215,0.412,0.524,5.968,6.483,6.632,9.411,27.690,0.440
115,364.200,2.066,0.207,0.405,0.486,5.628,6.333,6.548,8.030,18.158,0.484
120,350.800,2.370,0.225,0.416,0.507,5.687,6.245,7.612,12.027,20.305,0.422
125,351.400,2.210,0.206,0.408,0.494,5.706,6.466,6.662,7.971,20.538,0.453
130,355.400,2.193,0.214,0.412,0.489,5.817,6.339,6.469,7.830,10.995,0.456
135,371.600,2.161,0.220,0.414,0.537,5.739,6.333,6.445,7.156,19.629,0.463
140,321.000,2.668,0.221,0.415,0.511,5.981,6.442,9.076,13.566,27.488,0.375
145,359.400,2.010,0.159,0.398,0.479,5.539,6.259,6.385,7.770,12.555,0.498
150,365.600,2.048,0.212,0.400,0.493,5.270,6.463,6.629,8.051,30.118,0.488
155,355.000,2.228,0.211,0.429,0.565,5.786,6.377,6.494,7.957,11.264,0.449
160,297.400,2.683,0.204,0.427,0.536,6.181,6.677,9.933,16.240,29.396,0.373
165,369.200,2.145,0.211,0.414,0.524,5.625,6.232,6.353,7.404,16.699,0.466
170,365.400,2.122,0.209,0.407,0.516,5.634,6.289,6.428,7.510,10.449,0.471
175,362.600,2.017,0.163,0.412,0.556,4.813,6.469,6.601,7.853,34.700,0.496
180,314.200,2.345,0.200,0.419,0.527,5.778,6.484,6.910,12.342,19.887,0.426
185,342.400,2.346,0.195,0.450,0.591,6.016,6.615,6.735,8.375,11.399,0.426
190,367.400,2.191,0.203,0.453,0.602,5.622,6.218,6.317,6.663,10.358,0.456
195,356.400,2.264,0.185,0.427,0.555,5.758,6.249,6.349,7.003,20.562,0.442
200,318.400,2.353,0.200,0.411,0.498,5.888,6.517,6.798,12.848,42.030,0.425
205,359.400,2.292,0.159,0.405,0.492,5.832,6.423,6.635,10.899,17.996,0.436
210,345.400,2.331,0.209,0.419,0.520,6.057,6.594,6.690,8.305,10.541,0.429
215,365.400,2.185,0.164,0.421,0.510,5.726,6.176,6.273,7.442,10.577,0.458
220,386.000,2.129,0.215,0.406,0.518,5.648,6.197,6.321,7.682,9.718,0.470
225,317.400,2.601,0.206,0.452,0.595,6.041,6.539,7.972,13.124,43.648,0.384
230,371.400,2.166,0.226,0.430,0.591,5.709,6.400,6.551,7.753,19.454,0.462
235,360.400,2.206,0.211,0.380,0.477,5.958,6.527,6.632,8.043,34.852,0.453
240,380.000,2.119,0.211,0.389,0.490,5.672,6.172,6.287,7.301,11.963,0.472
245,333.400,2.424,0.187,0.400,0.520,5.889,6.444,7.789,12.780,17.804,0.413
250,352.800,2.057,0.214,0.420,0.559,5.247,6.410,6.644,8.090,21.684,0.486
255,365.600,2.300,0.172,0.421,0.569,5.865,6.333,6.467,7.767,11.107,0.435
260,353.800,2.192,0.222,0.384,0.466,5.880,6.459,6.605,8.091,19.442,0.456
265,331.800,2.509,0.220,0.411,0.505,5.911,6.507,8.400,13.440,24.187,0.399
270,363.200,2.138,0.198,0.407,0.492,5.710,6.299,6.442,7.941,11.845,0.468
275,362.600,2.289,0.212,0.407,0.498,5.640,6.549,6.725,8.645,21.724,0.437
280,352.800,2.214,0.206,0.418,0.498,5.790,6.349,6.477,7.442,12.135,0.452
285,323.400,2.325,0.171,0.405,0.491,5.865,6.508,6.661,10.714,36.782,0.430
290,334.000,2.201,0.209,0.399,0.487,5.647,6.258,6.475,11.313,17.410,0.454
295,351.000,2.175,0.152,0.400,0.495,5.792,6.320,6.463,7.845,22.300,0.460
300,351.400,2.269,0.212,0.414,0.502,5.586,6.476,6.640,9.315,21.482,0.441
305,361.600,2.158,0.182,0.416,0.501,5.731,6.284,6.397,7.278,12.070,0.463
310,328.800,2.502,0.174,0.402,0.490,5.990,6.582,8.921,12.714,25.315,0.400
315,358.000,2.139,0.161,0.409,0.492,5.717,6.209,6.317,7.619,13.412,0.467
320,375.400,2.145,0.214,0.409,0.511,5.625,6.259,6.375,7.911,26.465,0.466
325,338.400,2.253,0.213,0.458,0.606,5.808,6.505,6.661,8.347,37.927,0.444
330,335.400,2.550,0.149,0.435,0.553,5.893,6.460,9.215,13.333,25.832,0.392
335,357.200,2.185,0.144,0.406,0.503,5.927,6.588,6.704,8.333,12.054,0.458
340,372.800,2.096,0.189,0.406,0.489,5.643,6.173,6.262,7.594,8.959,0.477
345,377.600,2.142,0.219,0.405,0.500,5.681,6.241,6.344,7.788,10.329,0.467
350,315.000,2.379,0.210,0.445,0.595,5.525,6.403,6.690,11.239,43.739,0.420
355,353.600,2.313,0.166,0.454,0.604,5.905,6.455,6.603,9.363,11.673,0.432
360,344.400,2.221,0.192,0.414,0.502,5.947,6.537,6.680,8.387,13.342,0.450
365,374.200,2.126,0.221,0.413,0.509,5.628,6.185,6.286,7.651,15.110,0.470
370,373.000,2.155,0.147,0.415,0.537,5.677,6.222,6.321,6.609,9.427,0.464
375,303.600,2.520,0.226,0.429,0.562,5.813,6.536,8.061,15.352,34.148,0.397
380,365.200,2.186,0.177,0.405,0.515,5.775,6.386,6.545,8.447,26.826,0.458
385,355.200,2.297,0.204,0.408,0.522,6.003,6.548,6.672,8.236,37.483,0.435
390,369.400,2.076,0.179,0.435,0.578,5.422,6.177,6.280,6.979,12.304,0.482
395,328.600,2.410,0.212,0.435,0.587,5.782,6.379,7.718,12.605,21.826,0.415
400,357.600,2.269,0.217,0.420,0.548,5.573,6.506,6.683,9.767,21.823,0.441
405,362.600,2.084,0.218,0.406,0.526,5.624,6.287,6.427,6.799,11.236,0.480
410,357.400,2.200,0.219,0.419,0.525,5.823,6.399,6.500,7.462,15.645,0.455
415,344.600,2.329,0.216,0.420,0.530,5.697,6.456,6.626,12.538,33.159,0.429
420,342.400,2.214,0.209,0.412,0.495,5.728,6.272,6.494,10.193,17.259,0.452
425,359.600,2.303,0.198,0.411,0.521,5.717,6.467,6.620,8.209,20.667,0.434
430,385.800,2.145,0.211,0.411,0.519,5.755,6.345,6.459,7.904,11.466,0.466
