Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,591.800,5.656,2.587,3.718,6.316,6.567,6.742,6.912,9.885,12.703,0.177
5,929.400,3.534,2.464,3.453,3.511,3.581,3.696,3.760,5.139,8.059,0.283
10,914.800,3.571,1.987,3.481,3.545,3.620,3.753,3.824,5.183,13.999,0.280
15,813.400,4.037,2.611,3.475,3.573,3.850,5.775,6.913,9.351,11.932,0.248
20,937.400,3.545,2.579,3.448,3.513,3.608,3.733,3.802,5.215,7.579,0.282
25,927.400,3.594,2.442,3.496,3.571,3.647,3.804,3.901,4.300,7.818,0.278
30,874.200,3.872,2.311,3.517,3.583,3.755,4.335,6.041,7.776,11.403,0.258
35,936.200,3.598,2.645,3.505,3.576,3.654,3.799,3.873,5.159,7.623,0.278
40,923.400,3.577,2.332,3.467,3.530,3.596,3.695,3.772,5.327,10.884,0.280
45,857.800,3.837,2.437,3.520,3.587,3.740,4.324,6.016,7.086,10.087,0.261
50,745.200,4.420,2.710,3.552,3.631,5.728,6.378,6.519,8.212,29.999,0.226
55,519.800,6.360,3.627,6.189,6.271,6.386,6.545,6.703,9.209,11.810,0.157
60,534.000,6.375,5.325,6.185,6.276,6.459,6.595,6.778,9.162,10.753,0.157
65,523.800,6.511,5.209,6.338,6.429,6.572,6.700,6.831,9.292,14.332,0.154
70,512.200,6.481,5.372,6.178,6.391,6.543,6.715,6.947,10.117,12.820,0.154
75,472.200,7.188,5.035,6.056,6.154,6.380,10.375,11.790,17.417,40.520,0.139
80,520.000,6.367,4.289,6.146,6.313,6.508,6.700,7.556,9.826,13.859,0.157
85,503.200,6.412,4.775,6.185,6.279,6.377,6.495,6.700,11.501,20.285,0.156
90,518.400,6.365,5.493,6.163,6.236,6.351,6.482,6.641,10.251,17.543,0.157
95,519.400,6.490,5.396,6.298,6.414,6.546,6.704,6.914,8.487,11.361,0.154
100,516.400,6.590,5.488,6.372,6.492,6.596,6.762,7.613,9.792,11.552,0.152
105,479.600,7.103,5.368,6.132,6.208,6.455,10.322,11.563,17.730,41.073,0.141
110,537.800,6.356,5.218,6.098,6.195,6.360,6.592,7.553,10.032,18.710,0.157
115,511.400,6.446,4.440,6.199,6.426,6.584,6.727,6.872,9.794,28.310,0.155
120,515.400,6.399,5.455,6.214,6.289,6.396,6.572,6.742,9.588,14.363,0.156
125,529.800,6.427,5.381,6.237,6.321,6.486,6.703,6.911,9.255,10.203,0.156
130,489.600,6.921,5.150,6.354,6.421,6.549,6.741,8.306,22.401,41.688,0.144
135,483.000,6.788,5.111,6.021,6.091,6.311,9.258,10.692,13.357,18.841,0.147
140,537.400,6.278,3.510,6.070,6.154,6.263,6.431,7.472,9.303,13.215,0.159
145,512.200,6.413,4.615,6.219,6.420,6.589,6.730,6.878,9.599,23.539,0.156
150,530.400,6.425,5.218,6.254,6.340,6.436,6.590,6.770,8.338,11.256,0.156
155,525.000,6.364,5.518,6.212,6.289,6.408,6.548,6.637,8.155,10.096,0.157
160,450.400,7.293,5.367,6.353,6.478,6.652,9.598,11.789,22.670,32.775,0.137
165,537.200,6.275,5.241,6.060,6.128,6.207,6.354,7.563,10.471,12.043,0.159
170,536.600,6.282,3.455,6.092,6.177,6.271,6.415,6.506,9.466,17.677,0.159
175,509.200,6.546,5.337,6.213,6.358,6.602,6.811,7.633,10.901,18.054,0.153
180,518.000,6.407,4.444,6.155,6.351,6.517,6.730,7.183,11.002,29.919,0.156
185,503.800,6.427,5.200,6.216,6.299,6.421,6.577,7.243,10.209,12.449,0.156
190,455.000,7.333,5.347,6.224,6.320,6.536,10.273,12.298,19.405,32.435,0.136
195,521.200,6.417,5.345,6.147,6.235,6.481,6.729,7.673,9.531,13.540,0.156
