Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,508.800,3.115,0.154,0.355,0.488,6.478,6.642,6.736,8.447,11.899,0.321
5,540.800,2.794,0.139,0.295,0.425,6.087,6.277,6.383,7.907,17.336,0.358
10,564.600,2.857,0.141,0.351,0.473,6.104,6.300,6.443,7.720,10.811,0.350
15,689.800,2.207,0.136,0.298,0.400,3.546,6.137,6.285,7.673,27.282,0.453
20,799.000,2.010,0.123,0.303,0.420,3.548,4.009,5.625,7.404,45.361,0.497
25,917.400,1.742,0.125,0.325,0.445,3.566,3.680,3.787,4.056,5.925,0.574
30,910.000,1.687,0.125,0.324,0.431,3.528,3.634,3.732,3.890,10.882,0.593
35,867.200,1.792,0.119,0.287,0.410,3.514,3.674,4.155,6.969,11.621,0.558
40,919.600,1.722,0.118,0.256,0.354,3.499,3.601,3.723,5.437,11.924,0.581
45,935.600,1.639,0.120,0.235,0.307,3.477,3.573,3.694,4.296,7.674,0.610
50,939.200,1.685,0.126,0.253,0.366,3.506,3.617,3.722,4.154,9.213,0.593
55,893.400,1.753,0.117,0.286,0.383,3.504,3.665,3.914,7.008,11.470,0.571
60,935.600,1.633,0.125,0.251,0.344,3.497,3.594,3.693,3.918,7.589,0.613
65,884.800,1.706,0.122,0.248,0.360,3.495,3.608,3.775,6.205,19.872,0.586
70,438.600,3.351,0.137,0.359,0.467,6.332,6.660,10.651,17.999,50.621,0.298
75,499.800,3.175,0.148,0.357,0.475,6.501,6.706,6.850,10.619,16.034,0.315
80,536.800,2.974,0.134,0.365,0.480,6.159,6.328,6.459,7.808,12.141,0.336
85,529.800,2.899,0.135,0.318,0.414,6.167,6.324,6.453,7.781,14.466,0.345
90,542.000,2.777,0.137,0.299,0.367,6.145,6.334,6.444,7.757,10.092,0.360
95,506.400,2.841,0.137,0.294,0.364,6.282,6.582,6.699,8.388,20.052,0.352
100,465.800,3.159,0.150,0.288,0.342,6.352,6.655,9.520,13.646,34.905,0.317
105,504.200,3.050,0.143,0.286,0.348,6.476,6.667,6.784,8.600,12.478,0.328
110,522.400,2.926,0.133,0.291,0.350,6.197,6.439,6.584,8.368,21.295,0.342
115,558.800,2.846,0.140,0.314,0.429,6.128,6.319,6.426,7.935,11.942,0.351
120,541.400,2.830,0.142,0.358,0.451,6.134,6.294,6.397,7.675,11.081,0.353
125,521.800,2.956,0.141,0.357,0.466,6.348,6.624,6.752,8.214,11.870,0.338
130,464.800,3.260,0.133,0.306,0.427,6.226,6.564,9.372,16.934,38.573,0.307
135,521.000,2.937,0.141,0.286,0.342,6.382,6.554,6.710,8.426,26.262,0.340
140,514.000,3.070,0.150,0.291,0.353,6.286,6.577,6.693,8.239,38.622,0.326
145,542.200,2.801,0.133,0.287,0.347,6.074,6.242,6.362,7.852,11.858,0.357
150,535.200,2.828,0.145,0.286,0.343,6.131,6.278,6.370,7.623,9.864,0.354
155,533.600,2.892,0.124,0.302,0.393,6.239,6.493,6.612,8.013,10.487,0.346
160,462.000,3.250,0.144,0.323,0.416,6.288,6.623,9.451,15.145,31.735,0.308
165,503.800,3.082,0.130,0.317,0.403,6.375,6.611,6.820,9.964,31.461,0.324
170,494.600,3.072,0.138,0.330,0.412,6.396,6.620,6.752,8.402,31.648,0.326
175,534.600,2.851,0.145,0.314,0.397,6.094,6.249,6.353,7.845,17.334,0.351
180,548.200,2.830,0.146,0.318,0.401,6.129,6.274,6.331,7.748,10.578,0.353
185,508.800,2.869,0.134,0.356,0.454,6.225,6.377,6.506,7.959,10.216,0.349
190,449.000,3.336,0.156,0.354,0.463,6.315,6.665,9.651,17.679,44.824,0.300
195,494.200,3.091,0.132,0.359,0.481,6.329,6.536,6.674,9.546,32.516,0.324
200,509.800,3.065,0.135,0.353,0.474,6.451,6.643,6.771,8.626,28.208,0.326
205,543.200,2.833,0.145,0.357,0.459,6.121,6.262,6.392,7.740,11.839,0.353
210,552.600,2.915,0.140,0.359,0.476,6.140,6.300,6.394,7.577,10.142,0.343
215,534.200,2.864,0.140,0.293,0.377,6.160,6.287,6.399,7.705,10.763,0.349
220,465.800,3.214,0.135,0.287,0.338,6.234,6.508,9.656,14.076,39.772,0.311
225,521.800,2.877,0.142,0.280,0.335,6.212,6.392,6.572,7.768,29.957,0.348
230,505.000,3.002,0.147,0.287,0.337,6.435,6.595,6.717,8.504,47.226,0.333
