Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,613.000,6.435,4.300,6.144,6.400,6.588,6.743,7.623,9.566,19.380,0.155
5,658.600,6.101,4.157,5.863,6.106,6.236,6.387,6.518,9.069,11.748,0.164
10,593.200,6.822,4.221,5.948,6.177,6.317,6.470,6.666,55.059,65.246,0.147
15,733.400,5.312,1.921,3.539,4.551,6.513,6.901,7.148,13.401,63.964,0.188
20,1132.800,3.466,2.016,3.302,3.501,3.577,3.733,3.830,5.205,13.736,0.289
25,1051.000,3.696,2.074,3.377,3.523,3.665,4.310,5.586,7.050,11.540,0.271
30,1113.600,3.470,0.172,3.292,3.507,3.584,3.732,3.817,5.518,7.922,0.288
35,1150.800,3.475,0.162,3.328,3.523,3.602,3.747,3.831,5.217,13.548,0.288
40,580.200,7.028,0.141,6.064,6.299,6.524,9.896,11.696,17.743,34.021,0.142
45,606.200,6.552,3.997,6.225,6.491,6.596,6.744,6.984,9.705,28.921,0.153
50,645.800,6.211,0.205,5.917,6.125,6.268,6.525,7.204,10.713,18.623,0.161
55,649.200,6.149,0.192,5.949,6.160,6.285,6.445,6.581,8.720,12.260,0.163
60,584.800,6.985,3.720,6.084,6.323,6.606,9.322,11.291,17.124,34.350,0.143
65,623.000,6.255,3.824,6.038,6.256,6.365,6.539,6.901,9.219,10.695,0.160
70,609.400,6.446,0.210,6.219,6.446,6.617,6.761,6.869,9.218,11.659,0.155
75,633.800,6.369,0.250,6.009,6.200,6.510,6.716,7.005,10.746,33.358,0.157
80,567.000,7.112,4.374,6.085,6.295,6.625,10.111,11.181,16.441,31.054,0.141
85,639.400,6.361,3.797,5.937,6.332,6.513,6.702,7.307,10.361,22.137,0.157
90,646.400,6.251,0.252,6.017,6.268,6.365,6.502,6.666,9.198,16.727,0.160
95,629.800,6.416,0.240,6.210,6.392,6.562,6.712,7.194,9.155,11.224,0.156
100,547.800,7.170,0.171,6.113,6.397,6.686,9.999,11.672,18.458,41.847,0.139
105,652.600,6.278,0.159,6.024,6.182,6.368,6.663,7.467,9.660,23.485,0.159
110,628.200,6.415,0.203,5.943,6.336,6.565,6.754,7.527,12.121,33.005,0.156
115,649.000,6.269,0.191,6.049,6.285,6.382,6.569,6.856,9.279,11.142,0.160
120,564.200,7.137,4.103,6.195,6.428,6.683,9.505,10.978,20.253,34.715,0.140
125,642.600,6.169,0.187,5.901,6.153,6.294,6.484,7.459,9.378,11.397,0.162
130,661.400,6.144,0.197,5.932,6.153,6.255,6.375,6.646,8.832,11.009,0.163
135,633.200,6.433,4.029,5.907,6.303,6.577,6.794,7.555,15.089,41.413,0.155
140,563.800,7.052,0.287,6.151,6.299,6.482,9.914,11.440,16.049,36.694,0.142
145,618.400,6.462,0.182,6.161,6.363,6.582,6.750,7.890,9.984,16.165,0.155
150,653.000,6.097,0.185,5.905,6.113,6.249,6.368,6.491,8.640,10.603,0.164
155,652.800,6.130,0.193,5.905,6.150,6.256,6.410,6.516,9.160,10.128,0.163
160,568.000,6.936,0.188,6.190,6.396,6.637,7.797,9.950,20.492,43.353,0.144
165,588.600,6.829,0.201,6.205,6.397,6.622,8.780,10.719,13.394,19.135,0.146
170,626.000,6.471,0.170,6.198,6.441,6.582,6.708,7.688,9.820,17.318,0.155
175,655.200,6.168,0.169,5.920,6.105,6.238,6.398,6.587,9.153,29.222,0.162
180,642.800,6.144,0.250,5.918,6.149,6.283,6.434,6.587,9.061,10.831,0.163
185,555.000,7.270,0.120,6.214,6.409,6.647,10.486,11.908,18.515,45.895,0.138
190,641.800,6.330,0.225,6.130,6.333,6.479,6.677,6.841,8.930,11.379,0.158
195,634.200,6.458,0.208,6.261,6.432,6.577,6.764,7.109,9.302,10.967,0.155
200,639.000,6.285,4.075,5.958,6.113,6.319,6.636,7.100,12.142,32.940,0.159
205,563.800,7.093,0.164,6.139,6.313,6.673,10.494,11.793,13.488,23.947,0.141
210,648.600,6.339,0.163,5.927,6.335,6.544,6.718,7.054,9.398,31.638,0.158
215,641.600,6.260,4.533,6.030,6.264,6.369,6.528,6.652,9.091,10.774,0.160
220,647.600,6.409,0.204,6.182,6.399,6.580,6.724,6.942,8.891,10.239,0.156
225,549.200,7.131,0.242,6.193,6.485,6.697,9.698,11.629,15.043,24.556,0.140
230,654.400,6.259,0.186,5.922,6.181,6.352,6.530,7.586,10.719,14.403,0.160
235,616.800,6.430,0.162,5.915,6.319,6.569,6.784,7.927,13.703,25.474,0.156
240,652.200,6.253,0.176,5.994,6.228,6.345,6.505,7.141,9.476,12.456,0.160
245,617.600,6.743,0.179,6.212,6.405,6.575,6.833,8.558,17.985,33.877,0.148
250,612.200,6.660,0.195,5.972,6.129,6.314,9.023,10.455,15.614,17.778,0.150
255,663.000,6.154,0.154,5.934,6.172,6.299,6.422,6.636,8.891,10.240,0.162
260,610.600,6.530,0.158,6.160,6.316,6.541,6.749,7.526,11.447,34.766,0.153
265,630.800,6.378,0.123,6.081,6.261,6.443,6.641,7.308,9.564,40.388,0.157
270,556.000,7.171,0.227,6.240,6.486,6.746,10.007,11.727,14.500,20.350,0.139
275,673.200,6.113,0.178,5.896,6.111,6.263,6.396,6.542,8.902,10.386,0.164
280,655.600,6.119,0.175,5.924,6.146,6.276,6.430,6.542,8.786,9.995,0.163
285,630.800,6.350,0.182,6.118,6.292,6.547,6.720,6.912,9.379,13.513,0.157
290,570.600,7.077,3.535,5.790,6.305,6.598,10.489,12.240,20.327,41.139,0.141
295,616.200,6.578,0.226,6.252,6.483,6.654,6.842,8.136,11.116,17.155,0.152
300,656.000,6.073,0.222,5.825,6.095,6.220,6.376,6.479,9.054,10.857,0.165
305,654.000,6.125,0.161,5.901,6.131,6.257,6.412,6.511,9.317,14.942,0.163
310,582.600,6.939,0.152,6.042,6.220,6.405,9.512,10.975,18.466,42.509,0.144
315,625.800,6.473,0.129,6.117,6.325,6.450,6.680,8.120,11.634,19.880,0.154
320,604.600,6.506,0.164,6.191,6.431,6.589,6.733,7.053,9.978,27.259,0.154
325,652.800,6.190,0.127,5.986,6.182,6.337,6.602,6.838,9.181,12.838,0.162
330,642.200,6.226,0.137,5.934,6.159,6.262,6.435,7.050,10.147,24.488,0.161
335,556.200,7.178,0.146,5.949,6.399,6.694,10.567,12.768,18.838,33.576,0.139
340,645.000,6.227,0.203,6.020,6.235,6.339,6.504,6.654,9.252,11.689,0.161
345,615.600,6.349,0.124,6.137,6.326,6.496,6.685,6.908,9.320,11.567,0.157
350,613.400,6.434,0.142,6.156,6.433,6.565,6.721,6.982,9.732,16.999,0.155
355,580.400,6.957,4.134,5.980,6.162,6.382,9.572,11.374,18.888,36.717,0.144
360,636.600,6.327,0.141,5.878,6.253,6.539,6.742,7.854,10.732,26.124,0.158
365,644.200,6.317,0.160,6.114,6.327,6.474,6.629,6.747,8.768,10.250,0.158
370,628.200,6.327,0.134,6.138,6.326,6.511,6.623,6.714,9.308,12.369,0.158
375,549.400,7.033,0.144,6.273,6.480,6.677,9.150,10.772,17.196,25.516,0.142
380,639.600,6.367,0.154,5.912,6.112,6.305,6.669,9.042,12.547,19.155,0.157
385,630.400,6.351,0.103,6.063,6.290,6.577,6.753,6.939,9.963,21.718,0.157
390,625.000,6.348,0.162,5.826,6.212,6.339,6.513,7.775,19.476,28.900,0.158
395,642.000,6.294,0.116,6.079,6.267,6.443,6.631,7.023,9.208,11.674,0.159
400,562.200,7.118,3.870,6.106,6.268,6.602,10.272,11.460,17.840,32.163,0.140
405,656.600,6.103,0.149,5.896,6.112,6.234,6.331,6.465,9.232,14.277,0.164
410,649.200,6.159,0.125,5.950,6.170,6.290,6.454,6.569,9.288,10.400,0.162
415,632.000,6.512,0.186,6.176,6.321,6.573,6.761,7.764,10.605,32.386,0.154
420,572.800,7.038,0.163,6.131,6.269,6.423,10.460,12.312,16.630,23.523,0.142
425,619.200,6.420,0.153,6.143,6.327,6.571,6.767,7.765,10.517,12.585,0.156
430,662.200,6.096,0.118,5.895,6.104,6.222,6.370,6.560,9.185,10.213,0.164
435,660.000,6.122,0.221,5.901,6.158,6.260,6.409,6.567,8.417,11.925,0.163
440,579.400,6.956,0.123,6.172,6.367,6.636,7.891,10.482,23.437,32.919,0.144
445,571.200,6.846,0.176,6.197,6.393,6.589,9.155,10.798,13.434,19.088,0.146
450,617.000,6.481,0.153,6.169,6.443,6.612,6.806,7.460,10.254,15.925,0.154
455,653.600,6.084,0.195,5.899,6.102,6.238,6.374,6.492,9.100,10.900,0.164
460,640.000,6.155,0.127,5.884,6.152,6.267,6.444,6.601,9.240,15.156,0.162
465,552.000,7.253,0.148,6.140,6.348,6.596,10.184,11.587,21.024,43.754,0.138
470,624.200,6.328,0.125,6.126,6.311,6.456,6.600,6.873,9.267,11.156,0.158
475,606.800,6.557,0.121,6.206,6.447,6.595,6.768,6.994,10.541,31.007,0.153
480,631.600,6.210,0.099,5.927,6.114,6.240,6.384,6.603,10.139,27.476,0.161
485,596.400,6.813,0.112,6.028,6.190,6.403,9.548,11.035,13.460,22.712,0.147
490,621.800,6.402,0.120,6.051,6.400,6.622,6.806,7.751,10.820,30.005,0.156
495,649.400,6.248,0.136,6.046,6.258,6.373,6.518,6.699,9.014,11.290,0.160
500,615.600,6.389,0.143,6.142,6.402,6.547,6.718,7.004,9.250,10.272,0.157
505,624.600,6.396,0.146,6.138,6.427,6.608,6.797,6.931,8.521,10.737,0.156
510,572.800,7.085,0.156,6.046,6.197,6.482,10.326,11.948,17.706,38.968,0.141
515,608.000,6.392,0.167,5.952,6.331,6.616,6.777,7.614,11.699,31.063,0.156
520,633.600,6.291,0.138,6.089,6.321,6.434,6.575,6.712,9.152,10.316,0.159
525,635.800,6.335,0.165,6.116,6.319,6.486,6.625,6.884,9.298,10.866,0.158
530,567.200,7.234,0.122,6.065,6.355,6.622,10.040,11.863,26.637,43.317,0.138
535,641.400,6.195,0.143,5.935,6.136,6.307,6.510,7.204,10.319,13.330,0.161
540,621.000,6.418,0.114,5.968,6.303,6.579,6.774,7.103,13.978,25.310,0.156
545,645.400,6.257,0.245,5.921,6.241,6.369,6.536,6.708,10.075,29.266,0.160
550,570.000,7.022,0.153,6.149,6.316,6.567,9.831,11.571,16.846,34.654,0.142
555,636.600,6.460,0.144,6.077,6.274,6.544,6.789,7.970,11.644,18.360,0.155
560,661.200,6.094,0.197,5.891,6.112,6.265,6.397,6.517,8.528,10.665,0.164
565,647.800,6.105,0.129,5.883,6.146,6.257,6.381,6.526,8.585,10.191,0.164
570,614.800,6.548,0.172,6.107,6.311,6.497,6.722,7.674,15.945,42.946,0.153
575,556.800,7.236,0.141,6.193,6.468,6.723,10.230,11.886,17.824,29.943,0.138
580,631.400,6.430,0.156,6.191,6.454,6.623,6.789,6.948,9.319,11.109,0.156
585,674.400,6.086,0.230,5.856,6.123,6.236,6.367,6.475,9.022,10.189,0.164
590,645.200,6.120,0.122,5.892,6.161,6.311,6.481,6.572,8.838,11.346,0.163
595,565.800,7.283,0.159,6.083,6.245,6.486,10.427,11.998,25.145,39.042,0.137
