Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,538.200,6.214,4.555,6.059,6.150,6.259,6.410,6.513,9.053,10.579,0.161
5,530.600,6.326,3.996,6.142,6.261,6.395,6.594,6.760,8.252,10.580,0.158
10,729.400,4.554,2.340,3.477,3.612,6.329,6.631,6.771,8.499,11.073,0.220
15,902.400,3.676,2.453,3.488,3.557,3.667,3.950,4.389,6.732,8.765,0.272
20,823.600,4.021,2.632,3.472,3.559,3.745,5.474,6.830,9.646,47.730,0.249
25,940.200,3.500,2.709,3.428,3.484,3.543,3.659,3.717,4.198,7.869,0.286
30,970.200,3.497,2.611,3.423,3.484,3.550,3.657,3.719,4.046,7.530,0.286
35,863.600,3.794,2.736,3.445,3.505,3.651,4.276,6.623,7.444,11.946,0.264
40,930.200,3.550,2.647,3.465,3.529,3.602,3.717,3.776,4.830,7.778,0.282
45,932.400,3.559,2.331,3.467,3.527,3.606,3.740,3.839,4.511,7.755,0.281
50,497.400,6.760,3.009,6.127,6.216,6.385,9.231,11.876,19.562,38.234,0.148
55,496.000,6.728,5.121,6.311,6.432,6.600,6.967,9.343,11.691,17.479,0.149
60,503.800,6.536,5.279,6.283,6.492,6.607,6.771,6.867,9.751,14.094,0.153
65,552.600,6.161,4.852,6.018,6.099,6.198,6.332,6.402,8.940,11.793,0.162
70,546.800,6.204,5.385,6.031,6.154,6.265,6.373,6.488,7.997,10.945,0.161
75,510.600,6.415,5.368,6.127,6.257,6.454,6.705,7.467,10.189,16.126,0.156
80,470.800,7.338,5.440,6.240,6.419,6.655,10.559,11.984,18.548,32.604,0.136
85,512.200,6.472,5.408,6.211,6.327,6.500,6.696,7.652,9.802,17.701,0.155
90,523.800,6.572,5.440,6.385,6.483,6.597,6.723,6.903,9.534,10.597,0.152
