Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,585.000,2.560,0.098,0.226,0.317,6.071,6.586,6.712,9.521,12.469,0.391
5,940.400,1.616,0.092,0.184,0.239,3.496,3.583,3.663,3.804,8.048,0.619
10,925.600,1.645,0.084,0.201,0.249,3.530,3.634,3.722,3.936,14.010,0.608
15,825.000,1.850,0.097,0.177,0.228,3.548,3.940,5.522,7.696,11.530,0.541
20,933.200,1.655,0.090,0.175,0.239,3.505,3.621,3.709,3.914,7.533,0.604
25,953.400,1.638,0.088,0.189,0.241,3.551,3.663,3.786,4.022,7.821,0.610
30,863.800,1.846,0.088,0.196,0.253,3.575,3.782,4.205,6.895,11.414,0.542
35,904.000,1.652,0.089,0.201,0.246,3.553,3.661,3.777,3.945,7.623,0.605
40,970.000,1.627,0.089,0.186,0.238,3.511,3.602,3.684,3.891,10.790,0.615
45,882.600,1.724,0.096,0.200,0.247,3.567,3.749,4.237,6.910,11.066,0.580
50,750.600,1.987,0.080,0.203,0.247,3.600,5.956,6.366,6.696,30.011,0.503
55,527.800,2.751,0.083,0.214,0.251,6.245,6.404,6.525,7.898,11.988,0.363
60,543.800,2.762,0.102,0.212,0.248,6.249,6.443,6.553,7.756,10.757,0.362
65,515.000,2.913,0.097,0.202,0.251,6.401,6.574,6.655,8.074,14.036,0.343
70,528.800,2.933,0.099,0.176,0.219,6.322,6.556,6.688,8.485,12.828,0.341
75,463.800,3.120,0.093,0.178,0.219,6.136,6.411,9.463,14.738,40.497,0.321
80,538.200,2.818,0.099,0.178,0.222,6.257,6.529,6.668,8.423,16.011,0.355
85,517.200,2.858,0.103,0.186,0.227,6.273,6.403,6.501,8.013,19.807,0.350
90,535.600,2.734,0.092,0.182,0.221,6.213,6.345,6.451,7.913,11.128,0.366
95,511.200,2.867,0.098,0.188,0.233,6.387,6.546,6.678,8.005,11.370,0.349
100,492.200,2.922,0.095,0.181,0.222,6.478,6.619,6.765,9.497,11.701,0.342
105,462.000,3.127,0.082,0.181,0.222,6.191,6.497,10.254,14.252,33.366,0.320
110,535.000,2.783,0.105,0.180,0.219,6.165,6.373,6.545,8.911,18.869,0.359
115,528.200,2.920,0.090,0.193,0.248,6.371,6.610,6.732,8.532,20.677,0.342
120,521.600,2.803,0.101,0.193,0.241,6.271,6.419,6.551,7.985,14.357,0.357
125,530.000,2.899,0.096,0.203,0.253,6.306,6.531,6.686,8.012,10.204,0.345
130,482.000,3.058,0.094,0.178,0.221,6.407,6.580,6.698,9.926,40.576,0.327
135,484.600,3.105,0.082,0.183,0.228,6.078,6.336,9.184,11.883,18.841,0.322
140,516.400,2.913,0.097,0.182,0.225,6.138,6.285,6.419,9.089,13.219,0.343
145,515.000,3.007,0.123,0.191,0.226,6.395,6.624,6.773,9.590,23.540,0.333
150,527.400,2.805,0.100,0.185,0.222,6.323,6.447,6.552,8.006,11.252,0.356
155,519.800,2.846,0.111,0.191,0.230,6.267,6.426,6.543,7.942,10.109,0.351
160,445.600,3.192,0.097,0.187,0.225,6.440,6.694,9.366,14.205,32.787,0.313
165,519.400,2.839,0.108,0.191,0.226,6.120,6.239,6.355,10.002,11.915,0.352
170,532.600,2.762,0.097,0.181,0.222,6.160,6.297,6.400,7.818,14.846,0.362
175,495.600,2.866,0.094,0.179,0.222,6.310,6.613,6.712,8.472,17.932,0.349
180,532.200,2.824,0.099,0.178,0.219,6.308,6.511,6.694,8.114,29.698,0.354
185,517.400,2.830,0.094,0.187,0.230,6.283,6.458,6.564,7.957,12.457,0.353
190,446.800,3.478,0.105,0.186,0.227,6.299,6.622,10.209,18.315,32.421,0.288
195,518.600,2.809,0.102,0.186,0.220,6.205,6.488,6.620,8.349,13.335,0.356
200,516.400,2.780,0.082,0.186,0.223,6.108,6.299,6.425,7.790,15.603,0.360
205,537.000,2.746,0.107,0.186,0.220,6.198,6.383,6.500,7.967,11.949,0.364
210,515.000,2.800,0.108,0.186,0.219,6.334,6.607,6.718,8.505,37.378,0.357
