Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,534.800,2.917,0.111,0.223,0.341,6.147,6.298,6.488,7.749,11.188,0.343
5,559.400,2.772,0.106,0.200,0.250,6.099,6.277,6.361,7.826,11.652,0.361
10,531.600,2.889,0.092,0.218,0.262,6.161,6.350,6.442,7.751,13.157,0.346
15,621.200,2.350,0.092,0.178,0.226,5.235,6.557,6.646,7.685,10.934,0.426
20,792.800,1.860,0.095,0.167,0.214,3.494,3.783,5.617,7.115,53.384,0.538
25,933.000,1.576,0.086,0.158,0.202,3.470,3.542,3.586,3.938,14.218,0.634
30,944.800,1.640,0.092,0.203,0.252,3.524,3.621,3.722,3.872,7.525,0.610
35,884.600,1.709,0.083,0.200,0.244,3.530,3.691,4.229,6.918,11.544,0.585
40,926.800,1.609,0.091,0.197,0.245,3.527,3.617,3.717,4.058,8.018,0.622
45,958.600,1.611,0.091,0.168,0.224,3.493,3.572,3.649,3.991,7.715,0.621
50,671.200,2.254,0.097,0.184,0.237,3.659,6.303,6.423,7.711,20.439,0.444
55,482.400,3.217,0.117,0.203,0.247,6.233,6.463,9.431,12.506,21.507,0.311
60,505.000,2.882,0.098,0.203,0.248,6.436,6.602,6.714,8.430,21.268,0.347
65,513.200,2.794,0.096,0.201,0.242,6.258,6.589,6.739,7.893,11.708,0.358
70,542.400,2.632,0.096,0.203,0.243,6.070,6.186,6.307,7.526,14.935,0.380
75,538.400,2.841,0.095,0.191,0.241,6.131,6.293,6.380,8.023,16.074,0.352
80,516.600,2.895,0.092,0.169,0.208,6.197,6.535,6.684,8.647,35.343,0.345
85,481.200,3.156,0.101,0.169,0.204,6.277,6.520,9.513,13.510,27.204,0.317
90,512.000,2.866,0.091,0.170,0.205,6.377,6.588,6.723,9.038,11.959,0.349
95,501.600,2.964,0.101,0.190,0.225,6.515,6.668,6.779,8.311,10.668,0.337
100,533.800,2.733,0.102,0.191,0.223,6.143,6.287,6.407,7.818,14.670,0.366
105,545.600,2.741,0.093,0.164,0.198,6.102,6.253,6.401,7.779,16.701,0.365
110,491.600,2.901,0.109,0.195,0.236,6.301,6.612,6.781,9.101,29.839,0.345
115,464.800,3.232,0.107,0.194,0.238,6.298,6.616,9.704,12.547,32.892,0.309
120,503.000,2.923,0.080,0.194,0.237,6.323,6.540,6.670,8.155,10.165,0.342
125,524.600,2.956,0.104,0.188,0.227,6.463,6.649,6.737,8.316,14.255,0.338
130,523.000,2.853,0.098,0.191,0.226,6.275,6.560,6.687,7.950,10.122,0.351
135,539.400,2.773,0.103,0.186,0.229,6.147,6.294,6.381,8.059,13.669,0.361
140,531.800,2.909,0.103,0.193,0.240,6.179,6.353,6.472,9.460,27.764,0.344
145,455.800,3.310,0.082,0.197,0.246,6.345,6.600,9.469,12.945,31.275,0.302
150,513.800,2.759,0.096,0.197,0.234,6.251,6.366,6.473,7.739,9.505,0.362
155,512.200,2.945,0.100,0.193,0.235,6.423,6.584,6.696,8.169,12.011,0.340
160,514.200,2.849,0.097,0.191,0.225,6.436,6.566,6.696,8.069,10.646,0.351
165,535.400,2.903,0.100,0.190,0.233,6.141,6.267,6.388,8.742,18.272,0.344
170,499.200,3.031,0.098,0.203,0.246,6.168,6.352,6.699,13.743,25.255,0.330
175,462.400,3.055,0.103,0.192,0.235,6.384,6.724,8.052,12.735,20.277,0.327
180,529.400,2.784,0.111,0.194,0.234,6.226,6.368,6.505,7.924,12.076,0.359
185,522.400,2.754,0.093,0.189,0.230,6.259,6.493,6.601,8.397,19.826,0.363
190,523.400,2.878,0.091,0.189,0.224,6.433,6.620,6.720,8.233,10.454,0.347
195,530.000,2.831,0.093,0.192,0.235,6.219,6.517,6.686,8.510,16.326,0.353
200,474.600,3.045,0.091,0.185,0.224,6.052,6.271,9.163,13.275,32.008,0.328
205,513.400,2.912,0.088,0.190,0.228,6.323,6.616,6.756,8.611,12.581,0.343
210,523.600,2.945,0.106,0.193,0.232,6.338,6.514,6.646,8.161,30.564,0.340
215,512.200,2.767,0.108,0.190,0.225,6.265,6.410,6.520,7.890,10.188,0.361
220,533.800,2.923,0.097,0.192,0.229,6.404,6.621,6.703,8.173,10.592,0.342
225,514.000,2.955,0.109,0.189,0.225,6.515,6.666,6.776,8.346,11.500,0.338
230,471.400,3.195,0.110,0.192,0.231,6.117,6.359,9.286,13.523,38.755,0.313
235,521.000,2.842,0.104,0.189,0.227,6.207,6.395,6.537,9.273,13.135,0.352
240,542.800,2.804,0.097,0.191,0.226,6.330,6.568,6.671,8.150,29.614,0.357
245,513.400,2.965,0.099,0.188,0.229,6.241,6.386,6.492,8.005,10.110,0.337
250,535.000,2.795,0.095,0.186,0.219,6.261,6.477,6.581,8.092,10.524,0.358
255,529.600,2.898,0.101,0.192,0.231,6.415,6.605,6.702,8.256,12.519,0.345
260,457.800,3.214,0.104,0.189,0.237,6.260,6.659,9.630,14.586,26.174,0.311
265,511.000,2.824,0.100,0.194,0.237,6.159,6.309,6.450,7.845,11.839,0.354
270,521.200,2.842,0.111,0.198,0.237,6.300,6.599,6.713,8.366,20.768,0.352
275,529.200,2.861,0.097,0.194,0.238,6.254,6.378,6.478,7.891,10.189,0.350
280,527.800,2.833,0.102,0.198,0.242,6.200,6.337,6.444,7.880,10.101,0.353
285,532.600,2.935,0.102,0.209,0.253,6.370,6.517,6.650,8.102,9.623,0.341
290,473.800,3.131,0.103,0.202,0.247,6.255,6.690,9.415,12.794,38.247,0.319
295,518.000,2.809,0.101,0.202,0.245,6.132,6.293,6.422,7.805,14.274,0.356
300,501.600,2.828,0.104,0.204,0.246,6.265,6.503,6.600,7.917,15.621,0.354
305,536.400,2.754,0.089,0.197,0.241,6.215,6.496,6.628,8.191,21.036,0.363
310,531.400,2.845,0.091,0.207,0.255,6.202,6.352,6.444,7.873,10.721,0.352
315,516.600,2.856,0.102,0.213,0.254,6.238,6.438,6.549,7.899,10.503,0.350
320,464.200,3.148,0.102,0.212,0.255,6.164,6.400,9.291,13.263,38.352,0.318
325,530.000,2.798,0.082,0.212,0.250,6.159,6.309,6.444,9.433,18.040,0.357
330,525.400,2.671,0.096,0.217,0.251,6.126,6.285,6.367,7.549,18.387,0.374
335,522.600,2.792,0.096,0.186,0.230,6.294,6.546,6.616,8.328,19.867,0.358
340,534.000,2.900,0.101,0.198,0.241,6.265,6.437,6.544,8.142,19.250,0.345
345,524.800,2.878,0.101,0.192,0.239,6.204,6.311,6.409,7.872,12.107,0.347
