Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,647.800,3.234,0.201,0.403,0.594,6.170,6.557,6.650,8.280,12.736,0.309
5,645.600,3.194,0.203,0.413,0.663,6.103,6.301,6.408,7.920,59.178,0.313
10,588.400,3.443,0.199,0.418,0.639,6.211,6.420,6.625,8.636,58.507,0.290
15,740.600,2.648,0.192,0.348,0.491,4.242,6.607,6.876,8.572,69.119,0.378
20,1134.400,1.844,0.192,0.341,0.526,3.504,3.608,3.708,4.287,7.732,0.542
25,1094.000,1.882,0.190,0.340,0.491,3.520,3.665,3.931,6.673,9.909,0.531
30,1133.400,1.844,0.183,0.341,0.509,3.514,3.601,3.680,4.966,10.023,0.542
35,1132.800,1.827,0.186,0.339,0.518,3.516,3.616,3.705,3.964,7.748,0.547
40,1065.200,1.965,0.195,0.336,0.492,3.532,3.752,4.340,6.957,11.285,0.509
45,886.600,2.328,0.191,0.353,0.538,3.573,6.097,6.247,7.753,35.036,0.429
50,643.400,3.186,0.190,0.378,0.535,6.222,6.427,6.569,8.832,27.272,0.314
55,550.400,3.478,0.193,0.375,0.497,6.229,6.623,9.734,13.124,22.593,0.288
60,647.000,3.081,0.196,0.373,0.515,6.073,6.267,6.343,7.851,16.424,0.325
65,655.400,3.079,0.199,0.381,0.534,6.120,6.297,6.436,7.747,10.206,0.325
70,655.200,3.311,0.188,0.414,0.663,6.373,6.611,6.743,8.754,23.607,0.302
75,536.000,3.782,0.212,0.406,0.573,6.430,7.826,11.123,18.593,37.013,0.264
80,623.800,3.275,0.192,0.385,0.572,6.285,6.624,6.758,8.466,12.804,0.305
85,644.600,3.178,0.195,0.411,0.621,6.103,6.326,6.443,7.789,10.300,0.315
90,643.400,3.148,0.205,0.432,0.642,6.178,6.367,6.484,7.887,10.559,0.318
95,548.400,3.674,0.191,0.386,0.571,6.393,6.858,9.527,14.289,45.248,0.272
100,626.600,3.251,0.190,0.382,0.533,6.340,6.546,6.668,8.201,13.236,0.308
105,631.800,3.269,0.199,0.393,0.555,6.408,6.637,6.777,8.396,10.591,0.306
110,650.600,3.230,0.190,0.410,0.661,6.120,6.326,6.441,8.780,26.489,0.310
115,569.200,3.300,0.191,0.375,0.520,6.227,6.581,8.399,12.723,23.996,0.303
120,626.800,3.185,0.182,0.374,0.515,6.258,6.437,6.555,8.104,11.952,0.314
