Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,513.800,6.525,0.469,6.368,6.464,6.577,6.756,8.066,11.001,13.899,0.153
5,527.800,6.169,0.385,6.079,6.163,6.265,6.457,6.772,9.234,11.520,0.162
10,520.800,6.229,0.344,6.047,6.156,6.275,6.446,7.647,10.672,13.986,0.161
15,502.400,6.451,0.325,6.144,6.320,6.566,6.797,7.685,11.460,26.871,0.155
20,840.800,3.888,0.291,3.418,3.489,3.750,5.492,6.488,6.907,11.011,0.257
25,873.000,3.736,0.277,3.471,3.543,3.680,4.205,5.845,7.039,11.206,0.268
30,927.400,3.465,0.261,3.446,3.512,3.580,3.694,3.759,3.937,7.934,0.289
35,923.000,3.518,0.245,3.447,3.519,3.595,3.718,3.783,5.330,11.008,0.284
40,857.600,3.796,0.295,3.515,3.584,3.687,4.334,5.705,7.217,11.540,0.263
45,913.400,3.536,0.287,3.465,3.534,3.621,3.757,3.864,5.193,14.394,0.283
50,922.200,3.477,0.278,3.452,3.522,3.591,3.672,3.777,4.433,7.499,0.288
55,680.200,4.723,0.320,3.551,3.629,6.041,6.503,10.290,13.839,34.820,0.212
60,534.200,6.280,0.267,6.145,6.230,6.328,6.507,7.734,10.603,13.381,0.159
65,511.400,6.374,0.350,6.265,6.400,6.542,6.683,6.830,9.323,12.115,0.157
70,509.800,6.359,0.289,6.326,6.477,6.566,6.694,6.846,9.263,10.631,0.157
75,510.200,6.286,0.318,6.096,6.195,6.288,6.450,6.821,14.268,19.110,0.159
80,524.000,6.125,0.333,6.035,6.139,6.229,6.341,6.482,10.167,20.504,0.163
85,478.800,6.910,0.320,6.267,6.368,6.567,9.256,10.702,13.409,38.795,0.145
90,544.400,6.404,0.301,6.250,6.328,6.478,6.611,7.868,10.321,15.589,0.156
95,520.400,6.315,0.349,6.237,6.318,6.470,6.625,6.702,8.312,11.938,0.158
100,502.000,6.448,0.300,6.385,6.466,6.600,6.725,6.860,8.632,13.093,0.155
105,510.600,6.435,0.341,6.145,6.239,6.506,6.641,6.889,12.099,35.653,0.155
110,536.000,6.179,0.263,6.076,6.166,6.241,6.344,6.509,9.993,22.973,0.162
115,478.600,6.806,0.327,6.091,6.436,6.672,9.755,11.451,13.061,18.843,0.147
120,518.000,6.447,0.331,6.232,6.332,6.434,6.583,7.896,10.451,28.055,0.155
125,530.000,6.285,0.374,6.231,6.310,6.434,6.557,6.661,9.168,13.388,0.159
130,508.600,6.411,0.246,6.352,6.442,6.570,6.689,6.783,9.376,11.362,0.156
135,502.000,6.440,0.309,6.329,6.498,6.613,6.758,6.877,9.490,15.319,0.155
140,538.000,6.305,0.322,6.025,6.173,6.271,6.439,7.376,17.206,24.031,0.159
145,468.200,6.844,0.328,6.153,6.273,6.491,9.341,10.814,13.289,33.732,0.146
150,516.800,6.370,0.328,6.153,6.362,6.571,6.759,7.184,11.410,28.760,0.157
155,529.000,6.233,0.353,6.160,6.229,6.362,6.475,6.551,8.925,10.383,0.160
